"","date","SSNT"
"1","2012-04-17",0.1
"2","2012-04-18",0.14
"3","2012-04-19",0.14
"4","2012-04-20",0.16
"5","2012-04-23",0.16
"6","2012-04-24",0.18
"7","2012-04-25",0.18
"8","2012-04-26",0.16
"9","2012-04-27",0.2
"10","2012-04-30",0.26
"11","2012-05-01",0.26
"12","2012-05-02",0.24
"13","2012-05-03",0.24
"14","2012-05-04",0.35
"15","2012-05-07",0.4
"16","2012-05-08",0.39
"17","2012-05-09",0.35
"18","2012-05-10",0.35
"19","2012-05-11",0.35
"20","2012-05-14",0.34
"21","2012-05-15",0.22
"22","2012-05-16",0.22
"23","2012-05-17",0.19
"24","2012-05-18",0.16
"25","2012-05-21",0.2
"26","2012-05-22",0.23
"27","2012-05-23",0.25
"28","2012-05-24",0.2
"29","2012-05-25",0.2
"30","2012-05-29",0.22
"31","2012-05-30",0.22
"32","2012-05-31",0.25
"33","2012-06-01",0.25
"34","2012-06-04",0.22
"35","2012-06-05",0.22
"36","2012-06-06",0.22
"37","2012-06-07",0.25
"38","2012-06-08",0.25
"39","2012-06-11",0.32
"40","2012-06-12",0.32
"41","2012-06-13",0.25
"42","2012-06-14",0.21
"43","2012-06-15",0.29
"44","2012-06-18",0.17
"45","2012-06-19",0.17
"46","2012-06-20",0.29
"47","2012-06-21",0.27
"48","2012-06-22",0.25
"49","2012-06-25",0.26
"50","2012-06-26",0.2
"51","2012-06-27",0.2
"52","2012-06-28",0.15
"53","2012-06-29",0.2
"54","2012-07-02",0.2
"55","2012-07-03",0.15
"56","2012-07-05",0.15
"57","2012-07-06",0.15
"58","2012-07-09",0.15
"59","2012-07-10",0.15
"60","2012-07-11",0.13
"61","2012-07-12",0.15
"62","2012-07-13",0.17
"63","2012-07-16",0.17
"64","2012-07-17",0.16
"65","2012-07-18",0.16
"66","2012-07-19",0.23
"67","2012-07-20",0.24
"68","2012-07-23",0.23
"69","2012-07-24",0.23
"70","2012-07-25",0.23
"71","2012-07-26",0.25
"72","2012-07-27",0.24
"73","2012-07-30",0.25
"74","2012-07-31",0.25
"75","2012-08-01",0.25
"76","2012-08-02",0.25
"77","2012-08-03",0.16
"78","2012-08-06",0.16
"79","2012-08-07",0.24
"80","2012-08-08",0.24
"81","2012-08-09",0.24
"82","2012-08-10",0.24
"83","2012-08-13",0.24
"84","2012-08-14",0.24
"85","2012-08-15",0.24
"86","2012-08-16",0.15
"87","2012-08-17",0.17
"88","2012-08-20",0.17
"89","2012-08-21",0.17
"90","2012-08-22",0.17
"91","2012-08-23",0.17
"92","2012-08-24",0.17
"93","2012-08-27",0.14
"94","2012-08-28",0.14
"95","2012-08-29",0.14
"96","2012-08-30",0.14
"97","2012-08-31",0.14
"98","2012-09-04",0.14
"99","2012-09-05",0.14
"100","2012-09-06",0.14
"101","2012-09-07",0.14
"102","2012-09-10",0.14
"103","2012-09-11",0.14
"104","2012-09-12",0.14
"105","2012-09-13",0.14
"106","2012-09-14",0.18
"107","2012-09-17",0.13
"108","2012-09-18",0.18
"109","2012-09-19",0.18
"110","2012-09-20",0.24
"111","2012-09-21",0.24
"112","2012-09-24",0.22
"113","2012-09-25",0.22
"114","2012-09-26",0.22
"115","2012-09-27",0.22
"116","2012-09-28",0.2
"117","2012-10-01",0.2
"118","2012-10-02",0.2
"119","2012-10-03",0.18
"120","2012-10-04",0.18
"121","2012-10-05",0.21
"122","2012-10-08",0.2
"123","2012-10-09",0.2
"124","2012-10-10",0.2
"125","2012-10-11",0.19
"126","2012-10-12",0.19
"127","2012-10-15",0.19
"128","2012-10-16",0.19
"129","2012-10-17",0.19
"130","2012-10-18",0.19
"131","2012-10-19",0.19
"132","2012-10-22",0.19
"133","2012-10-23",0.19
"134","2012-10-24",0.19
"135","2012-10-25",0.19
"136","2012-10-26",0.19
"137","2012-10-31",0.19
"138","2012-11-01",0.17
"139","2012-11-02",0.17
"140","2012-11-05",0.11
"141","2012-11-06",0.17
"142","2012-11-07",0.17
"143","2012-11-08",0.12
"144","2012-11-09",0.15
"145","2012-11-12",0.15
"146","2012-11-13",0.14
"147","2012-11-14",0.14
"148","2012-11-15",0.15
"149","2012-11-16",0.15
"150","2012-11-19",0.15
"151","2012-11-20",0.15
"152","2012-11-21",0.15
"153","2012-11-23",0.15
"154","2012-11-26",0.15
"155","2012-11-27",0.14
"156","2012-11-28",0.14
"157","2012-11-29",0.14
"158","2012-11-30",0.14
"159","2012-12-03",0.13
"160","2012-12-04",0.13
"161","2012-12-05",0.13
"162","2012-12-06",0.13
"163","2012-12-07",0.11
"164","2012-12-10",0.1
"165","2012-12-11",0.1
"166","2012-12-12",0.1
"167","2012-12-13",0.14
"168","2012-12-14",0.14
"169","2012-12-17",0.1
"170","2012-12-18",0.1
"171","2012-12-19",0.1
"172","2012-12-20",0.1
"173","2012-12-21",0.1
"174","2012-12-24",0.1
"175","2012-12-26",0.1
"176","2012-12-27",0.1
"177","2012-12-28",0.12
"178","2012-12-31",0.12
"179","2013-01-02",0.12
"180","2013-01-03",0.12
"181","2013-01-04",0.12
