"","date","VEL"
"1","2020-01-17",13.51
"2","2020-01-21",14.11
"3","2020-01-22",14.05
"4","2020-01-23",13.89
"5","2020-01-24",13.64
"6","2020-01-27",13.99
"7","2020-01-28",13.96
"8","2020-01-29",14.12
"9","2020-01-30",14.25
"10","2020-01-31",14.21
"11","2020-02-03",13.99
"12","2020-02-04",14.07
"13","2020-02-05",13.78
"14","2020-02-06",13.99
"15","2020-02-07",13.99
"16","2020-02-10",13.85
"17","2020-02-11",14.17
"18","2020-02-12",14.26
"19","2020-02-13",14.48
"20","2020-02-14",14.43
"21","2020-02-18",14.38
"22","2020-02-19",14.43
"23","2020-02-20",14.64
"24","2020-02-21",14.39
"25","2020-02-24",14.05
"26","2020-02-25",14.18
"27","2020-02-26",14.15
"28","2020-02-27",13.62
"29","2020-02-28",13.4
"30","2020-03-02",13.8
"31","2020-03-03",13.84
"32","2020-03-04",13.87
"33","2020-03-05",12.7
"34","2020-03-06",12.78
"35","2020-03-09",11.31
"36","2020-03-10",10.75
"37","2020-03-11",10.16
"38","2020-03-12",9
"39","2020-03-13",9.01
"40","2020-03-16",4.54
"41","2020-03-17",5
"42","2020-03-18",4.4
"43","2020-03-19",5.29
"44","2020-03-20",5.51
"45","2020-03-23",4.79
"46","2020-03-24",3.45
"47","2020-03-25",5.3
"48","2020-03-26",8.2
"49","2020-03-27",7.83
"50","2020-03-30",7.95
"51","2020-03-31",7.53
"52","2020-04-01",4.82
"53","2020-04-02",3.6
"54","2020-04-03",2.47
"55","2020-04-06",3.22
"56","2020-04-07",3.36
"57","2020-04-08",3.45
"58","2020-04-09",3.9
"59","2020-04-13",3.42
"60","2020-04-14",3.45
"61","2020-04-15",3.29
"62","2020-04-16",3.15
"63","2020-04-17",3.1
"64","2020-04-20",3.41
"65","2020-04-21",3.15
"66","2020-04-22",3.16
"67","2020-04-23",3.14
"68","2020-04-24",3.09
"69","2020-04-27",3.4
"70","2020-04-28",3.56
"71","2020-04-29",4.12
"72","2020-04-30",3.79
"73","2020-05-01",3.43
"74","2020-05-04",3.35
"75","2020-05-05",3.23
"76","2020-05-06",3.2
"77","2020-05-07",3.16
"78","2020-05-08",3.04
"79","2020-05-11",3.14
"80","2020-05-12",2.96
"81","2020-05-13",2.9
"82","2020-05-14",2.71
"83","2020-05-15",2.53
"84","2020-05-18",2.5
"85","2020-05-19",2.6
"86","2020-05-20",3.2
"87","2020-05-21",3.15
"88","2020-05-22",3.15
"89","2020-05-26",3.42
"90","2020-05-27",3.75
"91","2020-05-28",4.16
"92","2020-05-29",3.89
"93","2020-06-01",3.76
"94","2020-06-02",4.03
"95","2020-06-03",5.1
"96","2020-06-04",5.09
"97","2020-06-05",6.33
"98","2020-06-08",6.16
"99","2020-06-09",5.7
"100","2020-06-10",5.1
"101","2020-06-11",4.3
"102","2020-06-12",4.66
"103","2020-06-15",5.03
"104","2020-06-16",4.66
"105","2020-06-17",4.42
"106","2020-06-18",4.55
"107","2020-06-19",4.03
"108","2020-06-22",4.12
"109","2020-06-23",4.25
"110","2020-06-24",4.09
"111","2020-06-25",4
"112","2020-06-26",4.05
"113","2020-06-29",3.97
"114","2020-06-30",3.95
"115","2020-07-01",3.8
"116","2020-07-02",3.74
"117","2020-07-06",3.7
"118","2020-07-07",3.5
"119","2020-07-08",3.73
"120","2020-07-09",3.66
"121","2020-07-10",3.59
"122","2020-07-13",3.6
"123","2020-07-14",3.66
"124","2020-07-15",3.85
"125","2020-07-16",3.9
"126","2020-07-17",3.97
"127","2020-07-20",3.81
"128","2020-07-21",3.79
"129","2020-07-22",3.8
"130","2020-07-23",3.78
"131","2020-07-24",3.75
"132","2020-07-27",3.63
"133","2020-07-28",3.75
"134","2020-07-29",3.9
"135","2020-07-30",3.85
"136","2020-07-31",3.71
"137","2020-08-03",3.65
"138","2020-08-04",3.61
"139","2020-08-05",3.66
"140","2020-08-06",3.76
"141","2020-08-07",3.77
"142","2020-08-10",3.83
"143","2020-08-11",4.05
"144","2020-08-12",3.92
"145","2020-08-13",4.31
"146","2020-08-14",4.1
"147","2020-08-17",4.41
"148","2020-08-18",4.05
"149","2020-08-19",4.08
"150","2020-08-20",4.22
"151","2020-08-21",5.27
"152","2020-08-24",6.25
"153","2020-08-25",5.4
"154","2020-08-26",5.33
"155","2020-08-27",5.25
"156","2020-08-28",5.3
"157","2020-08-31",5.31
"158","2020-09-01",5.05
"159","2020-09-02",4.95
"160","2020-09-03",4.81
"161","2020-09-04",4.91
"162","2020-09-08",4.86
"163","2020-09-09",5.03
"164","2020-09-10",5.3
"165","2020-09-11",5.25
"166","2020-09-14",5.29
"167","2020-09-15",5.25
"168","2020-09-16",5.25
"169","2020-09-17",5.43
"170","2020-09-18",5.37
"171","2020-09-21",5.25
"172","2020-09-22",4.89
"173","2020-09-23",4.78
"174","2020-09-24",4.71
"175","2020-09-25",4.79
"176","2020-09-28",4.87
"177","2020-09-29",4.94
"178","2020-09-30",5.02
"179","2020-10-01",4.92
"180","2020-10-02",5.07
"181","2020-10-05",4.94
"182","2020-10-06",4.78
"183","2020-10-07",4.85
"184","2020-10-08",4.84
"185","2020-10-09",4.89
"186","2020-10-12",5.04
"187","2020-10-13",4.98
"188","2020-10-14",5.05
"189","2020-10-15",4.76
"190","2020-10-16",4.73
"191","2020-10-19",4.84
"192","2020-10-20",4.63
"193","2020-10-21",4.5
"194","2020-10-22",4.47
"195","2020-10-23",4.49
"196","2020-10-26",4.42
"197","2020-10-27",4.32
"198","2020-10-28",4.21
"199","2020-10-29",4.27
"200","2020-10-30",4.35
"201","2020-11-02",4.24
"202","2020-11-03",4.44
"203","2020-11-04",4.5
"204","2020-11-05",4.48
"205","2020-11-06",4.5
"206","2020-11-09",5.11
"207","2020-11-10",5.26
"208","2020-11-11",5.3
"209","2020-11-12",5.25
"210","2020-11-13",5.72
"211","2020-11-16",5.88
"212","2020-11-17",6.36
"213","2020-11-18",6.13
"214","2020-11-19",6.01
"215","2020-11-20",6.05
"216","2020-11-23",6.25
"217","2020-11-24",6.44
"218","2020-11-25",6.25
"219","2020-11-27",6.27
