"","date","MCK"
"1","2007-01-03",51.43
"2","2007-01-04",51.299999
"3","2007-01-05",51.310001
"4","2007-01-08",51.66
"5","2007-01-09",51.130001
"6","2007-01-10",51.849998
"7","2007-01-11",52.630001
"8","2007-01-12",54.419998
"9","2007-01-16",54.709999
"10","2007-01-17",55.32
"11","2007-01-18",55.18
"12","2007-01-19",55.130001
"13","2007-01-22",54.330002
"14","2007-01-23",54.459999
"15","2007-01-24",55.169998
"16","2007-01-25",55.369999
"17","2007-01-26",55.939999
"18","2007-01-29",55.580002
"19","2007-01-30",55.5
"20","2007-01-31",55.75
"21","2007-02-01",55.990002
"22","2007-02-02",55.77
"23","2007-02-05",56.02
"24","2007-02-06",55.810001
"25","2007-02-07",55.57
"26","2007-02-08",55.650002
"27","2007-02-09",55.709999
"28","2007-02-12",55.610001
"29","2007-02-13",56.209999
"30","2007-02-14",56.310001
"31","2007-02-15",56.950001
"32","2007-02-16",57.220001
"33","2007-02-20",57.48
"34","2007-02-21",57.439999
"35","2007-02-22",57.189999
"36","2007-02-23",57.389999
"37","2007-02-26",57.130001
"38","2007-02-27",56.060001
"39","2007-02-28",55.720001
"40","2007-03-01",55.360001
"41","2007-03-02",54.650002
"42","2007-03-05",54.009998
"43","2007-03-06",55.09
"44","2007-03-07",55.110001
"45","2007-03-08",55.880001
"46","2007-03-09",56.07
"47","2007-03-12",56.34
"48","2007-03-13",54.419998
"49","2007-03-14",54.810001
"50","2007-03-15",55.009998
"51","2007-03-16",55.23
"52","2007-03-19",56.599998
"53","2007-03-20",56.650002
"54","2007-03-21",57.459999
"55","2007-03-22",57.189999
"56","2007-03-23",57.82
"57","2007-03-26",57.919998
"58","2007-03-27",58.5
"59","2007-03-28",58.82
"60","2007-03-29",58.130001
"61","2007-03-30",58.540001
"62","2007-04-02",59
"63","2007-04-03",59.060001
"64","2007-04-04",58.470001
"65","2007-04-05",58.919998
"66","2007-04-09",58.560001
"67","2007-04-10",58.48
"68","2007-04-11",58.73
"69","2007-04-12",59.009998
"70","2007-04-13",59.57
"71","2007-04-16",59.91
"72","2007-04-17",59.630001
"73","2007-04-18",60.02
"74","2007-04-19",60.040001
"75","2007-04-20",60.220001
"76","2007-04-23",60.48
"77","2007-04-24",60.77
"78","2007-04-25",60.630001
