"","date","MOV"
"1","2007-01-03",28.77
"2","2007-01-04",28.309999
"3","2007-01-05",28.370001
"4","2007-01-08",28.469999
"5","2007-01-09",28.15
"6","2007-01-10",27.629999
"7","2007-01-11",28.65
"8","2007-01-12",28.27
"9","2007-01-16",28.4
"10","2007-01-17",29.01
"11","2007-01-18",28.92
"12","2007-01-19",28.74
"13","2007-01-22",28.48
"14","2007-01-23",28.32
"15","2007-01-24",28.9
"16","2007-01-25",28
"17","2007-01-26",28.190001
"18","2007-01-29",28
"19","2007-01-30",28.299999
"20","2007-01-31",28.700001
"21","2007-02-01",29.26
"22","2007-02-02",29.52
"23","2007-02-05",29.91
"24","2007-02-06",29.809999
"25","2007-02-07",29.92
"26","2007-02-08",29.870001
"27","2007-02-09",29.690001
"28","2007-02-12",29.620001
"29","2007-02-13",30.059999
"30","2007-02-14",29.9
"31","2007-02-15",30.059999
"32","2007-02-16",30
"33","2007-02-20",30.35
"34","2007-02-21",30.15
"35","2007-02-22",30.200001
"36","2007-02-23",30
"37","2007-02-26",29.99
"38","2007-02-27",28.18
"39","2007-02-28",29.5
"40","2007-03-01",28.4
"41","2007-03-02",27.84
"42","2007-03-05",27.530001
"43","2007-03-06",28.219999
"44","2007-03-07",28.719999
"45","2007-03-08",29.049999
"46","2007-03-09",29.18
"47","2007-03-12",29.709999
"48","2007-03-13",28.48
"49","2007-03-14",28.959999
"50","2007-03-15",29.639999
"51","2007-03-16",28.93
"52","2007-03-19",29.709999
"53","2007-03-20",30.200001
"54","2007-03-21",31.190001
"55","2007-03-22",31.040001
"56","2007-03-23",31.629999
"57","2007-03-26",33.950001
"58","2007-03-27",34.470001
"59","2007-03-28",34.580002
"60","2007-03-29",28.74
"61","2007-03-30",29.450001
"62","2007-04-02",30.16
"63","2007-04-03",30.610001
"64","2007-04-04",30.440001
"65","2007-04-05",30.33
"66","2007-04-09",30.16
"67","2007-04-10",30.93
"68","2007-04-11",31.82
"69","2007-04-12",32.279999
"70","2007-04-13",32.5
"71","2007-04-16",32.900002
"72","2007-04-17",32.77
"73","2007-04-18",32.200001
"74","2007-04-19",32.099998
"75","2007-04-20",32.490002
"76","2007-04-23",32.400002
"77","2007-04-24",32.330002
"78","2007-04-25",32.689999
"79","2007-04-26",33.18
"80","2007-04-27",32.91
"81","2007-04-30",32.919998
"82","2007-05-01",32.740002
"83","2007-05-02",33.43
"84","2007-05-03",32.700001
"85","2007-05-04",32.939999
"86","2007-05-07",33.080002
"87","2007-05-08",32.98
"88","2007-05-09",33.080002
"89","2007-05-10",32.279999
"90","2007-05-11",32.869999
"91","2007-05-14",32.330002
"92","2007-05-15",32.299999
"93","2007-05-16",32.889999
"94","2007-05-17",32.330002
"95","2007-05-18",32.810001
"96","2007-05-21",33.349998
"97","2007-05-22",34.02
"98","2007-05-23",33.110001
"99","2007-05-24",32.91
"100","2007-05-25",32.380001
"101","2007-05-29",32.610001
"102","2007-05-30",34
"103","2007-05-31",33.330002
"104","2007-06-01",33.080002
"105","2007-06-04",33.73
"106","2007-06-05",33.169998
"107","2007-06-06",32.939999
"108","2007-06-07",32.919998
"109","2007-06-08",33.82
"110","2007-06-11",33.720001
"111","2007-06-12",33.049999
"112","2007-06-13",33.950001
"113","2007-06-14",34.099998
"114","2007-06-15",34.380001
"115","2007-06-18",33.580002
"116","2007-06-19",33.869999
"117","2007-06-20",33.720001
"118","2007-06-21",33.490002
"119","2007-06-22",33.119999
"120","2007-06-25",33.060001
"121","2007-06-26",33.25
"122","2007-06-27",34.220001
"123","2007-06-28",34.119999
"124","2007-06-29",33.740002
"125","2007-07-02",34.279999
"126","2007-07-03",34.279999
"127","2007-07-05",34.66
"128","2007-07-06",34.52
"129","2007-07-09",34.099998
"130","2007-07-10",33.369999
"131","2007-07-11",33.41
"132","2007-07-12",33.779999
"133","2007-07-13",33.310001
"134","2007-07-16",33.279999
"135","2007-07-17",33.25
"136","2007-07-18",32.669998
"137","2007-07-19",32.279999
"138","2007-07-20",31.98
"139","2007-07-23",31.75
"140","2007-07-24",30.950001
"141","2007-07-25",30.790001
"142","2007-07-26",29.98
"143","2007-07-27",28.4
"144","2007-07-30",28.92
"145","2007-07-31",28.24
"146","2007-08-01",28.23
"147","2007-08-02",28.219999
"148","2007-08-03",27.780001
"149","2007-08-06",27.549999
"150","2007-08-07",29.48
"151","2007-08-08",28.75
"152","2007-08-09",29.26
"153","2007-08-10",30.549999
"154","2007-08-13",29.209999
"155","2007-08-14",27.610001
"156","2007-08-15",27.860001
"157","2007-08-16",28.08
"158","2007-08-17",29.02
"159","2007-08-20",28.98
"160","2007-08-21",29.129999
"161","2007-08-22",30.190001
"162","2007-08-23",29.1
"163","2007-08-24",29.469999
"164","2007-08-27",29.58
"165","2007-08-28",28.370001
"166","2007-08-29",29.200001
"167","2007-08-30",28.950001
"168","2007-08-31",29.5
"169","2007-09-04",29.98
