"","date","DQ"
"1","2010-10-07",10.25
"2","2010-10-08",10.13
"3","2010-10-11",11.13
"4","2010-10-12",12.05
"5","2010-10-13",12.71
"6","2010-10-14",13.94
"7","2010-10-15",14.21
"8","2010-10-18",13.4
"9","2010-10-19",11.71
"10","2010-10-20",12
"11","2010-10-21",11.91
"12","2010-10-22",13.4
"13","2010-10-25",13.84
"14","2010-10-26",13.25
"15","2010-10-27",13.5
"16","2010-10-28",13.32
"17","2010-10-29",12.76
"18","2010-11-01",12.12
"19","2010-11-02",12.9
"20","2010-11-03",13.39
"21","2010-11-04",14.24
"22","2010-11-05",13.81
"23","2010-11-08",14.32
"24","2010-11-09",14.39
"25","2010-11-10",14.24
"26","2010-11-11",14.61
"27","2010-11-12",13.96
"28","2010-11-15",14.13
"29","2010-11-16",13.39
"30","2010-11-17",11.19
"31","2010-11-18",11.49
"32","2010-11-19",11.52
"33","2010-11-22",11.68
"34","2010-11-23",11.5
"35","2010-11-24",12.05
"36","2010-11-26",11.57
"37","2010-11-29",11.1
"38","2010-11-30",10.51
"39","2010-12-01",11.36
"40","2010-12-02",11.73
"41","2010-12-03",11.77
"42","2010-12-06",11.6
"43","2010-12-07",11.15
"44","2010-12-08",11.32
"45","2010-12-09",11.38
"46","2010-12-10",11.12
"47","2010-12-13",10.97
"48","2010-12-14",10.46
"49","2010-12-15",10.3
"50","2010-12-16",10.19
"51","2010-12-17",10.14
"52","2010-12-20",10.23
"53","2010-12-21",10.08
"54","2010-12-22",9.99
"55","2010-12-23",10.45
"56","2010-12-27",10.26
"57","2010-12-28",10.02
"58","2010-12-29",10.08
"59","2010-12-30",10
"60","2010-12-31",10.16
"61","2011-01-03",10.31
"62","2011-01-04",10.39
"63","2011-01-05",11.27
"64","2011-01-06",13.5
"65","2011-01-07",13.25
"66","2011-01-10",13.08
"67","2011-01-11",13.6
"68","2011-01-12",13.52
"69","2011-01-13",13.35
"70","2011-01-14",12.91
"71","2011-01-18",13.08
"72","2011-01-19",12.39
"73","2011-01-20",12.14
"74","2011-01-21",12.04
"75","2011-01-24",12.9
"76","2011-01-25",12.62
"77","2011-01-26",13.17
"78","2011-01-27",13.28
"79","2011-01-28",13.11
"80","2011-01-31",13.14
"81","2011-02-01",13.83
"82","2011-02-02",14.74
"83","2011-02-03",14.49
"84","2011-02-04",13.18
"85","2011-02-07",13.74
"86","2011-02-08",13.39
"87","2011-02-09",13.28
"88","2011-02-10",13.35
"89","2011-02-11",13.35
"90","2011-02-14",12.75
"91","2011-02-15",13.08
"92","2011-02-16",13.52
"93","2011-02-17",13.5
"94","2011-02-18",13.53
"95","2011-02-22",12.77
"96","2011-02-23",12.31
"97","2011-02-24",12.3
"98","2011-02-25",12.07
"99","2011-02-28",12.16
"100","2011-03-01",11.85
"101","2011-03-02",11.95
"102","2011-03-03",12.26
"103","2011-03-04",12.18
"104","2011-03-07",12.14
"105","2011-03-08",12.31
"106","2011-03-09",12.12
"107","2011-03-10",11.2
"108","2011-03-11",11.41
"109","2011-03-14",12.24
"110","2011-03-15",12.75
"111","2011-03-16",12.79
"112","2011-03-17",13.06
"113","2011-03-18",12.9
"114","2011-03-21",13.16
"115","2011-03-22",13.2
"116","2011-03-23",13.14
"117","2011-03-24",13.13
"118","2011-03-25",13.19
"119","2011-03-28",13.25
"120","2011-03-29",12.98
"121","2011-03-30",12.99
"122","2011-03-31",12.88
"123","2011-04-01",12.42
"124","2011-04-04",11.93
"125","2011-04-05",12.24
"126","2011-04-06",12.26
"127","2011-04-07",12.12
"128","2011-04-08",11.71
"129","2011-04-11",11.19
"130","2011-04-12",11.13
"131","2011-04-13",11.47
"132","2011-04-14",11.21
"133","2011-04-15",11.18
"134","2011-04-18",10.92
"135","2011-04-19",11.5
"136","2011-04-20",11.98
"137","2011-04-21",12.06
"138","2011-04-25",12.09
"139","2011-04-26",12.15
"140","2011-04-27",12.29
"141","2011-04-28",12
"142","2011-04-29",12.27
"143","2011-05-02",12.37
"144","2011-05-03",11.92
"145","2011-05-04",12.01
"146","2011-05-05",12.32
"147","2011-05-06",12.46
"148","2011-05-09",13
"149","2011-05-10",13.38
"150","2011-05-11",13.59
"151","2011-05-12",13.33
"152","2011-05-13",13.25
"153","2011-05-16",11.81
"154","2011-05-17",11.29
"155","2011-05-18",11.64
