"","date","BBU"
"1","2016-06-01",25
"2","2016-06-02",25
"3","2016-06-03",25
"4","2016-06-06",25
"5","2016-06-07",25
"6","2016-06-08",25
"7","2016-06-09",25
"8","2016-06-10",25.575001
"9","2016-06-13",25.200001
"10","2016-06-14",25.395
"11","2016-06-15",26
"12","2016-06-16",26.49
"13","2016-06-17",29.280001
"14","2016-06-20",21.469999
"15","2016-06-21",21.5
"16","2016-06-22",20.93
"17","2016-06-23",20.620001
"18","2016-06-24",19.950001
"19","2016-06-27",18.5
"20","2016-06-28",18.34
"21","2016-06-29",18.34
"22","2016-06-30",19.09
"23","2016-07-01",18.49
"24","2016-07-05",18.66
"25","2016-07-06",19.030001
"26","2016-07-07",18.610001
"27","2016-07-08",18.65
"28","2016-07-11",18.68
"29","2016-07-12",19.02
"30","2016-07-13",19.49
"31","2016-07-14",21.09
"32","2016-07-15",21.209999
"33","2016-07-18",21.41
"34","2016-07-19",21.370001
"35","2016-07-20",21.32
"36","2016-07-21",21.32
"37","2016-07-22",21.07
"38","2016-07-25",21.09
"39","2016-07-26",21.190001
"40","2016-07-27",21.049999
"41","2016-07-28",21.110001
"42","2016-07-29",21.32
"43","2016-08-01",20.98
"44","2016-08-02",20.469999
"45","2016-08-03",20
"46","2016-08-04",20.58
"47","2016-08-05",21
"48","2016-08-08",21.99
"49","2016-08-09",22.190001
"50","2016-08-10",22.610001
"51","2016-08-11",22.459999
"52","2016-08-12",22.049999
"53","2016-08-15",21.540001
"54","2016-08-16",21.35
"55","2016-08-17",21.280001
"56","2016-08-18",21.27
"57","2016-08-19",20.51
"58","2016-08-22",21.23
"59","2016-08-23",21.35
"60","2016-08-24",21.93
"61","2016-08-25",22.309999
"62","2016-08-26",22.57
"63","2016-08-29",23.08
"64","2016-08-30",23.030001
"65","2016-08-31",23.09
"66","2016-09-01",22.92
"67","2016-09-02",23.139999
"68","2016-09-06",23.780001
"69","2016-09-07",23.049999
"70","2016-09-08",23.700001
"71","2016-09-09",23.139999
"72","2016-09-12",23.24
"73","2016-09-13",22.620001
"74","2016-09-14",22.73
"75","2016-09-15",22.549999
"76","2016-09-16",23.120001
"77","2016-09-19",23
"78","2016-09-20",22.99
"79","2016-09-21",22.950001
"80","2016-09-22",23.030001
"81","2016-09-23",22.969999
"82","2016-09-26",23
"83","2016-09-27",23.9
"84","2016-09-28",25
"85","2016-09-29",25.76
"86","2016-09-30",26.43
"87","2016-10-03",25.67
"88","2016-10-04",25.01
