"","date","RUSHA"
"1","2007-01-03",7.773334
"2","2007-01-04",7.862222
"3","2007-01-05",7.582222
"4","2007-01-08",7.591111
"5","2007-01-09",7.822222
"6","2007-01-10",7.653333
"7","2007-01-11",7.675556
"8","2007-01-12",7.853333
"9","2007-01-16",7.502222
"10","2007-01-17",7.6
"11","2007-01-18",7.768889
"12","2007-01-19",7.822222
"13","2007-01-22",7.746666
"14","2007-01-23",7.822222
"15","2007-01-24",7.986667
"16","2007-01-25",7.906667
"17","2007-01-26",7.866667
"18","2007-01-29",7.951111
"19","2007-01-30",8.017777
"20","2007-01-31",8.142222
"21","2007-02-01",7.986667
"22","2007-02-02",7.982222
"23","2007-02-05",7.964445
"24","2007-02-06",8.097777
"25","2007-02-07",8.355556
"26","2007-02-08",8.444445
"27","2007-02-09",8.462222
"28","2007-02-12",8.4
"29","2007-02-13",8.733334
"30","2007-02-14",8.933333
"31","2007-02-15",8.906667
"32","2007-02-16",8.786667
"33","2007-02-20",9.066667
"34","2007-02-21",8.848889
"35","2007-02-22",8.862223
"36","2007-02-23",8.724444
"37","2007-02-26",8.591111
"38","2007-02-27",8.208889
"39","2007-02-28",8.253333
"40","2007-03-01",8.191112
"41","2007-03-02",8.017777
"42","2007-03-05",7.915555
"43","2007-03-06",8.28
"44","2007-03-07",8.235556
"45","2007-03-08",8.271111
"46","2007-03-09",8.306666
"47","2007-03-12",8.391111
"48","2007-03-13",8.208889
"49","2007-03-14",8.4
"50","2007-03-15",8.511111
"51","2007-03-16",8.502222
"52","2007-03-19",8.484445
"53","2007-03-20",8.6
"54","2007-03-21",8.96
"55","2007-03-22",8.942223
"56","2007-03-23",8.928889
"57","2007-03-26",8.928889
"58","2007-03-27",8.631111
"59","2007-03-28",8.537778
"60","2007-03-29",8.826667
"61","2007-03-30",8.537778
"62","2007-04-02",8.542222
"63","2007-04-03",8.444445
"64","2007-04-04",8.702222
"65","2007-04-05",8.724444
"66","2007-04-09",8.497778
"67","2007-04-10",8.568889
"68","2007-04-11",8.551111
"69","2007-04-12",8.635555
"70","2007-04-13",8.622222
"71","2007-04-16",8.946667
"72","2007-04-17",8.92
"73","2007-04-18",9.235556
"74","2007-04-19",9.128889
"75","2007-04-20",9.515555
"76","2007-04-23",9.333333
"77","2007-04-24",9.568889
"78","2007-04-25",9.448889
"79","2007-04-26",9.528889
"80","2007-04-27",9.284445
"81","2007-04-30",9.244445
"82","2007-05-01",9.288889
"83","2007-05-02",9.417778
"84","2007-05-03",9.466666
"85","2007-05-04",9.546667
"86","2007-05-07",9.493333
