"","date","CSPR"
"1","2020-02-06",13.5
"2","2020-02-07",11.05
"3","2020-02-10",9.99
"4","2020-02-11",9.92
"5","2020-02-12",10.39
"6","2020-02-13",10.64
"7","2020-02-14",10.26
"8","2020-02-18",10.12
"9","2020-02-19",10.06
"10","2020-02-20",10.56
"11","2020-02-21",10.39
"12","2020-02-24",10.1
"13","2020-02-25",9.7
"14","2020-02-26",9.68
"15","2020-02-27",9.04
"16","2020-02-28",9.02
"17","2020-03-02",9.04
"18","2020-03-03",9.06
"19","2020-03-04",9.32
"20","2020-03-05",8.77
"21","2020-03-06",8.05
"22","2020-03-09",6.41
"23","2020-03-10",6.34
"24","2020-03-11",5.85
"25","2020-03-12",5.09
"26","2020-03-13",5.79
"27","2020-03-16",4.64
"28","2020-03-17",4.45
"29","2020-03-18",3.5
"30","2020-03-19",3.63
"31","2020-03-20",3.18
"32","2020-03-23",3.48
"33","2020-03-24",3.77
"34","2020-03-25",3.92
"35","2020-03-26",4.69
"36","2020-03-27",4
"37","2020-03-30",4.17
"38","2020-03-31",4.29
"39","2020-04-01",4.03
"40","2020-04-02",3.95
"41","2020-04-03",4.04
"42","2020-04-06",4.4
"43","2020-04-07",4.59
"44","2020-04-08",4.96
"45","2020-04-09",5.27
"46","2020-04-13",5.24
"47","2020-04-14",5.51
"48","2020-04-15",5.64
"49","2020-04-16",7.57
"50","2020-04-17",6.41
"51","2020-04-20",5.7
"52","2020-04-21",5.91
"53","2020-04-22",6.34
"54","2020-04-23",6.3
"55","2020-04-24",6.66
"56","2020-04-27",8
"57","2020-04-28",8.06
"58","2020-04-29",7.37
"59","2020-04-30",6.95
"60","2020-05-01",6.26
"61","2020-05-04",6.42
"62","2020-05-05",6.36
"63","2020-05-06",6.33
"64","2020-05-07",6.48
"65","2020-05-08",7.17
"66","2020-05-11",7.9
"67","2020-05-12",6.37
"68","2020-05-13",6.71
"69","2020-05-14",6.33
"70","2020-05-15",6.58
"71","2020-05-18",6.6
"72","2020-05-19",6.5
"73","2020-05-20",6.65
"74","2020-05-21",6.9
"75","2020-05-22",6.86
"76","2020-05-26",7.25
"77","2020-05-27",7.21
"78","2020-05-28",6.91
"79","2020-05-29",7.06
"80","2020-06-01",7.26
"81","2020-06-02",7.43
"82","2020-06-03",8.27
"83","2020-06-04",8.18
"84","2020-06-05",9
"85","2020-06-08",9.67
"86","2020-06-09",8.66
"87","2020-06-10",8.22
"88","2020-06-11",7.51
"89","2020-06-12",8.14
"90","2020-06-15",8.64
"91","2020-06-16",8.65
"92","2020-06-17",9.42
"93","2020-06-18",9.2
"94","2020-06-19",8.78
"95","2020-06-22",8.98
"96","2020-06-23",8.91
"97","2020-06-24",8.92
"98","2020-06-25",8.76
"99","2020-06-26",8.5
"100","2020-06-29",8.82
"101","2020-06-30",8.97
"102","2020-07-01",9.08
"103","2020-07-02",8.78
"104","2020-07-06",8.82
"105","2020-07-07",8.57
"106","2020-07-08",8.64
"107","2020-07-09",8.22
"108","2020-07-10",8.17
"109","2020-07-13",7.46
"110","2020-07-14",7.7
"111","2020-07-15",8.11
"112","2020-07-16",7.91
"113","2020-07-17",7.85
"114","2020-07-20",7.77
"115","2020-07-21",7.65
"116","2020-07-22",7.8
"117","2020-07-23",7.45
"118","2020-07-24",7.36
"119","2020-07-27",8.02
"120","2020-07-28",8.63
"121","2020-07-29",9
"122","2020-07-30",9.27
"123","2020-07-31",9.23
"124","2020-08-03",8
"125","2020-08-04",8.1
"126","2020-08-05",8.76
"127","2020-08-06",8.7
"128","2020-08-07",8.74
"129","2020-08-10",9.58
"130","2020-08-11",8.99
"131","2020-08-12",8.86
"132","2020-08-13",8.7
"133","2020-08-14",8.17
"134","2020-08-17",8.35
"135","2020-08-18",8.41
"136","2020-08-19",8.76
"137","2020-08-20",8.75
"138","2020-08-21",9.26
"139","2020-08-24",9.35
"140","2020-08-25",9.75
"141","2020-08-26",9.25
"142","2020-08-27",9.31
"143","2020-08-28",9.39
"144","2020-08-31",9.08
"145","2020-09-01",9.09
"146","2020-09-02",9
"147","2020-09-03",8.55
"148","2020-09-04",9.09
"149","2020-09-08",8.45
"150","2020-09-09",8.3
"151","2020-09-10",8.13
"152","2020-09-11",8.08
"153","2020-09-14",8.34
"154","2020-09-15",8.62
"155","2020-09-16",8.46
"156","2020-09-17",8.4
"157","2020-09-18",7.99
"158","2020-09-21",7.7
"159","2020-09-22",7.34
"160","2020-09-23",6.99
"161","2020-09-24",6.56
"162","2020-09-25",6.65
"163","2020-09-28",6.85
"164","2020-09-29",6.81
"165","2020-09-30",7.19
"166","2020-10-01",6.89
"167","2020-10-02",6.9
"168","2020-10-05",7.1
"169","2020-10-06",6.85
"170","2020-10-07",6.94
"171","2020-10-08",7.17
"172","2020-10-09",7.15
"173","2020-10-12",7.13
"174","2020-10-13",7.85
"175","2020-10-14",8.03
"176","2020-10-15",7.81
"177","2020-10-16",7.98
"178","2020-10-19",8.12
"179","2020-10-20",7.79
"180","2020-10-21",7.56
"181","2020-10-22",7.6
"182","2020-10-23",7.43
"183","2020-10-26",7.29
"184","2020-10-27",7.05
"185","2020-10-28",6.8
"186","2020-10-29",6.68
"187","2020-10-30",6.63
"188","2020-11-02",6.58
"189","2020-11-03",7.01
"190","2020-11-04",6.94
"191","2020-11-05",7.2
"192","2020-11-06",7.31
"193","2020-11-09",6.88
"194","2020-11-10",6.59
"195","2020-11-11",6.62
"196","2020-11-12",6.6
"197","2020-11-13",7.43
"198","2020-11-16",6.42
"199","2020-11-17",6.36
"200","2020-11-18",6.18
"201","2020-11-19",6.2
"202","2020-11-20",6.12
"203","2020-11-23",6.04
"204","2020-11-24",6.01
"205","2020-11-25",6.41
"206","2020-11-27",6.52
