"","date","PNNT"
"1","2007-04-19",14.4
"2","2007-04-20",14.77
"3","2007-04-23",14.83
"4","2007-04-24",15
"5","2007-04-25",14.9
"6","2007-04-26",14.94
"7","2007-04-27",14.91
"8","2007-04-30",14.98
"9","2007-05-01",15
"10","2007-05-02",15.02
"11","2007-05-03",14.9
"12","2007-05-04",14.9
"13","2007-05-07",14.88
"14","2007-05-08",14.79
"15","2007-05-09",14.89
"16","2007-05-10",14.91
"17","2007-05-11",14.9
"18","2007-05-14",14.85
"19","2007-05-15",14.79
"20","2007-05-16",14.75
"21","2007-05-17",14.49
"22","2007-05-18",14.57
"23","2007-05-21",14.42
"24","2007-05-22",14.55
"25","2007-05-23",14.4
"26","2007-05-24",14.49
"27","2007-05-25",14.4
"28","2007-05-29",14.5
"29","2007-05-30",14.95
"30","2007-05-31",14.97
"31","2007-06-01",14.95
"32","2007-06-04",14.95
"33","2007-06-05",14.92
"34","2007-06-06",14.98
"35","2007-06-07",15
"36","2007-06-08",14.95
"37","2007-06-11",15
"38","2007-06-12",14.95
"39","2007-06-13",15.03
"40","2007-06-14",14.84
"41","2007-06-15",15
"42","2007-06-18",14.99
"43","2007-06-19",14.79
"44","2007-06-20",14.84
"45","2007-06-21",14.45
"46","2007-06-22",14.06
"47","2007-06-25",14.32
"48","2007-06-26",14.18
"49","2007-06-27",14.49
"50","2007-06-28",14.26
"51","2007-06-29",14.04
"52","2007-07-02",14.48
"53","2007-07-03",14.72
"54","2007-07-05",14.5
"55","2007-07-06",14.76
"56","2007-07-09",14.55
"57","2007-07-10",14.33
"58","2007-07-11",14.25
"59","2007-07-12",14.65
"60","2007-07-13",14.5
"61","2007-07-16",14.36
"62","2007-07-17",14.42
"63","2007-07-18",14.42
"64","2007-07-19",14.42
"65","2007-07-20",14.32
"66","2007-07-23",14.3
"67","2007-07-24",14.21
"68","2007-07-25",13.94
"69","2007-07-26",13.25
"70","2007-07-27",13.19
"71","2007-07-30",13.23
"72","2007-07-31",13.3
"73","2007-08-01",13.63
"74","2007-08-02",13.6
"75","2007-08-03",13.29
"76","2007-08-06",13.37
"77","2007-08-07",13.3
"78","2007-08-08",13.5
"79","2007-08-09",13.23
"80","2007-08-10",13.03
"81","2007-08-13",13.26
"82","2007-08-14",13.11
"83","2007-08-15",12.8
"84","2007-08-16",12.9
"85","2007-08-17",12.69
"86","2007-08-20",12.8
"87","2007-08-21",12.95
"88","2007-08-22",13.26
"89","2007-08-23",13.02
"90","2007-08-24",13.12
"91","2007-08-27",13.02
"92","2007-08-28",12.9
"93","2007-08-29",13.08
"94","2007-08-30",13.1
"95","2007-08-31",12.98
"96","2007-09-04",12.96
"97","2007-09-05",12.69
"98","2007-09-06",12.81
"99","2007-09-07",12.61
"100","2007-09-10",12.96
"101","2007-09-11",13
"102","2007-09-12",12.75
"103","2007-09-13",12.96
"104","2007-09-14",13
"105","2007-09-17",13
"106","2007-09-18",13.18
"107","2007-09-19",13.4
"108","2007-09-20",13.14
"109","2007-09-21",13.05
"110","2007-09-24",13.1
"111","2007-09-25",12.97
"112","2007-09-26",13.1
"113","2007-09-27",13.6
"114","2007-09-28",13.4
"115","2007-10-01",13.96
"116","2007-10-02",14.24
"117","2007-10-03",14.11
"118","2007-10-04",14.13
"119","2007-10-05",14.49
"120","2007-10-08",14.25
"121","2007-10-09",14.26
"122","2007-10-10",14
"123","2007-10-11",14
"124","2007-10-12",14
"125","2007-10-15",14.2
"126","2007-10-16",14.45
"127","2007-10-17",14.38
"128","2007-10-18",13.93
"129","2007-10-19",13.19
"130","2007-10-22",13.53
"131","2007-10-23",13.7
"132","2007-10-24",13.55
"133","2007-10-25",13.45
"134","2007-10-26",13.68
"135","2007-10-29",13.71
"136","2007-10-30",13.21
"137","2007-10-31",13.06
"138","2007-11-01",12.41
"139","2007-11-02",12.72
"140","2007-11-05",12.32
"141","2007-11-06",12.49
"142","2007-11-07",11.61
"143","2007-11-08",11.92
"144","2007-11-09",11.95
"145","2007-11-12",12.29
"146","2007-11-13",12.27
"147","2007-11-14",11.89
"148","2007-11-15",11.34
"149","2007-11-16",11.8
"150","2007-11-19",11.55
"151","2007-11-20",11.02
"152","2007-11-21",10.4
"153","2007-11-23",10.39
"154","2007-11-26",9.96
"155","2007-11-27",10.95
"156","2007-11-28",11.51
"157","2007-11-29",11.1
"158","2007-11-30",11.49
"159","2007-12-03",11.27
"160","2007-12-04",10.62
"161","2007-12-05",10.91
"162","2007-12-06",11.02
"163","2007-12-07",10.71
"164","2007-12-10",10.38
"165","2007-12-11",10.07
