"","date","SCI"
"1","2007-01-03",10.49
"2","2007-01-04",10.66
"3","2007-01-05",10.74
"4","2007-01-08",10.74
"5","2007-01-09",10.7
"6","2007-01-10",10.68
"7","2007-01-11",10.68
"8","2007-01-12",10.69
"9","2007-01-16",10.7
"10","2007-01-17",10.75
"11","2007-01-18",10.75
"12","2007-01-19",10.69
"13","2007-01-22",10.64
"14","2007-01-23",10.47
"15","2007-01-24",10.36
"16","2007-01-25",10.35
"17","2007-01-26",10.31
"18","2007-01-29",10.59
"19","2007-01-30",10.65
"20","2007-01-31",10.65
"21","2007-02-01",10.68
"22","2007-02-02",10.76
"23","2007-02-05",10.7
"24","2007-02-06",10.75
"25","2007-02-07",10.76
"26","2007-02-08",10.82
"27","2007-02-09",10.79
"28","2007-02-12",10.8
"29","2007-02-13",10.84
"30","2007-02-14",10.84
"31","2007-02-15",10.85
"32","2007-02-16",10.9
"33","2007-02-20",11.8
"34","2007-02-21",11.79
"35","2007-02-22",11.75
"36","2007-02-23",11.85
"37","2007-02-26",11.71
"38","2007-02-27",11.39
"39","2007-02-28",11.73
"40","2007-03-01",11.65
"41","2007-03-02",11.54
"42","2007-03-05",11.46
"43","2007-03-06",11.84
"44","2007-03-07",11.94
"45","2007-03-08",12.11
"46","2007-03-09",12.13
"47","2007-03-12",12.14
"48","2007-03-13",12.12
"49","2007-03-14",11.96
"50","2007-03-15",11.91
"51","2007-03-16",11.91
"52","2007-03-19",11.94
"53","2007-03-20",11.99
"54","2007-03-21",12.2
"55","2007-03-22",12.06
"56","2007-03-23",12.11
"57","2007-03-26",12.04
"58","2007-03-27",11.87
"59","2007-03-28",11.69
"60","2007-03-29",11.55
"61","2007-03-30",11.86
"62","2007-04-02",11.79
"63","2007-04-03",11.83
"64","2007-04-04",11.75
"65","2007-04-05",11.72
"66","2007-04-09",11.66
"67","2007-04-10",11.7
"68","2007-04-11",11.74
"69","2007-04-12",11.75
"70","2007-04-13",11.9
"71","2007-04-16",11.94
"72","2007-04-17",12.07
"73","2007-04-18",12.14
"74","2007-04-19",12.06
"75","2007-04-20",12.04
"76","2007-04-23",12.14
"77","2007-04-24",12.01
"78","2007-04-25",12.07
"79","2007-04-26",12.14
"80","2007-04-27",12.48
"81","2007-04-30",12.15
"82","2007-05-01",12.22
"83","2007-05-02",12.53
"84","2007-05-03",12.42
"85","2007-05-04",12.33
"86","2007-05-07",12.28
"87","2007-05-08",12.3
"88","2007-05-09",12.47
"89","2007-05-10",13.44
"90","2007-05-11",13.21
"91","2007-05-14",13.46
"92","2007-05-15",13.32
"93","2007-05-16",13.79
"94","2007-05-17",13.64
"95","2007-05-18",13.85
"96","2007-05-21",13.86
"97","2007-05-22",13.85
"98","2007-05-23",13.75
"99","2007-05-24",13.71
"100","2007-05-25",13.73
"101","2007-05-29",13.95
"102","2007-05-30",13.97
"103","2007-05-31",13.98
"104","2007-06-01",13.88
"105","2007-06-04",13.7
"106","2007-06-05",13.68
"107","2007-06-06",13.54
"108","2007-06-07",13.4
