"","date","WDC"
"1","2007-01-03",20.440001
"2","2007-01-04",20.52
"3","2007-01-05",19.9
"4","2007-01-08",19.91
"5","2007-01-09",19.99
"6","2007-01-10",20.549999
"7","2007-01-11",21.15
"8","2007-01-12",21.040001
"9","2007-01-16",20.780001
"10","2007-01-17",21.120001
"11","2007-01-18",20.25
"12","2007-01-19",20.15
"13","2007-01-22",20.040001
"14","2007-01-23",19.9
"15","2007-01-24",20.83
"16","2007-01-25",20.799999
"17","2007-01-26",19.110001
"18","2007-01-29",19.58
"19","2007-01-30",19.450001
"20","2007-01-31",19.6
"21","2007-02-01",19.440001
"22","2007-02-02",19.32
"23","2007-02-05",19.190001
"24","2007-02-06",19.09
"25","2007-02-07",19.139999
"26","2007-02-08",19.110001
"27","2007-02-09",18.84
"28","2007-02-12",18.67
"29","2007-02-13",18.719999
"30","2007-02-14",19.02
"31","2007-02-15",18.9
"32","2007-02-16",18.85
"33","2007-02-20",18.91
"34","2007-02-21",19.450001
"35","2007-02-22",19.290001
"36","2007-02-23",20.15
"37","2007-02-26",20.17
"38","2007-02-27",19.209999
"39","2007-02-28",19.17
"40","2007-03-01",19.09
"41","2007-03-02",18.540001
"42","2007-03-05",18.15
"43","2007-03-06",18.290001
"44","2007-03-07",18.299999
"45","2007-03-08",18.139999
"46","2007-03-09",18.18
"47","2007-03-12",18.049999
"48","2007-03-13",17.690001
"49","2007-03-14",17.700001
"50","2007-03-15",17.99
"51","2007-03-16",17.639999
"52","2007-03-19",17.780001
"53","2007-03-20",17.52
"54","2007-03-21",17.82
"55","2007-03-22",17.48
"56","2007-03-23",17.629999
"57","2007-03-26",17.6
"58","2007-03-27",17.4
"59","2007-03-28",17.09
"60","2007-03-29",17.110001
"61","2007-03-30",16.809999
"62","2007-04-02",16.799999
"63","2007-04-03",17.059999
"64","2007-04-04",16.74
"65","2007-04-05",16.77
"66","2007-04-09",17.02
"67","2007-04-10",16.5
"68","2007-04-11",16.74
"69","2007-04-12",16.67
"70","2007-04-13",17.190001
"71","2007-04-16",17.4
