"","date","SENEB"
"1","2007-01-03",24.299999
"2","2007-01-04",24.299999
"3","2007-01-05",24.549999
"4","2007-01-08",24.549999
"5","2007-01-09",24.549999
"6","2007-01-10",24.549999
"7","2007-01-11",24.549999
"8","2007-01-12",25.360001
"9","2007-01-16",25.360001
"10","2007-01-17",26
"11","2007-01-18",26
"12","2007-01-19",26.16
"13","2007-01-22",26.16
"14","2007-01-23",26.16
"15","2007-01-24",26.16
"16","2007-01-25",26
"17","2007-01-26",25.34
"18","2007-01-29",24.9
"19","2007-01-30",24.9
"20","2007-01-31",24.9
"21","2007-02-01",24.51
"22","2007-02-02",24.51
"23","2007-02-05",24.51
"24","2007-02-06",24.51
"25","2007-02-07",25.5
"26","2007-02-08",26.75
"27","2007-02-09",27.35
"28","2007-02-12",27.35
"29","2007-02-13",27.950001
"30","2007-02-14",27.709999
"31","2007-02-15",27.610001
"32","2007-02-16",27.610001
"33","2007-02-20",28.01
"34","2007-02-21",28.01
"35","2007-02-22",28.01
"36","2007-02-23",28.110001
"37","2007-02-26",29.01
"38","2007-02-27",29.01
"39","2007-02-28",29.01
"40","2007-03-01",28.24
"41","2007-03-02",28.24
"42","2007-03-05",28.24
"43","2007-03-06",28.24
"44","2007-03-07",28.4
"45","2007-03-08",28.01
"46","2007-03-09",28.01
"47","2007-03-12",29.110001
"48","2007-03-13",28.26
"49","2007-03-14",28
"50","2007-03-15",28
"51","2007-03-16",28.700001
"52","2007-03-19",28.85
"53","2007-03-20",28.85
"54","2007-03-21",27.66
"55","2007-03-22",27.6
"56","2007-03-23",27.6
"57","2007-03-26",27.6
"58","2007-03-27",27.6
"59","2007-03-28",24
"60","2007-03-29",26.4
"61","2007-03-30",28.17
"62","2007-04-02",28.17
"63","2007-04-03",28.17
"64","2007-04-04",28.17
"65","2007-04-05",28.280001
"66","2007-04-09",28.280001
"67","2007-04-10",27.35
"68","2007-04-11",29.6
"69","2007-04-12",29.6
"70","2007-04-13",29.6
"71","2007-04-16",30
"72","2007-04-17",30
"73","2007-04-18",29.5
"74","2007-04-19",30
"75","2007-04-20",29.4
"76","2007-04-23",29.4
"77","2007-04-24",28.530001
"78","2007-04-25",27.9
"79","2007-04-26",28.59
"80","2007-04-27",28.59
"81","2007-04-30",28.59
"82","2007-05-01",28.59
"83","2007-05-02",29.5
"84","2007-05-03",30.5
"85","2007-05-04",30.5
"86","2007-05-07",30.959999
"87","2007-05-08",30.959999
"88","2007-05-09",29.75
"89","2007-05-10",29.75
"90","2007-05-11",29.799999
"91","2007-05-14",29.68
"92","2007-05-15",29.799999
"93","2007-05-16",30
"94","2007-05-17",30.5
"95","2007-05-18",30.059999
"96","2007-05-21",29.459999
"97","2007-05-22",29.540001
"98","2007-05-23",29.059999
"99","2007-05-24",29
"100","2007-05-25",29.1
"101","2007-05-29",29.1
"102","2007-05-30",29.030001
"103","2007-05-31",29.530001
"104","2007-06-01",29.33
"105","2007-06-04",28.91
"106","2007-06-05",29.450001
"107","2007-06-06",29.84
"108","2007-06-07",29.25
"109","2007-06-08",27.309999
"110","2007-06-11",26.969999
"111","2007-06-12",26.98
"112","2007-06-13",26.98
"113","2007-06-14",27.07
"114","2007-06-15",27.389999
"115","2007-06-18",27.389999
"116","2007-06-19",27.389999
"117","2007-06-20",27.389999
"118","2007-06-21",27.389999
"119","2007-06-22",27.389999
"120","2007-06-25",27.389999
"121","2007-06-26",27.389999
"122","2007-06-27",27.389999
"123","2007-06-28",27.389999
"124","2007-06-29",27.389999
"125","2007-07-02",27.389999
"126","2007-07-03",26.700001
"127","2007-07-05",26.700001
"128","2007-07-06",25.790001
"129","2007-07-09",26.59
"130","2007-07-10",26.59
"131","2007-07-11",27.389999
"132","2007-07-12",27.1
"133","2007-07-13",25.959999
"134","2007-07-16",27.360001
"135","2007-07-17",27.620001
"136","2007-07-18",27.620001
"137","2007-07-19",26.25
"138","2007-07-20",27.040001
"139","2007-07-23",26.530001
"140","2007-07-24",26.530001
"141","2007-07-25",26.530001
"142","2007-07-26",26.51
"143","2007-07-27",26.51
"144","2007-07-30",27
"145","2007-07-31",28
"146","2007-08-01",28.85
"147","2007-08-02",27.780001
"148","2007-08-03",27.780001
"149","2007-08-06",26.67
"150","2007-08-07",26.67
"151","2007-08-08",26.25
"152","2007-08-09",26.5
"153","2007-08-10",26.67
"154","2007-08-13",26.67
"155","2007-08-14",27
"156","2007-08-15",27
"157","2007-08-16",26.1
"158","2007-08-17",26.1
"159","2007-08-20",26.5
"160","2007-08-21",27.950001
"161","2007-08-22",27.950001
"162","2007-08-23",27.950001
"163","2007-08-24",26.549999
"164","2007-08-27",26.549999
