"","date","ALAC"
"1","2018-11-21",9.67
"2","2018-11-23",9.68
"3","2018-11-26",9.78
"4","2018-11-27",9.73
"5","2018-11-28",9.73
"6","2018-11-29",9.73
"7","2018-11-30",9.72
"8","2018-12-03",9.74
"9","2018-12-04",9.74
"10","2018-12-06",9.74
"11","2018-12-07",9.76
"12","2018-12-10",9.76
"13","2018-12-11",9.75
"14","2018-12-12",9.75
"15","2018-12-13",9.77
"16","2018-12-14",9.77
"17","2018-12-17",9.77
"18","2018-12-18",9.77
"19","2018-12-19",9.77
"20","2018-12-20",9.77
"21","2018-12-21",9.77
"22","2018-12-24",9.77
"23","2018-12-26",9.77
"24","2018-12-27",9.8
"25","2018-12-28",9.8
"26","2018-12-31",9.8
"27","2019-01-02",9.75
"28","2019-01-03",9.75
"29","2019-01-04",9.75
"30","2019-01-07",9.75
"31","2019-01-08",9.82
"32","2019-01-09",9.82
"33","2019-01-10",9.85
"34","2019-01-11",9.85
"35","2019-01-14",9.85
"36","2019-01-15",9.84
"37","2019-01-16",9.86
"38","2019-01-17",9.86
"39","2019-01-18",9.86
"40","2019-01-22",9.87
"41","2019-01-23",9.87
"42","2019-01-24",9.82
"43","2019-01-25",9.84
"44","2019-01-28",9.84
"45","2019-01-29",9.84
"46","2019-01-30",9.84
"47","2019-01-31",9.84
"48","2019-02-01",9.85
"49","2019-02-04",9.87
"50","2019-02-05",9.87
"51","2019-02-06",9.87
"52","2019-02-07",9.87
"53","2019-02-08",9.9
"54","2019-02-11",9.92
"55","2019-02-12",9.93
"56","2019-02-13",9.93
"57","2019-02-14",9.93
"58","2019-02-15",9.93
"59","2019-02-19",9.93
"60","2019-02-20",9.93
"61","2019-02-21",9.93
"62","2019-02-22",9.93
"63","2019-02-25",9.93
"64","2019-02-26",9.93
"65","2019-02-27",9.93
"66","2019-02-28",9.93
"67","2019-03-01",9.93
"68","2019-03-04",9.93
"69","2019-03-05",9.93
"70","2019-03-06",9.93
"71","2019-03-07",9.93
"72","2019-03-08",9.9
"73","2019-03-11",9.97
"74","2019-03-12",9.97
"75","2019-03-13",9.97
"76","2019-03-14",9.95
"77","2019-03-15",9.97
"78","2019-03-18",9.95
"79","2019-03-19",9.95
