"","date","SRNE"
"1","2007-03-19",40
"2","2007-03-20",137.5
"3","2007-03-21",50
"4","2007-03-22",62.5
"5","2007-03-23",50
"6","2007-03-26",62.5
"7","2007-03-27",62.5
"8","2007-03-28",62.5
"9","2007-03-29",62.5
"10","2007-03-30",62.5
"11","2007-04-02",62.5
"12","2007-04-03",62.5
"13","2007-04-04",62.5
"14","2007-04-05",62.5
"15","2007-04-09",62.5
"16","2007-04-10",62.5
"17","2007-04-11",62.5
"18","2007-04-12",62.5
"19","2007-04-13",62.5
"20","2007-04-16",62.5
"21","2007-04-17",62.5
"22","2007-04-18",137.5
"23","2007-04-19",137.5
"24","2007-04-20",137.5
"25","2007-04-23",137.5
"26","2007-04-24",137.5
"27","2007-04-25",75
"28","2007-04-26",75
"29","2007-04-27",75
"30","2007-04-30",75
"31","2007-05-01",75
"32","2007-05-02",75
"33","2007-05-03",75
"34","2007-05-04",75
"35","2007-05-07",75
"36","2007-05-08",75
"37","2007-05-09",250
"38","2007-05-10",77.5
"39","2007-05-11",77.5
"40","2007-05-14",77.5
"41","2007-05-15",137.5
"42","2007-05-16",137.5
"43","2007-05-17",137.5
"44","2007-05-18",77.5
"45","2007-05-21",77.5
"46","2007-05-22",77.5
"47","2007-05-23",125
"48","2007-05-24",125
"49","2007-05-25",87.5
"50","2007-05-29",90
"51","2007-05-30",90
"52","2007-05-31",70
"53","2007-06-01",70
"54","2007-06-04",100
"55","2007-06-05",100
"56","2007-06-06",100
"57","2007-06-07",100
"58","2007-06-08",100
"59","2007-06-11",100
"60","2007-06-12",100
"61","2007-06-13",100
"62","2007-06-14",100
"63","2007-06-15",75
"64","2007-06-18",75
"65","2007-06-19",75
"66","2007-06-20",145
"67","2007-06-21",87.5
"68","2007-06-22",62.5
"69","2007-06-25",62.5
"70","2007-06-26",62.5
"71","2007-06-27",50
"72","2007-06-28",50
"73","2007-06-29",50
"74","2007-07-02",50
"75","2007-07-03",50
"76","2007-07-05",50
"77","2007-07-06",50
"78","2007-07-09",37.5
"79","2007-07-10",37.5
"80","2007-07-11",37.5
"81","2007-07-12",37.5
"82","2007-07-13",50
"83","2007-07-16",50
"84","2007-07-17",50
"85","2007-07-18",50
"86","2007-07-19",50
"87","2007-07-20",50
"88","2007-07-23",50
"89","2007-07-24",50
"90","2007-07-25",50
"91","2007-07-26",50
"92","2007-07-27",50
"93","2007-07-30",50
"94","2007-07-31",42.5
"95","2007-08-01",42.5
"96","2007-08-02",42.5
"97","2007-08-03",42.5
"98","2007-08-06",42.5
"99","2007-08-07",42.5
"100","2007-08-08",42.5
"101","2007-08-09",42.5
"102","2007-08-10",42.5
"103","2007-08-13",42.5
"104","2007-08-14",42.5
"105","2007-08-15",42.5
"106","2007-08-16",42.5
"107","2007-08-17",42.5
"108","2007-08-20",42.5
"109","2007-08-21",42.5
"110","2007-08-22",42.5
"111","2007-08-23",42.5
"112","2007-08-24",47.5
"113","2007-08-27",47.5
"114","2007-08-28",37.5
"115","2007-08-29",37.5
"116","2007-08-30",37.5
"117","2007-08-31",37.5
"118","2007-09-04",37.5
"119","2007-09-05",37.5
"120","2007-09-06",37.5
"121","2007-09-07",37.5
"122","2007-09-10",37.5
"123","2007-09-11",37.5
"124","2007-09-12",37.5
"125","2007-09-13",37.5
"126","2007-09-14",37.5
