"","date","APTX"
"1","2018-06-21",20.200001
"2","2018-06-22",20
"3","2018-06-25",19.83
"4","2018-06-26",20
"5","2018-06-27",22.24
"6","2018-06-28",23.41
"7","2018-06-29",24.17
"8","2018-07-02",24
"9","2018-07-03",25.02
"10","2018-07-05",24.360001
"11","2018-07-06",23.5
"12","2018-07-09",24.07
"13","2018-07-10",23.879999
"14","2018-07-11",22.27
"15","2018-07-12",20.93
"16","2018-07-13",21.07
"17","2018-07-16",21.01
"18","2018-07-17",20.43
"19","2018-07-18",20.780001
"20","2018-07-19",20.35
"21","2018-07-20",20.209999
"22","2018-07-23",21.18
"23","2018-07-24",21.68
"24","2018-07-25",21.51
"25","2018-07-26",22.1
"26","2018-07-27",22.5
"27","2018-07-30",22
"28","2018-07-31",21.92
"29","2018-08-01",22.35
"30","2018-08-02",22.049999
"31","2018-08-03",22.049999
"32","2018-08-06",22.18
"33","2018-08-07",21.99
"34","2018-08-08",22.379999
"35","2018-08-09",22.08
"36","2018-08-10",21.950001
"37","2018-08-13",22.5
"38","2018-08-14",22.129999
"39","2018-08-15",22.950001
"40","2018-08-16",23.639999
"41","2018-08-17",22.809999
"42","2018-08-20",23.16
"43","2018-08-21",23.200001
"44","2018-08-22",23.299999
"45","2018-08-23",23.290001
"46","2018-08-24",23.34
"47","2018-08-27",23.15
"48","2018-08-28",23.200001
"49","2018-08-29",23.209999
"50","2018-08-30",23.719999
"51","2018-08-31",23.98
"52","2018-09-04",25.610001
"53","2018-09-05",29.290001
"54","2018-09-06",27.700001
"55","2018-09-07",28
"56","2018-09-10",31.85
"57","2018-09-11",29.940001
"58","2018-09-12",30.15
"59","2018-09-13",30.08
"60","2018-09-14",30.030001
"61","2018-09-17",28.110001
"62","2018-09-18",28.780001
"63","2018-09-19",27.709999
"64","2018-09-20",27.43
"65","2018-09-21",26.690001
"66","2018-09-24",26.389999
"67","2018-09-25",28.459999
"68","2018-09-26",28.190001
"69","2018-09-27",28.709999
"70","2018-09-28",28.959999
"71","2018-10-01",28.709999
"72","2018-10-02",28.879999
"73","2018-10-03",28.93
"74","2018-10-04",27.99
"75","2018-10-05",27.129999
"76","2018-10-08",26.33
"77","2018-10-09",27.389999
"78","2018-10-10",27.809999
"79","2018-10-11",25.389999
"80","2018-10-12",26.360001
"81","2018-10-15",25.76
"82","2018-10-16",26.690001
"83","2018-10-17",27.120001
"84","2018-10-18",26.35
"85","2018-10-19",26.09
"86","2018-10-22",26.129999
"87","2018-10-23",26.33
"88","2018-10-24",25.59
"89","2018-10-25",26.450001
"90","2018-10-26",25.93
"91","2018-10-29",24.76
"92","2018-10-30",25.719999
"93","2018-10-31",26.040001
"94","2018-11-01",26.459999
"95","2018-11-02",26.17
"96","2018-11-05",25.870001
"97","2018-11-06",25.610001
"98","2018-11-07",25.77
"99","2018-11-08",26.6
"100","2018-11-09",25.879999
"101","2018-11-12",25.559999
"102","2018-11-13",25.51
"103","2018-11-14",24.870001
"104","2018-11-15",22.51
"105","2018-11-16",23.389999
"106","2018-11-19",22.59
"107","2018-11-20",22.41
"108","2018-11-21",22.799999
"109","2018-11-23",22.98
"110","2018-11-26",22.389999
"111","2018-11-27",21.959999
"112","2018-11-28",22.719999
"113","2018-11-29",21.93
"114","2018-11-30",22.209999
"115","2018-12-03",19.99
"116","2018-12-04",20.870001
"117","2018-12-06",21.809999
"118","2018-12-07",21.35
"119","2018-12-10",20.870001
"120","2018-12-11",21.860001
"121","2018-12-12",22.01
"122","2018-12-13",21.6
"123","2018-12-14",22.110001
"124","2018-12-17",21.190001
"125","2018-12-18",20.24
"126","2018-12-19",20.73
"127","2018-12-20",16.870001
"128","2018-12-21",16.4
"129","2018-12-24",16.15
"130","2018-12-26",16.75
"131","2018-12-27",16.620001
"132","2018-12-28",16.610001
"133","2018-12-31",16.540001
"134","2019-01-02",17.25
"135","2019-01-03",17.93
"136","2019-01-04",19.33
"137","2019-01-07",19.139999
"138","2019-01-08",19.01
"139","2019-01-09",18.530001
"140","2019-01-10",18.6
"141","2019-01-11",17.93
"142","2019-01-14",17.43
"143","2019-01-15",17.83
"144","2019-01-16",5.98
"145","2019-01-17",5.39
"146","2019-01-18",5.24
"147","2019-01-22",5.72
"148","2019-01-23",5.88
"149","2019-01-24",5.39
"150","2019-01-25",5.38
"151","2019-01-28",5.29
"152","2019-01-29",5.47
"153","2019-01-30",5.3
"154","2019-01-31",5.34
"155","2019-02-01",5.48
"156","2019-02-04",5.44
"157","2019-02-05",5.58
"158","2019-02-06",5.42
"159","2019-02-07",5.4
"160","2019-02-08",5.5
"161","2019-02-11",5.5
"162","2019-02-12",5.49
"163","2019-02-13",5.57
"164","2019-02-14",5.7
"165","2019-02-15",5.64
"166","2019-02-19",5.55
"167","2019-02-20",5.57
"168","2019-02-21",5.67
"169","2019-02-22",6
"170","2019-02-25",5.95
"171","2019-02-26",5.52
"172","2019-02-27",5.41
"173","2019-02-28",5.3
"174","2019-03-01",5.76
"175","2019-03-04",5.39
"176","2019-03-05",5.4
"177","2019-03-06",5.2
"178","2019-03-07",4.65
"179","2019-03-08",4.28
"180","2019-03-11",4.43
"181","2019-03-12",4.17
"182","2019-03-13",4.05
"183","2019-03-14",4.06
"184","2019-03-15",4.12
