"","date","OAC"
"1","2019-09-13",9.8
"2","2019-09-16",9.8
"3","2019-09-17",9.8
"4","2019-09-18",9.8
"5","2019-09-19",9.95
"6","2019-09-20",9.95
"7","2019-09-23",9.95
"8","2019-09-24",9.95
"9","2019-09-25",9.95
"10","2019-09-26",9.9
"11","2019-09-27",9.87
"12","2019-09-30",9.87
"13","2019-10-01",9.87
"14","2019-10-02",9.87
"15","2019-10-03",9.86
"16","2019-10-04",9.86
"17","2019-10-07",9.85
"18","2019-10-08",9.85
"19","2019-10-09",9.85
"20","2019-10-10",9.825
"21","2019-10-11",9.825
"22","2019-10-14",9.825
"23","2019-10-15",9.85
"24","2019-10-16",9.85
"25","2019-10-17",9.85
"26","2019-10-18",9.85
"27","2019-10-21",9.85
"28","2019-10-22",9.85
"29","2019-10-23",9.85
"30","2019-10-24",9.85
"31","2019-10-25",9.85
"32","2019-10-28",9.85
"33","2019-10-29",9.83
"34","2019-10-30",9.85
"35","2019-10-31",9.835
"36","2019-11-01",9.835
"37","2019-11-04",9.84
"38","2019-11-05",9.86
"39","2019-11-06",9.86
"40","2019-11-07",9.86
"41","2019-11-08",9.87
"42","2019-11-11",9.87
"43","2019-11-12",9.87
"44","2019-11-13",9.87
"45","2019-11-14",9.85
"46","2019-11-15",9.9
"47","2019-11-18",9.9
"48","2019-11-19",9.9
"49","2019-11-20",9.92
"50","2019-11-21",9.92
"51","2019-11-22",9.91
"52","2019-11-25",9.91
"53","2019-11-26",9.92
"54","2019-11-27",9.92
"55","2019-11-29",9.92
"56","2019-12-02",9.92
"57","2019-12-03",9.92
"58","2019-12-04",9.85
"59","2019-12-05",9.9
"60","2019-12-06",9.9
"61","2019-12-09",9.81
"62","2019-12-10",9.81
"63","2019-12-11",9.81
"64","2019-12-12",9.81
"65","2019-12-13",9.86
"66","2019-12-16",9.9
"67","2019-12-17",9.9
"68","2019-12-18",9.86
"69","2019-12-19",9.86
"70","2019-12-20",9.895
"71","2019-12-23",9.895
"72","2019-12-24",9.895
"73","2019-12-26",9.895
"74","2019-12-27",9.895
"75","2019-12-30",9.9
"76","2019-12-31",9.9
"77","2020-01-02",9.9
"78","2020-01-03",9.9
"79","2020-01-06",9.9
"80","2020-01-07",9.92
"81","2020-01-08",9.93
"82","2020-01-09",9.95
"83","2020-01-10",9.95
"84","2020-01-13",9.95
"85","2020-01-14",9.95
"86","2020-01-15",9.994
"87","2020-01-16",9.994
"88","2020-01-17",10.05
"89","2020-01-21",10.072
"90","2020-01-22",10.072
"91","2020-01-23",10.07
"92","2020-01-24",10.05
