"","date","ACMR"
"1","2017-11-02",5.6
"2","2017-11-03",6.05
"3","2017-11-06",5.6
"4","2017-11-07",5.6
"5","2017-11-08",5.6
"6","2017-11-09",5.601
"7","2017-11-10",5.72
"8","2017-11-13",5.97
"9","2017-11-14",5.97
"10","2017-11-15",6.24
"11","2017-11-16",6.52
"12","2017-11-17",6.89
"13","2017-11-20",7.34
"14","2017-11-21",7.42
"15","2017-11-22",6.95
"16","2017-11-24",6.87
"17","2017-11-27",6.9
"18","2017-11-28",6.8
"19","2017-11-29",6.78
"20","2017-11-30",6.75
"21","2017-12-01",6.79
"22","2017-12-04",6.46
"23","2017-12-05",5.98
"24","2017-12-06",5.89
"25","2017-12-07",5.9
"26","2017-12-08",6.05
"27","2017-12-11",5.96
"28","2017-12-12",5.84
"29","2017-12-13",5.53
"30","2017-12-14",5.54
"31","2017-12-15",5
"32","2017-12-18",5.14
"33","2017-12-19",5.02
"34","2017-12-20",4.82
"35","2017-12-21",5.16
"36","2017-12-22",4.95
"37","2017-12-26",5.01
"38","2017-12-27",4.92
"39","2017-12-28",5.05
"40","2017-12-29",5.25
"41","2018-01-02",5.62
"42","2018-01-03",5.3
"43","2018-01-04",5.315
"44","2018-01-05",5.51
"45","2018-01-08",5.24
"46","2018-01-09",5.24
"47","2018-01-10",5.19
"48","2018-01-11",5.24
"49","2018-01-12",5.17
"50","2018-01-16",4.94
"51","2018-01-17",5
"52","2018-01-18",4.96
"53","2018-01-19",4.99
"54","2018-01-22",4.75
"55","2018-01-23",5.66
"56","2018-01-24",5.43
"57","2018-01-25",5.31
"58","2018-01-26",5.3
"59","2018-01-29",5.44
"60","2018-01-30",5.11
"61","2018-01-31",5.37
"62","2018-02-01",6
"63","2018-02-02",6.11
"64","2018-02-05",6.75
"65","2018-02-06",6.83
"66","2018-02-07",6.78
"67","2018-02-08",6.44
"68","2018-02-09",6.5
"69","2018-02-12",6.58
"70","2018-02-13",6.52
"71","2018-02-14",6.24
"72","2018-02-15",6.41
"73","2018-02-16",6.48
"74","2018-02-20",6.56
"75","2018-02-21",6.85
"76","2018-02-22",7.01
"77","2018-02-23",7.16
"78","2018-02-26",6.99
"79","2018-02-27",7.09
"80","2018-02-28",6.8
"81","2018-03-01",6.72
"82","2018-03-02",7.24
"83","2018-03-05",7.855
"84","2018-03-06",11
"85","2018-03-07",11.99
"86","2018-03-08",13.46
"87","2018-03-09",13.13
"88","2018-03-12",13.7
"89","2018-03-13",14.24
"90","2018-03-14",14.94
"91","2018-03-15",14.03
"92","2018-03-16",12.44
"93","2018-03-19",11.43
"94","2018-03-20",13.17
"95","2018-03-21",12.25
"96","2018-03-22",12.5
"97","2018-03-23",12.91
"98","2018-03-26",12.78
"99","2018-03-27",12.89
"100","2018-03-28",12.38
"101","2018-03-29",12.3
"102","2018-04-02",12.31
"103","2018-04-03",12.31
"104","2018-04-04",12.3
"105","2018-04-05",12
"106","2018-04-06",11.8
"107","2018-04-09",12
"108","2018-04-10",12.51
"109","2018-04-11",12.74
"110","2018-04-12",13.9
"111","2018-04-13",13.59
"112","2018-04-16",12.7
"113","2018-04-17",12.31
"114","2018-04-18",12.04
"115","2018-04-19",11.99
"116","2018-04-20",11.84
"117","2018-04-23",11.4
"118","2018-04-24",10.51
