"","date","FRAN"
"190","2012-04-23",346.440002
"191","2012-04-24",342
"192","2012-04-25",350.76001
"193","2012-04-26",354.600006
"194","2012-04-27",357
"195","2012-04-30",376.200012
"196","2012-05-01",365.279999
"197","2012-05-02",379.200012
"198","2012-05-03",354.839996
"199","2012-05-04",333.600006
"200","2012-05-07",331.920013
"201","2012-05-08",342.23999
"202","2012-05-09",332.519989
"203","2012-05-10",331.920013
"204","2012-05-11",288.23999
"205","2012-05-14",307.320007
"206","2012-05-15",287.76001
"207","2012-05-16",263.160004
"208","2012-05-17",263.279999
"209","2012-05-18",261.839996
"210","2012-05-21",268.440002
"211","2012-05-22",264
"212","2012-05-23",269.519989
"213","2012-05-24",265.320007
"214","2012-05-25",267.600006
"215","2012-05-29",268.440002
"216","2012-05-30",270.480011
"217","2012-05-31",281.519989
"218","2012-06-01",274.440002
"219","2012-06-04",275.76001
"220","2012-06-05",279.959991
"221","2012-06-06",285.959991
"222","2012-06-07",267.720001
"223","2012-06-08",330.839996
"224","2012-06-11",344.640015
"225","2012-06-12",337.079987
"226","2012-06-13",322.200012
"227","2012-06-14",311.040009
"228","2012-06-15",312.959991
"229","2012-06-18",327.839996
"230","2012-06-19",319.920013
"231","2012-06-20",338.76001
"232","2012-06-21",321.119995
"233","2012-06-22",319.799988
"234","2012-06-25",305.399994
"235","2012-06-26",297.359985
"236","2012-06-27",302.640015
"237","2012-06-28",304.200012
"238","2012-06-29",324.119995
"239","2012-07-02",329.399994
"240","2012-07-03",345.720001
"241","2012-07-05",346.920013
"242","2012-07-06",346.920013
"243","2012-07-09",352.920013
"244","2012-07-10",350.279999
"245","2012-07-11",354.600006
"246","2012-07-12",350.279999
"247","2012-07-13",350.279999
"248","2012-07-16",351.480011
"249","2012-07-17",357.23999
"250","2012-07-18",374.160004
"251","2012-07-19",372.23999
"252","2012-07-20",363.119995
"253","2012-07-23",366.720001
"254","2012-07-24",354.600006
"255","2012-07-25",357.959991
"256","2012-07-26",377.640015
"257","2012-07-27",381.959991
"258","2012-07-30",379.920013
"259","2012-07-31",376.920013
"260","2012-08-01",350.640015
"261","2012-08-02",336.119995
"262","2012-08-03",362.880005
"263","2012-08-06",369
"264","2012-08-07",384.119995
"265","2012-08-08",377.640015
"266","2012-08-09",383.640015
"267","2012-08-10",371.160004
"268","2012-08-13",363
"269","2012-08-14",359.040009
"270","2012-08-15",374.160004
"271","2012-08-16",372.119995
"272","2012-08-17",411.839996
"273","2012-08-20",408.359985
"274","2012-08-21",412.440002
"275","2012-08-22",412.079987
"276","2012-08-23",417.359985
"277","2012-08-24",416.279999
"278","2012-08-27",414.359985
"279","2012-08-28",413.160004
"280","2012-08-29",435.359985
"281","2012-08-30",428.880005
"282","2012-08-31",423.959991
"283","2012-09-04",432.839996
"284","2012-09-05",359.040009
"285","2012-09-06",359.279999
"286","2012-09-07",334.440002
"287","2012-09-10",345.600006
"288","2012-09-11",348.119995
"289","2012-09-12",363.480011
"290","2012-09-13",377.880005
"291","2012-09-14",379.920013
"292","2012-09-17",369.720001
"293","2012-09-18",357.359985
"294","2012-09-19",358.559998
"295","2012-09-20",356.040009
"296","2012-09-21",367.920013
"297","2012-09-24",361.200012
"298","2012-09-25",362.399994
"299","2012-09-26",356.279999
"300","2012-09-27",370.559998
"301","2012-09-28",368.76001
"302","2012-10-01",377.880005
"303","2012-10-02",366.359985
"304","2012-10-03",364.799988
"305","2012-10-04",373.559998
"306","2012-10-05",375.359985
"307","2012-10-08",376.320007
"308","2012-10-09",359.160004
"309","2012-10-10",360.23999
"310","2012-10-11",356.880005
"311","2012-10-12",350.880005
"312","2012-10-15",358.559998
"313","2012-10-16",368.880005
"314","2012-10-17",369.480011
"315","2012-10-18",362.880005
"316","2012-10-19",352.559998
"317","2012-10-22",342.959991
"318","2012-10-23",351.839996
"319","2012-10-24",354.119995
"320","2012-10-25",353.399994
"321","2012-10-26",351.600006
"322","2012-10-31",354.359985
"323","2012-11-01",351.600006
"324","2012-11-02",334.440002
"325","2012-11-05",330.480011
"326","2012-11-06",324
"327","2012-11-07",314.279999
"328","2012-11-08",301.200012
"329","2012-11-09",303
"330","2012-11-12",299.040009
"331","2012-11-13",295.200012
"332","2012-11-14",293.399994
"333","2012-11-15",287.399994
"334","2012-11-16",297.23999
"335","2012-11-19",310.799988
"336","2012-11-20",313.079987
"337","2012-11-21",318.959991
"338","2012-11-23",320.880005
"339","2012-11-26",318.23999
"340","2012-11-27",305.519989
"341","2012-11-28",312.839996
"342","2012-11-29",306.480011
"343","2012-11-30",312.359985
"344","2012-12-03",303.600006
"345","2012-12-04",321.720001
"346","2012-12-05",324
"347","2012-12-06",295.920013
"348","2012-12-07",285.959991
"349","2012-12-10",270.480011
"350","2012-12-11",277.079987
"351","2012-12-12",277.200012
"352","2012-12-13",288.720001
"353","2012-12-14",295.920013
"354","2012-12-17",311.279999
"355","2012-12-18",321.359985
"356","2012-12-19",325.320007
"357","2012-12-20",316.320007
"358","2012-12-21",307.320007
"359","2012-12-24",309.480011
"360","2012-12-26",293.279999
"361","2012-12-27",299.640015
"362","2012-12-28",299.040009
"363","2012-12-31",311.160004
"364","2013-01-02",319.920013
"365","2013-01-03",330.720001
"366","2013-01-04",324.23999
"367","2013-01-07",330.359985
"368","2013-01-08",325.559998
"369","2013-01-09",330.359985
"370","2013-01-10",330.839996
"371","2013-01-11",338.76001
"372","2013-01-14",326.640015
"373","2013-01-15",330.359985
"374","2013-01-16",321.959991
"375","2013-01-17",336.600006
"376","2013-01-18",346.559998
"377","2013-01-22",347.040009
"378","2013-01-23",344.040009
"379","2013-01-24",345.359985
"380","2013-01-25",345
"381","2013-01-28",344.160004
"382","2013-01-29",342.23999
"383","2013-01-30",329.640015
"384","2013-01-31",340.799988
"385","2013-02-01",343.799988
"386","2013-02-04",333.119995
"387","2013-02-05",333.480011
"388","2013-02-06",324
"389","2013-02-07",316.920013
"390","2013-02-08",324.480011
"391","2013-02-11",327.600006
"392","2013-02-12",323.880005
"393","2013-02-13",327.23999
"394","2013-02-14",332.880005
"395","2013-02-15",331.559998
"396","2013-02-19",323.76001
"397","2013-02-20",312
"398","2013-02-21",300.839996
"399","2013-02-22",300.23999
"400","2013-02-25",297.720001
"401","2013-02-26",298.440002
"402","2013-02-27",310.799988
"403","2013-02-28",305.399994
"404","2013-03-01",306.480011
"405","2013-03-04",313.320007
"406","2013-03-05",321.480011
"407","2013-03-06",319.440002
"408","2013-03-07",312.839996
"409","2013-03-08",319.079987
"410","2013-03-11",318.480011
"411","2013-03-12",316.920013
"412","2013-03-13",332.160004
"413","2013-03-14",338.279999
"414","2013-03-15",330.23999
"415","2013-03-18",329.279999
"416","2013-03-19",323.76001
"417","2013-03-20",346.920013
"418","2013-03-21",345.959991
"419","2013-03-22",354.720001
"420","2013-03-25",368.040009
"421","2013-03-26",361.799988
"422","2013-03-27",342.23999
"423","2013-03-28",344.640015
"424","2013-04-01",344.279999
"425","2013-04-02",345.119995
"426","2013-04-03",341.640015
"427","2013-04-04",332.640015
"428","2013-04-05",339.480011
"429","2013-04-08",342
"430","2013-04-09",336.839996
"431","2013-04-10",346.440002
"432","2013-04-11",349.799988
"433","2013-04-12",350.040009
"434","2013-04-15",345.23999
"435","2013-04-16",348.480011
"436","2013-04-17",336.600006
"437","2013-04-18",326.76001
"438","2013-04-19",333
"439","2013-04-22",333.119995
"440","2013-04-23",333.119995
"441","2013-04-24",334.079987
"442","2013-04-25",348.359985
"443","2013-04-26",351
"444","2013-04-29",340.920013
"445","2013-04-30",342.720001
"446","2013-05-01",322.440002
"447","2013-05-02",320.160004
"448","2013-05-03",335.640015
"449","2013-05-06",330.839996
"450","2013-05-07",329.640015
"451","2013-05-08",330.480011
"452","2013-05-09",340.440002
"453","2013-05-10",354.23999
"454","2013-05-13",361.079987
"455","2013-05-14",359.640015
"456","2013-05-15",349.920013
"457","2013-05-16",351.480011
"458","2013-05-17",359.640015
"459","2013-05-20",377.76001
"460","2013-05-21",379.200012
"461","2013-05-22",370.559998
"462","2013-05-23",366.119995
"463","2013-05-24",354.600006
"464","2013-05-28",353.880005
"465","2013-05-29",346.320007
"466","2013-05-30",343.679993
"467","2013-05-31",342.600006
"468","2013-06-03",345.959991
"469","2013-06-04",354.480011
"470","2013-06-05",361.079987
"471","2013-06-06",328.440002
"472","2013-06-07",331.079987
"473","2013-06-10",323.040009
"474","2013-06-11",311.160004
"475","2013-06-12",312.359985
"476","2013-06-13",316.079987
"477","2013-06-14",314.399994
"478","2013-06-17",309.23999
"479","2013-06-18",305.279999
"480","2013-06-19",299.399994
"481","2013-06-20",308.880005
"482","2013-06-21",321
"483","2013-06-24",312.359985
"484","2013-06-25",325.920013
"485","2013-06-26",324
"486","2013-06-27",325.320007
"487","2013-06-28",333.480011
"488","2013-07-01",335.160004
"489","2013-07-02",333.600006
"490","2013-07-03",325.799988
"491","2013-07-05",327.480011
"492","2013-07-08",330.839996
"493","2013-07-09",328.920013
"494","2013-07-10",339.959991
"495","2013-07-11",349.320007
"496","2013-07-12",345.839996
"497","2013-07-15",351.959991
"498","2013-07-16",348.119995
"499","2013-07-17",345
"500","2013-07-18",347.640015
"501","2013-07-19",340.200012
"502","2013-07-22",337.079987
"503","2013-07-23",333.600006
"504","2013-07-24",329.76001
"505","2013-07-25",333.959991
"506","2013-07-26",330.119995
"507","2013-07-29",312.23999
"508","2013-07-30",302.399994
"509","2013-07-31",298.320007
"510","2013-08-01",298.440002
"511","2013-08-02",304.559998
"512","2013-08-05",308.640015
"513","2013-08-06",298.200012
"514","2013-08-07",290.640015
"515","2013-08-08",290.640015
"516","2013-08-09",294.839996
"517","2013-08-12",289.200012
"518","2013-08-13",288.23999
"519","2013-08-14",289.200012
"520","2013-08-15",284.76001
"521","2013-08-16",279.600006
"522","2013-08-19",275.279999
"523","2013-08-20",289.320007
"524","2013-08-21",288.359985
"525","2013-08-22",286.920013
"526","2013-08-23",285
"527","2013-08-26",284.279999
"528","2013-08-27",281.880005
"529","2013-08-28",289.440002
"530","2013-08-29",292.799988
"531","2013-08-30",289.440002
"532","2013-09-03",288.23999
"533","2013-09-04",213.479996
"534","2013-09-05",220.320007
"535","2013-09-06",216.600006
"536","2013-09-09",220.800003
"537","2013-09-10",226.320007
"538","2013-09-11",236.880005
