"","date","TRP"
"1","2007-01-03",34.810001
"2","2007-01-04",34.02
"3","2007-01-05",33.419998
"4","2007-01-08",33.82
"5","2007-01-09",33.34
"6","2007-01-10",32.93
"7","2007-01-11",33.060001
"8","2007-01-12",33.48
"9","2007-01-16",33.16
"10","2007-01-17",33.189999
"11","2007-01-18",33.009998
"12","2007-01-19",33.560001
"13","2007-01-22",33.299999
"14","2007-01-23",33.470001
"15","2007-01-24",33.439999
"16","2007-01-25",32.849998
"17","2007-01-26",33.110001
"18","2007-01-29",33.02
"19","2007-01-30",33.25
"20","2007-01-31",33.189999
"21","2007-02-01",33.369999
"22","2007-02-02",32.990002
"23","2007-02-05",33
"24","2007-02-06",32.84
"25","2007-02-07",32.240002
"26","2007-02-08",32.27
"27","2007-02-09",32.450001
"28","2007-02-12",32.360001
"29","2007-02-13",32.619999
"30","2007-02-14",32.549999
"31","2007-02-15",32.66
"32","2007-02-16",32.689999
"33","2007-02-20",32.599998
"34","2007-02-21",32.91
"35","2007-02-22",32.869999
"36","2007-02-23",32.91
"37","2007-02-26",32.860001
"38","2007-02-27",32.27
"39","2007-02-28",31.91
"40","2007-03-01",32.439999
"41","2007-03-02",31.889999
"42","2007-03-05",31.790001
"43","2007-03-06",32.349998
"44","2007-03-07",32.380001
"45","2007-03-08",32.470001
"46","2007-03-09",32.919998
"47","2007-03-12",33.200001
"48","2007-03-13",32.490002
"49","2007-03-14",32.700001
"50","2007-03-15",32.759998
"51","2007-03-16",33.099998
"52","2007-03-19",33.07
"53","2007-03-20",33.630001
"54","2007-03-21",34.16
"55","2007-03-22",33.799999
"56","2007-03-23",33.529999
"57","2007-03-26",33.669998
"58","2007-03-27",33.84
"59","2007-03-28",33.43
"60","2007-03-29",33.400002
"61","2007-03-30",33.279999
"62","2007-04-02",33.400002
"63","2007-04-03",33.310001
"64","2007-04-04",33.25
"65","2007-04-05",33.43
"66","2007-04-09",33.209999
"67","2007-04-10",33.139999
"68","2007-04-11",33.580002
"69","2007-04-12",33.75
"70","2007-04-13",33.439999
"71","2007-04-16",33.619999
"72","2007-04-17",33.869999
"73","2007-04-18",34.490002
"74","2007-04-19",34.23
"75","2007-04-20",34.900002
"76","2007-04-23",34.830002
"77","2007-04-24",34.900002
"78","2007-04-25",35.939999
"79","2007-04-26",35.68
"80","2007-04-27",35.560001
"81","2007-04-30",35.75
"82","2007-05-01",35.810001
"83","2007-05-02",35.849998
"84","2007-05-03",36.09
"85","2007-05-04",35.959999
"86","2007-05-07",36.240002
"87","2007-05-08",35.959999
"88","2007-05-09",35.810001
"89","2007-05-10",35.639999
"90","2007-05-11",35.720001
"91","2007-05-14",35.939999
"92","2007-05-15",36.209999
"93","2007-05-16",36.18
"94","2007-05-17",36.23
"95","2007-05-18",36.59
"96","2007-05-21",36.689999
"97","2007-05-22",36.860001
"98","2007-05-23",36.759998
"99","2007-05-24",36.049999
"100","2007-05-25",36.419998
"101","2007-05-29",36.16
"102","2007-05-30",36.779999
"103","2007-05-31",36.75
"104","2007-06-01",37.09
"105","2007-06-04",36.599998
"106","2007-06-05",36.060001
"107","2007-06-06",35.709999
"108","2007-06-07",34.919998
"109","2007-06-08",35.040001
"110","2007-06-11",34.82
"111","2007-06-12",34.529999
"112","2007-06-13",34.990002
"113","2007-06-14",35.009998
"114","2007-06-15",35.040001
"115","2007-06-18",35.16
"116","2007-06-19",35.02
"117","2007-06-20",35.049999
"118","2007-06-21",34.560001
"119","2007-06-22",34.27
"120","2007-06-25",34.299999
"121","2007-06-26",34.130001
"122","2007-06-27",34.080002
