"","date","GURE"
"1","2007-01-03",25
"2","2007-01-04",25
"3","2007-01-05",14.5
"4","2007-01-08",14.5
"5","2007-01-09",14.5
"6","2007-01-10",14.5
"7","2007-01-11",14.5
"8","2007-01-12",15
"9","2007-01-16",15
"10","2007-01-17",15
"11","2007-01-18",15
"12","2007-01-19",15
"13","2007-01-22",15
"14","2007-01-23",15
"15","2007-01-24",15
"16","2007-01-25",15
"17","2007-01-26",15
"18","2007-01-29",15
"19","2007-01-30",15
"20","2007-01-31",15
"21","2007-02-01",15
"22","2007-02-02",15
"23","2007-02-05",15
"24","2007-02-06",15
"25","2007-02-07",15
"26","2007-02-08",15
"27","2007-02-09",15
"28","2007-02-12",17.5
"29","2007-02-13",22.5
"30","2007-02-14",22.5
"31","2007-02-15",17.5
"32","2007-02-16",17.5
"33","2007-02-20",17.5
"34","2007-02-21",17.5
"35","2007-02-22",17.5
"36","2007-02-23",17.5
"37","2007-02-26",17.5
"38","2007-02-27",17.5
"39","2007-02-28",17.5
"40","2007-03-01",17.5
"41","2007-03-02",17.5
"42","2007-03-05",17.5
"43","2007-03-06",18.5
"44","2007-03-07",18.5
"45","2007-03-08",18.5
"46","2007-03-09",18.5
"47","2007-03-12",18.5
"48","2007-03-13",18.5
"49","2007-03-14",18.5
"50","2007-03-15",18
"51","2007-03-16",18
"52","2007-03-19",20
"53","2007-03-20",20
"54","2007-03-21",20.5
"55","2007-03-22",20.5
"56","2007-03-23",20.5
"57","2007-03-26",20.5
"58","2007-03-27",19
"59","2007-03-28",19
"60","2007-03-29",21
"61","2007-03-30",22
"62","2007-04-02",26
"63","2007-04-03",25.5
"64","2007-04-04",25.5
"65","2007-04-05",27
"66","2007-04-09",29.5
"67","2007-04-10",27.4
"68","2007-04-11",25
"69","2007-04-12",25
"70","2007-04-13",20
"71","2007-04-16",22
"72","2007-04-17",20.1
"73","2007-04-18",20.200001
"74","2007-04-19",20.200001
"75","2007-04-20",20.200001
"76","2007-04-23",20
"77","2007-04-24",20
"78","2007-04-25",20
"79","2007-04-26",20
"80","2007-04-27",20
"81","2007-04-30",20
"82","2007-05-01",21
"83","2007-05-02",19.5
"84","2007-05-03",20
"85","2007-05-04",20.1
"86","2007-05-07",20.1
"87","2007-05-08",20.1
"88","2007-05-09",19.1
"89","2007-05-10",20.5
"90","2007-05-11",20.5
"91","2007-05-14",20.5
"92","2007-05-15",21.200001
"93","2007-05-16",20.9
"94","2007-05-17",20.5
