"","date","LMAT"
"1","2007-01-03",6.05
"2","2007-01-04",6.11
"3","2007-01-05",6.24
"4","2007-01-08",6.14
"5","2007-01-09",6.1
"6","2007-01-10",6.18
"7","2007-01-11",6.1
"8","2007-01-12",6.23
"9","2007-01-16",6.25
"10","2007-01-17",6.28
"11","2007-01-18",6.25
"12","2007-01-19",6.67
"13","2007-01-22",6.66
"14","2007-01-23",6.56
"15","2007-01-24",6.36
"16","2007-01-25",6.34
"17","2007-01-26",6.32
"18","2007-01-29",6.32
"19","2007-01-30",6.36
"20","2007-01-31",6.32
"21","2007-02-01",6.48
"22","2007-02-02",6.24
"23","2007-02-05",6.25
"24","2007-02-06",6.4
"25","2007-02-07",6.25
"26","2007-02-08",6.1
"27","2007-02-09",6.17
"28","2007-02-12",6.02
"29","2007-02-13",6.06
"30","2007-02-14",6.1
"31","2007-02-15",6.4
"32","2007-02-16",6.05
"33","2007-02-20",6.15
"34","2007-02-21",6.3
"35","2007-02-22",6.33
"36","2007-02-23",6.5
"37","2007-02-26",6.51
"38","2007-02-27",6.5
"39","2007-02-28",6.64
"40","2007-03-01",6.6
"41","2007-03-02",6.82
"42","2007-03-05",6.64
"43","2007-03-06",6.8
"44","2007-03-07",6.74
"45","2007-03-08",6.62
"46","2007-03-09",6.63
"47","2007-03-12",6.75
"48","2007-03-13",6.76
"49","2007-03-14",6.67
"50","2007-03-15",6.62
"51","2007-03-16",6.67
"52","2007-03-19",6.63
"53","2007-03-20",6.5
"54","2007-03-21",6.5
"55","2007-03-22",6.5
"56","2007-03-23",6.27
"57","2007-03-26",6.14
"58","2007-03-27",6.15
"59","2007-03-28",5.96
"60","2007-03-29",5.88
"61","2007-03-30",6.38
"62","2007-04-02",6.39
"63","2007-04-03",6.4
"64","2007-04-04",6.44
"65","2007-04-05",6.3
"66","2007-04-09",6.2
"67","2007-04-10",6.11
"68","2007-04-11",5.94
"69","2007-04-12",6
"70","2007-04-13",5.92
"71","2007-04-16",5.95
"72","2007-04-17",5.9
"73","2007-04-18",5.88
"74","2007-04-19",5.88
"75","2007-04-20",5.86
"76","2007-04-23",5.85
"77","2007-04-24",5.81
"78","2007-04-25",5.76
"79","2007-04-26",5.75
"80","2007-04-27",5.71
"81","2007-04-30",5.78
"82","2007-05-01",5.71
"83","2007-05-02",5.74
"84","2007-05-03",5.7
"85","2007-05-04",5.97
"86","2007-05-07",6.35
"87","2007-05-08",6.38
"88","2007-05-09",6.23
"89","2007-05-10",6.11
"90","2007-05-11",6.14
"91","2007-05-14",6.11
"92","2007-05-15",6.03
"93","2007-05-16",6.09
"94","2007-05-17",6
"95","2007-05-18",6
"96","2007-05-21",6.02
"97","2007-05-22",6
"98","2007-05-23",6
"99","2007-05-24",6.03
"100","2007-05-25",6.11
"101","2007-05-29",6.26
"102","2007-05-30",6.11
"103","2007-05-31",6.1
"104","2007-06-01",6.19
"105","2007-06-04",6.42
"106","2007-06-05",6.42
"107","2007-06-06",6.4
"108","2007-06-07",6.28
"109","2007-06-08",6.36
"110","2007-06-11",6.5
"111","2007-06-12",6.66
"112","2007-06-13",6.51
"113","2007-06-14",6.43
"114","2007-06-15",6.5
"115","2007-06-18",6.59
"116","2007-06-19",6.59
"117","2007-06-20",6.32
"118","2007-06-21",6.25
"119","2007-06-22",6.25
"120","2007-06-25",6.2
"121","2007-06-26",5.95
"122","2007-06-27",6
"123","2007-06-28",6.03
"124","2007-06-29",6
"125","2007-07-02",6
"126","2007-07-03",6.3
"127","2007-07-05",6.56
"128","2007-07-06",6.3
"129","2007-07-09",6.3
"130","2007-07-10",6.71
"131","2007-07-11",6.47
"132","2007-07-12",6.35
"133","2007-07-13",6.35
"134","2007-07-16",6.3
"135","2007-07-17",6.22
"136","2007-07-18",6.1
"137","2007-07-19",6.11
"138","2007-07-20",5.95
"139","2007-07-23",5.9
"140","2007-07-24",6.03
"141","2007-07-25",5.69
"142","2007-07-26",5.56
"143","2007-07-27",6.09
"144","2007-07-30",5.73
"145","2007-07-31",6.01
"146","2007-08-01",6.13
"147","2007-08-02",6.24
"148","2007-08-03",6.39
"149","2007-08-06",6.3
"150","2007-08-07",6.25
"151","2007-08-08",6.5
"152","2007-08-09",6.6
"153","2007-08-10",6.12
"154","2007-08-13",6.25
"155","2007-08-14",6.05
"156","2007-08-15",6
"157","2007-08-16",5.9
"158","2007-08-17",6
"159","2007-08-20",5.97
"160","2007-08-21",5.97
"161","2007-08-22",6.16
"162","2007-08-23",6.72
"163","2007-08-24",6.76
"164","2007-08-27",6.69
"165","2007-08-28",6.17
"166","2007-08-29",6.4
"167","2007-08-30",6.9
"168","2007-08-31",6.8
"169","2007-09-04",6.75
"170","2007-09-05",6.7
"171","2007-09-06",7
"172","2007-09-07",6.75
"173","2007-09-10",6.75
"174","2007-09-11",6.75
"175","2007-09-12",6.65
"176","2007-09-13",6.75
"177","2007-09-14",6.83
"178","2007-09-17",6.71
"179","2007-09-18",6.75
"180","2007-09-19",6.8
"181","2007-09-20",6.51
"182","2007-09-21",6.53
"183","2007-09-24",6.5
"184","2007-09-25",6.53
"185","2007-09-26",6.5
"186","2007-09-27",6.75
"187","2007-09-28",7.54
"188","2007-10-01",7.07
"189","2007-10-02",7.01
"190","2007-10-03",6.83
"191","2007-10-04",7
"192","2007-10-05",7
"193","2007-10-08",6.94
"194","2007-10-09",7.09
"195","2007-10-10",7.14
"196","2007-10-11",7.4
"197","2007-10-12",7.24
"198","2007-10-15",7.24
"199","2007-10-16",7.21
"200","2007-10-17",7.23
"201","2007-10-18",7.2
"202","2007-10-19",7.16
"203","2007-10-22",7.2
"204","2007-10-23",7.18
"205","2007-10-24",7.41
"206","2007-10-25",7.05
"207","2007-10-26",7.1
