"","date","HIHO"
"1","2007-01-03",5.3
"2","2007-01-04",4.66
"3","2007-01-05",4.58
"4","2007-01-08",4.52
"5","2007-01-09",4.69
"6","2007-01-10",4.64
"7","2007-01-11",4.68
"8","2007-01-12",5.29
"9","2007-01-16",6.46
"10","2007-01-17",6.19
"11","2007-01-18",5.68
"12","2007-01-19",5.65
"13","2007-01-22",5.33
"14","2007-01-23",6.33
"15","2007-01-24",5.67
"16","2007-01-25",5.58
"17","2007-01-26",5.71
"18","2007-01-29",5.77
"19","2007-01-30",5.83
"20","2007-01-31",5.43
"21","2007-02-01",5.21
"22","2007-02-02",5.25
"23","2007-02-05",5.16
"24","2007-02-06",5.35
"25","2007-02-07",5.3
"26","2007-02-08",5.09
"27","2007-02-09",5.04
"28","2007-02-12",4.99
"29","2007-02-13",4.89
"30","2007-02-14",4.89
"31","2007-02-15",4.8
"32","2007-02-16",5.03
"33","2007-02-20",5.11
"34","2007-02-21",5.07
"35","2007-02-22",5.16
"36","2007-02-23",5.05
"37","2007-02-26",4.88
"38","2007-02-27",4.43
"39","2007-02-28",4.5
"40","2007-03-01",4.41
"41","2007-03-02",4.3
"42","2007-03-05",4.13
"43","2007-03-06",4.27
"44","2007-03-07",4.36
"45","2007-03-08",4.53
"46","2007-03-09",4.8
"47","2007-03-12",4.48
"48","2007-03-13",4.5
"49","2007-03-14",4.5
"50","2007-03-15",4.42
"51","2007-03-16",4.43
"52","2007-03-19",4.44
"53","2007-03-20",4.45
"54","2007-03-21",4.36
"55","2007-03-22",4.47
"56","2007-03-23",4.57
"57","2007-03-26",4.6
"58","2007-03-27",4.53
"59","2007-03-28",4.47
"60","2007-03-29",4.27
"61","2007-03-30",4.39
"62","2007-04-02",4.37
"63","2007-04-03",4.29
"64","2007-04-04",4.3
"65","2007-04-05",4.24
"66","2007-04-09",4.27
"67","2007-04-10",4.27
"68","2007-04-11",4.22
"69","2007-04-12",4.3
"70","2007-04-13",4.3
"71","2007-04-16",4.26
"72","2007-04-17",4.26
"73","2007-04-18",4.41
"74","2007-04-19",4.37
"75","2007-04-20",4.56
"76","2007-04-23",4.83
"77","2007-04-24",4.66
"78","2007-04-25",4.54
"79","2007-04-26",4.59
"80","2007-04-27",4.56
"81","2007-04-30",4.54
"82","2007-05-01",4.33
"83","2007-05-02",4.36
"84","2007-05-03",4.33
"85","2007-05-04",4.38
"86","2007-05-07",4.29
"87","2007-05-08",4.33
"88","2007-05-09",4.38
"89","2007-05-10",4.6
"90","2007-05-11",4.59
"91","2007-05-14",4.52
"92","2007-05-15",4.4
"93","2007-05-16",4.33
"94","2007-05-17",4.3
"95","2007-05-18",4.26
"96","2007-05-21",4.22
"97","2007-05-22",4.43
"98","2007-05-23",4.31
"99","2007-05-24",4.36
"100","2007-05-25",4.4
"101","2007-05-29",4.3
"102","2007-05-30",4.31
"103","2007-05-31",4.31
"104","2007-06-01",4.25
"105","2007-06-04",4.3
"106","2007-06-05",4.26
"107","2007-06-06",4.32
"108","2007-06-07",4.33
"109","2007-06-08",4.3
"110","2007-06-11",4.34
"111","2007-06-12",4.3
"112","2007-06-13",4.33
"113","2007-06-14",4.38
"114","2007-06-15",4.32
"115","2007-06-18",4.23
"116","2007-06-19",4.41
"117","2007-06-20",4.44
"118","2007-06-21",4.68
"119","2007-06-22",4.69
"120","2007-06-25",4.57
"121","2007-06-26",4.45
"122","2007-06-27",4.38
"123","2007-06-28",4.32
"124","2007-06-29",3.93
"125","2007-07-02",4.03
"126","2007-07-03",4.08
"127","2007-07-05",4.24
"128","2007-07-06",4.1
"129","2007-07-09",4.14
"130","2007-07-10",4.19
"131","2007-07-11",4.28
"132","2007-07-12",4.24
"133","2007-07-13",4.32
"134","2007-07-16",4.29
"135","2007-07-17",4.3
"136","2007-07-18",4.25
"137","2007-07-19",4.43
"138","2007-07-20",4.23
"139","2007-07-23",4.2
