"","date","NMRK"
"1","2017-12-15",13.95
"2","2017-12-18",14.61
"3","2017-12-19",15.34
"4","2017-12-20",15.37
"5","2017-12-21",15.88
"6","2017-12-22",15.46
"7","2017-12-26",15.54
"8","2017-12-27",15.5
"9","2017-12-28",15.49
"10","2017-12-29",15.9
"11","2018-01-02",16.16
"12","2018-01-03",15.75
"13","2018-01-04",15.63
"14","2018-01-05",15.55
"15","2018-01-08",15.56
"16","2018-01-09",15.47
"17","2018-01-10",15.54
"18","2018-01-11",15.97
"19","2018-01-12",15.87
"20","2018-01-16",15.99
"21","2018-01-17",16.059999
"22","2018-01-18",16.059999
"23","2018-01-19",16.245001
"24","2018-01-22",16.33
"25","2018-01-23",16.549999
"26","2018-01-24",16.530001
"27","2018-01-25",16.34
"28","2018-01-26",16.66
"29","2018-01-29",16.360001
"30","2018-01-30",16.440001
"31","2018-01-31",16.610001
"32","2018-02-01",16.66
"33","2018-02-02",16.040001
"34","2018-02-05",16.02
"35","2018-02-06",15.96
"36","2018-02-07",16.129999
"37","2018-02-08",15.94
"38","2018-02-09",15
"39","2018-02-12",14.69
"40","2018-02-13",15.3
"41","2018-02-14",15.15
"42","2018-02-15",14.9
"43","2018-02-16",14.86
"44","2018-02-20",14.74
"45","2018-02-21",14.8
"46","2018-02-22",14.58
"47","2018-02-23",14.79
"48","2018-02-26",14.92
"49","2018-02-27",14.98
"50","2018-02-28",14.59
"51","2018-03-01",14.82
"52","2018-03-02",14.38
"53","2018-03-05",14.55
"54","2018-03-06",14.57
"55","2018-03-07",14.69
"56","2018-03-08",14.64
"57","2018-03-09",14.76
"58","2018-03-12",15.57
"59","2018-03-13",15.24
"60","2018-03-14",15.31
"61","2018-03-15",15.4
"62","2018-03-16",15.71
"63","2018-03-19",15.56
"64","2018-03-20",15.4
"65","2018-03-21",15.46
"66","2018-03-22",15.2
"67","2018-03-23",14.97
"68","2018-03-26",15.28
"69","2018-03-27",15.11
"70","2018-03-28",15
"71","2018-03-29",15.19
"72","2018-04-02",15.14
"73","2018-04-03",15.23
"74","2018-04-04",15.16
"75","2018-04-05",15.36
"76","2018-04-06",15.16
"77","2018-04-09",15.25
"78","2018-04-10",15.5
"79","2018-04-11",15.4
"80","2018-04-12",15.33
"81","2018-04-13",15.2
"82","2018-04-16",15.37
"83","2018-04-17",15.66
"84","2018-04-18",15.78
"85","2018-04-19",15.77
"86","2018-04-20",15.67
"87","2018-04-23",15.53
"88","2018-04-24",15.52
"89","2018-04-25",15.1
"90","2018-04-26",15.29
"91","2018-04-27",15.25
"92","2018-04-30",15.1
"93","2018-05-01",15.02
"94","2018-05-02",15.2
"95","2018-05-03",14.8
"96","2018-05-04",14.35
"97","2018-05-07",14.27
"98","2018-05-08",14.47
"99","2018-05-09",14.39
"100","2018-05-10",14.73
"101","2018-05-11",14.63
"102","2018-05-14",14.56
"103","2018-05-15",14.49
"104","2018-05-16",14.39
"105","2018-05-17",14.37
"106","2018-05-18",14.15
"107","2018-05-21",14.26
"108","2018-05-22",13.96
"109","2018-05-23",13.93
"110","2018-05-24",13.92
"111","2018-05-25",13.87
"112","2018-05-29",13.73
"113","2018-05-30",13.9
"114","2018-05-31",13.43
"115","2018-06-01",13.44
"116","2018-06-04",13.38
"117","2018-06-05",13.47
"118","2018-06-06",13.5
"119","2018-06-07",13.35
"120","2018-06-08",13.65
"121","2018-06-11",13.9
