"","date","ALIM"
"1","2019-11-04",4.155
"2","2019-11-05",4.38
"3","2019-11-06",4.35
"4","2019-11-07",4.125
"5","2019-11-08",3.6
"6","2019-11-11",3.3
"7","2019-11-12",3.45
"8","2019-11-13",3.9
"9","2019-11-14",4.575
"10","2019-11-15",4.75
"11","2019-11-18",5.11
"12","2019-11-19",5.14
"13","2019-11-20",5.1
"14","2019-11-21",4.76
"15","2019-11-22",4.66
"16","2019-11-25",4.87
"17","2019-11-26",4.98
"18","2019-11-27",5.58
"19","2019-11-29",5.66
"20","2019-12-02",6.83
"21","2019-12-03",6.75
"22","2019-12-04",7.17
"23","2019-12-05",6.77
"24","2019-12-06",7.52
"25","2019-12-09",9.1
"26","2019-12-10",9.35
"27","2019-12-11",9.44
"28","2019-12-12",8.41
"29","2019-12-13",8.24
"30","2019-12-16",7.4
"31","2019-12-17",7.51
"32","2019-12-18",7.3
"33","2019-12-19",7.24
"34","2019-12-20",7.29
"35","2019-12-23",7.05
"36","2019-12-24",7.03
"37","2019-12-26",6.8
"38","2019-12-27",6.75
"39","2019-12-30",7.2
"40","2019-12-31",7.58
"41","2020-01-02",8.16
"42","2020-01-03",7.59
"43","2020-01-06",7.76
"44","2020-01-07",6.677
"45","2020-01-08",6.61
"46","2020-01-09",6.56
"47","2020-01-10",6.75
"48","2020-01-13",6.69
"49","2020-01-14",6.69
"50","2020-01-15",7.08
"51","2020-01-16",6.95
"52","2020-01-17",7.05
"53","2020-01-21",7.06
"54","2020-01-22",7.36
"55","2020-01-23",7.4
"56","2020-01-24",7.54
"57","2020-01-27",6.85
"58","2020-01-28",7.13
"59","2020-01-29",6.96
"60","2020-01-30",6.805
"61","2020-01-31",6.59
"62","2020-02-03",6.65
"63","2020-02-04",6.51
"64","2020-02-05",6.95
"65","2020-02-06",6.93
"66","2020-02-07",6.93
"67","2020-02-10",6.4
"68","2020-02-11",6.63
"69","2020-02-12",6.51
"70","2020-02-13",6.55
"71","2020-02-14",6.43
"72","2020-02-18",6.26
"73","2020-02-19",6.15
"74","2020-02-20",6.57
"75","2020-02-21",6.61
"76","2020-02-24",6.58
"77","2020-02-25",6.4
"78","2020-02-26",6.01
"79","2020-02-27",6.895
"80","2020-02-28",7.21
"81","2020-03-02",7.1
"82","2020-03-03",6.51
"83","2020-03-04",6.44
"84","2020-03-05",6.67
"85","2020-03-06",6.37
"86","2020-03-09",5.71
"87","2020-03-10",5.98
"88","2020-03-11",5.29
"89","2020-03-12",4.07
"90","2020-03-13",4.35
"91","2020-03-16",3.21
"92","2020-03-17",3.48
"93","2020-03-18",3.12
"94","2020-03-19",3.69
"95","2020-03-20",3.75
"96","2020-03-23",3.35
"97","2020-03-24",3.66
"98","2020-03-25",4.61
"99","2020-03-26",4.54
"100","2020-03-27",4.39
"101","2020-03-30",3.61
"102","2020-03-31",4
"103","2020-04-01",3.62
"104","2020-04-02",3.44
"105","2020-04-03",3.8
"106","2020-04-06",3.92
"107","2020-04-07",3.95
"108","2020-04-08",4.05
"109","2020-04-09",4.01
"110","2020-04-13",4.737
"111","2020-04-14",4.81
"112","2020-04-15",4.75
"113","2020-04-16",4.69
"114","2020-04-17",5.3
"115","2020-04-20",5.29
"116","2020-04-21",5.04
"117","2020-04-22",4.86
"118","2020-04-23",4.71
"119","2020-04-24",4.712
"120","2020-04-27",5.12
"121","2020-04-28",5.1
"122","2020-04-29",5.09
"123","2020-04-30",5.4
"124","2020-05-01",5.56
"125","2020-05-04",5.72
"126","2020-05-05",5.658
"127","2020-05-06",5.6
"128","2020-05-07",5.82
"129","2020-05-08",5.81
"130","2020-05-11",5.68
"131","2020-05-12",5.31
"132","2020-05-13",5.01
"133","2020-05-14",5.395
"134","2020-05-15",5.39
"135","2020-05-18",5.65
"136","2020-05-19",5.46
"137","2020-05-20",5.28
"138","2020-05-21",5.13
"139","2020-05-22",5.36
"140","2020-05-26",5.39
"141","2020-05-27",5.3
"142","2020-05-28",5.26
"143","2020-05-29",5.029
"144","2020-06-01",5.03
"145","2020-06-02",5.09
"146","2020-06-03",5.08
"147","2020-06-04",5.02
"148","2020-06-05",5.03
"149","2020-06-08",4.95
"150","2020-06-09",5.04
"151","2020-06-10",4.9
"152","2020-06-11",4.85
"153","2020-06-12",4.782
"154","2020-06-15",4.6
"155","2020-06-16",5.18
"156","2020-06-17",5.8
"157","2020-06-18",6.7
"158","2020-06-19",7.18
"159","2020-06-22",6.85
"160","2020-06-23",6.331
"161","2020-06-24",6.11
"162","2020-06-25",6.49
"163","2020-06-26",6.39
"164","2020-06-29",6.12
"165","2020-06-30",6.3
"166","2020-07-01",5.71
"167","2020-07-02",5.76
"168","2020-07-06",5.79
"169","2020-07-07",5.72
"170","2020-07-08",5.43
"171","2020-07-09",6.082
"172","2020-07-10",5.9
"173","2020-07-13",5.88
"174","2020-07-14",5.56
"175","2020-07-15",5.58
"176","2020-07-16",5.72
"177","2020-07-17",5.83
"178","2020-07-20",5.65
"179","2020-07-21",5.71
"180","2020-07-22",5.74
"181","2020-07-23",5.97
"182","2020-07-24",6.26
"183","2020-07-27",6.02
"184","2020-07-28",6.15
"185","2020-07-29",6.055
"186","2020-07-30",5.997
"187","2020-07-31",5.87
"188","2020-08-03",5.638
"189","2020-08-04",5.46
"190","2020-08-05",6.98
"191","2020-08-06",6.88
"192","2020-08-07",6.31
"193","2020-08-10",6.65
"194","2020-08-11",6.39
"195","2020-08-12",6.12
"196","2020-08-13",6.42
"197","2020-08-14",6.095
"198","2020-08-17",6.76
"199","2020-08-18",6.82
"200","2020-08-19",6.76
"201","2020-08-20",6.79
"202","2020-08-21",6.73
"203","2020-08-24",6.22
"204","2020-08-25",6.12
"205","2020-08-26",6.14
"206","2020-08-27",6.12
"207","2020-08-28",6.07
"208","2020-08-31",5.91
"209","2020-09-01",5.79
"210","2020-09-02",5.65
"211","2020-09-03",5.71
"212","2020-09-04",5.75
"213","2020-09-08",5.48
"214","2020-09-09",5.69
"215","2020-09-10",5.71
"216","2020-09-11",5.53
"217","2020-09-14",5.58
"218","2020-09-15",5.62
"219","2020-09-16",5.55
"220","2020-09-17",5.61
"221","2020-09-18",5.7
"222","2020-09-21",5.54
"223","2020-09-22",5.24
"224","2020-09-23",5.02
"225","2020-09-24",5.05
"226","2020-09-25",5.05
"227","2020-09-28",5.11
"228","2020-09-29",5.18
"229","2020-09-30",4.86
"230","2020-10-01",4.85
"231","2020-10-02",4.8
"232","2020-10-05",4.75
"233","2020-10-06",4.75
"234","2020-10-07",4.78
"235","2020-10-08",4.81
"236","2020-10-09",4.86
"237","2020-10-12",4.75
"238","2020-10-13",4.7
"239","2020-10-14",4.7
"240","2020-10-15",4.638
"241","2020-10-16",4.67
"242","2020-10-19",4.61
"243","2020-10-20",4.59
"244","2020-10-21",4.52
"245","2020-10-22",4.61
"246","2020-10-23",4.51
"247","2020-10-26",4.424
"248","2020-10-27",4.32
"249","2020-10-28",4.2
"250","2020-10-29",4.2
"251","2020-10-30",4.245
"252","2020-11-02",3.99
"253","2020-11-03",3.98
"254","2020-11-04",3.95
"255","2020-11-05",4.017
"256","2020-11-06",3.99
"257","2020-11-09",4.18
"258","2020-11-10",4.18
"259","2020-11-11",4.19
"260","2020-11-12",4.58
"261","2020-11-13",5.09
"262","2020-11-16",4.99
"263","2020-11-17",5.2
"264","2020-11-18",4.99
"265","2020-11-19",4.75
"266","2020-11-20",4.75
"267","2020-11-23",4.65
"268","2020-11-24",4.65
"269","2020-11-25",4.74
"270","2020-11-27",4.71
