"","date","EARS"
"1","2014-08-06",1200
"2","2014-08-07",1202
"3","2014-08-08",1216
"4","2014-08-11",1311
"5","2014-08-12",1358
"6","2014-08-13",1320
"7","2014-08-14",1350
"8","2014-08-15",1308
"9","2014-08-18",1280
"10","2014-08-19",1244
"11","2014-08-20",1238
"12","2014-08-21",1222
"13","2014-08-22",1230
"14","2014-08-25",1232
"15","2014-08-26",1218
"16","2014-08-27",1234
"17","2014-08-28",1220
"18","2014-08-29",1230
"19","2014-09-02",1136
"20","2014-09-03",1180
"21","2014-09-04",1074
"22","2014-09-05",1194
"23","2014-09-08",1218
"24","2014-09-09",1258
"25","2014-09-10",1400
"26","2014-09-11",1340
"27","2014-09-12",1446
"28","2014-09-15",1302
"29","2014-09-16",1208
"30","2014-09-17",1220
"31","2014-09-18",1241.599976
"32","2014-09-19",1212
"33","2014-09-22",1218
"34","2014-09-23",1182
"35","2014-09-24",1174
"36","2014-09-25",1154
"37","2014-09-26",1200
"38","2014-09-29",1170
"39","2014-09-30",1154
"40","2014-10-01",1150
"41","2014-10-02",1114
"42","2014-10-03",1064
"43","2014-10-06",1084
"44","2014-10-07",964
"45","2014-10-08",992
"46","2014-10-09",982
"47","2014-10-10",982
"48","2014-10-13",950
"49","2014-10-14",920
"50","2014-10-15",884
"51","2014-10-16",834
"52","2014-10-17",853.200012
"53","2014-10-20",926
"54","2014-10-21",940
"55","2014-10-22",876
"56","2014-10-23",908.200012
"57","2014-10-24",910
"58","2014-10-27",936
"59","2014-10-28",932
"60","2014-10-29",904.200012
"61","2014-10-30",900
"62","2014-10-31",913.200012
"63","2014-11-03",852
"64","2014-11-04",872
"65","2014-11-05",926
"66","2014-11-06",934
"67","2014-11-07",922
"68","2014-11-10",880
"69","2014-11-11",880
"70","2014-11-12",876
"71","2014-11-13",842
"72","2014-11-14",838
"73","2014-11-17",850
"74","2014-11-18",903.200012
"75","2014-11-19",930
"76","2014-11-20",860
"77","2014-11-21",884
"78","2014-11-24",906
"79","2014-11-25",880
"80","2014-11-26",902
"81","2014-11-28",898
"82","2014-12-01",910
"83","2014-12-02",904
"84","2014-12-03",894
"85","2014-12-04",932
"86","2014-12-05",903
"87","2014-12-08",876
"88","2014-12-09",921.200012
"89","2014-12-10",816
"90","2014-12-11",800
"91","2014-12-12",790
"92","2014-12-15",722
"93","2014-12-16",731.599976
"94","2014-12-17",734
"95","2014-12-18",746.400024
"96","2014-12-19",730
"97","2014-12-22",726
"98","2014-12-23",701
"99","2014-12-24",722
"100","2014-12-26",760
"101","2014-12-29",784
"102","2014-12-30",796
"103","2014-12-31",780
"104","2015-01-02",788
"105","2015-01-05",775
"106","2015-01-06",702
"107","2015-01-07",702
"108","2015-01-08",742
"109","2015-01-09",722
"110","2015-01-12",820
"111","2015-01-13",798
"112","2015-01-14",790
"113","2015-01-15",758
"114","2015-01-16",750
"115","2015-01-20",776
"116","2015-01-21",754
"117","2015-01-22",748
"118","2015-01-23",738
"119","2015-01-26",770
"120","2015-01-27",762
"121","2015-01-28",750.799988
"122","2015-01-29",788
"123","2015-01-30",792
"124","2015-02-02",832.200012
"125","2015-02-03",870
"126","2015-02-04",856
"127","2015-02-05",1050
"128","2015-02-06",1276
"129","2015-02-09",1202
"130","2015-02-10",1122
"131","2015-02-11",1196
"132","2015-02-12",1178
"133","2015-02-13",1176
"134","2015-02-17",1150
"135","2015-02-18",1148
"136","2015-02-19",1174
"137","2015-02-20",1160
"138","2015-02-23",1124
"139","2015-02-24",1100
"140","2015-02-25",1078.400024
"141","2015-02-26",1100
"142","2015-02-27",1100
"143","2015-03-02",1176.400024
"144","2015-03-03",1182
"145","2015-03-04",1230
"146","2015-03-05",1196
"147","2015-03-06",1229.800049
"148","2015-03-09",1206
"149","2015-03-10",1136
"150","2015-03-11",1150
"151","2015-03-12",1149.199951
"152","2015-03-13",1176
"153","2015-03-16",1216
"154","2015-03-17",1150
"155","2015-03-18",1158
"156","2015-03-19",1162
"157","2015-03-20",1178
"158","2015-03-23",1182.400024
"159","2015-03-24",1100
"160","2015-03-25",1088
"161","2015-03-26",1046
"162","2015-03-27",1060
"163","2015-03-30",1070
"164","2015-03-31",1070
"165","2015-04-01",1064
"166","2015-04-02",1086
"167","2015-04-06",1104
"168","2015-04-07",1100
"169","2015-04-08",1160
"170","2015-04-09",1174
"171","2015-04-10",1152
"172","2015-04-13",1172
"173","2015-04-14",1204
"174","2015-04-15",1196
"175","2015-04-16",1200
"176","2015-04-17",1162
"177","2015-04-20",1142
"178","2015-04-21",1080
"179","2015-04-22",930
"180","2015-04-23",990
"181","2015-04-24",956
"182","2015-04-27",954
"183","2015-04-28",960
"184","2015-04-29",968
"185","2015-04-30",980
"186","2015-05-01",1108
"187","2015-05-04",1164
"188","2015-05-05",1130
"189","2015-05-06",1022
"190","2015-05-07",1150
"191","2015-05-08",1200
"192","2015-05-11",1186
"193","2015-05-12",1116
"194","2015-05-13",1140
"195","2015-05-14",1210
"196","2015-05-15",1172
"197","2015-05-18",1162
"198","2015-05-19",1084
"199","2015-05-20",1096
"200","2015-05-21",1086
"201","2015-05-22",984
"202","2015-05-26",998
"203","2015-05-27",972
"204","2015-05-28",956
"205","2015-05-29",900
"206","2015-06-01",866
"207","2015-06-02",966
"208","2015-06-03",874
"209","2015-06-04",930
"210","2015-06-05",946
"211","2015-06-08",942
"212","2015-06-09",924
"213","2015-06-10",900
"214","2015-06-11",906
"215","2015-06-12",900
"216","2015-06-15",914
"217","2015-06-16",989
"218","2015-06-17",952
"219","2015-06-18",944
"220","2015-06-19",1016
"221","2015-06-22",1010
"222","2015-06-23",992
"223","2015-06-24",920
"224","2015-06-25",946
"225","2015-06-26",982
"226","2015-06-29",960
"227","2015-06-30",972
"228","2015-07-01",1028
"229","2015-07-02",1112
"230","2015-07-06",1078
"231","2015-07-07",1062
"232","2015-07-08",1000
"233","2015-07-09",994
"234","2015-07-10",1044
"235","2015-07-13",1020
"236","2015-07-14",1042
"237","2015-07-15",980
"238","2015-07-16",1000
"239","2015-07-17",1010
"240","2015-07-20",998
"241","2015-07-21",998
"242","2015-07-22",1004
"243","2015-07-23",1002
"244","2015-07-24",1003
"245","2015-07-27",1030
"246","2015-07-28",1052
"247","2015-07-29",1056
"248","2015-07-30",1022
"249","2015-07-31",1014
"250","2015-08-03",1024
"251","2015-08-04",1024
"252","2015-08-05",1018
"253","2015-08-06",994
"254","2015-08-07",986
"255","2015-08-10",1000
"256","2015-08-11",1002
"257","2015-08-12",1000
"258","2015-08-13",1002
"259","2015-08-14",1008
"260","2015-08-17",1002
"261","2015-08-18",1004
"262","2015-08-19",1000
"263","2015-08-20",996
"264","2015-08-21",969
"265","2015-08-24",856
"266","2015-08-25",910
"267","2015-08-26",954
"268","2015-08-27",982
"269","2015-08-28",972
"270","2015-08-31",951
"271","2015-09-01",920
"272","2015-09-02",860
"273","2015-09-03",862
"274","2015-09-04",864
"275","2015-09-08",889
"276","2015-09-09",920
"277","2015-09-10",944
"278","2015-09-11",936
"279","2015-09-14",946
"280","2015-09-15",866
"281","2015-09-16",878
"282","2015-09-17",888
"283","2015-09-18",876
"284","2015-09-21",880
"285","2015-09-22",862
"286","2015-09-23",852
"287","2015-09-24",914
"288","2015-09-25",862
"289","2015-09-28",706
"290","2015-09-29",700
"291","2015-09-30",712
"292","2015-10-01",702
"293","2015-10-02",674
"294","2015-10-05",688
"295","2015-10-06",668.799988
"296","2015-10-07",667
"297","2015-10-08",672
"298","2015-10-09",694
"299","2015-10-12",675
"300","2015-10-13",666
"301","2015-10-14",690
"302","2015-10-15",707
"303","2015-10-16",760
"304","2015-10-19",740
"305","2015-10-20",762
"306","2015-10-21",766
"307","2015-10-22",784
"308","2015-10-23",788
"309","2015-10-26",786
"310","2015-10-27",772
"311","2015-10-28",760
"312","2015-10-29",780
"313","2015-10-30",778
"314","2015-11-02",776
"315","2015-11-03",740
"316","2015-11-04",726
"317","2015-11-05",734
"318","2015-11-06",738
"319","2015-11-09",734
"320","2015-11-10",728
"321","2015-11-11",728
"322","2015-11-12",634
"323","2015-11-13",636
"324","2015-11-16",604
"325","2015-11-17",626
"326","2015-11-18",662
"327","2015-11-19",651.400024
"328","2015-11-20",650
"329","2015-11-23",672
"330","2015-11-24",678
"331","2015-11-25",670
"332","2015-11-27",702
"333","2015-11-30",722
"334","2015-12-01",747.599976
"335","2015-12-02",730
"336","2015-12-03",710
"337","2015-12-04",684
"338","2015-12-07",698
"339","2015-12-08",617.799988
"340","2015-12-09",756
"341","2015-12-10",680
"342","2015-12-11",664
"343","2015-12-14",680
"344","2015-12-15",693
"345","2015-12-16",684
"346","2015-12-17",662
"347","2015-12-18",636
"348","2015-12-21",644
"349","2015-12-22",664
"350","2015-12-23",673.799988
"351","2015-12-24",834
"352","2015-12-28",878
"353","2015-12-29",1000
"354","2015-12-30",960
"355","2015-12-31",978
"356","2016-01-04",1016
"357","2016-01-05",1188
"358","2016-01-06",1558
"359","2016-01-07",1416
"360","2016-01-08",1138
"361","2016-01-11",1030
"362","2016-01-12",938
"363","2016-01-13",992
"364","2016-01-14",992
"365","2016-01-15",880
"366","2016-01-19",826
"367","2016-01-20",846
"368","2016-01-21",826
"369","2016-01-22",838
"370","2016-01-25",844
"371","2016-01-26",878
"372","2016-01-27",944
"373","2016-01-28",900
"374","2016-01-29",896
"375","2016-02-01",858
"376","2016-02-02",810
"377","2016-02-03",782
"378","2016-02-04",838
"379","2016-02-05",814
"380","2016-02-08",844
"381","2016-02-09",842
"382","2016-02-10",818
"383","2016-02-11",840
"384","2016-02-12",870
"385","2016-02-16",906
"386","2016-02-17",886
"387","2016-02-18",866
