"","date","BKEP"
"1","2010-12-31",7.75
"2","2011-01-03",7.8
"3","2011-01-04",7.75
"4","2011-01-05",7.6
"5","2011-01-06",7.75
"6","2011-01-07",7.75
"7","2011-01-10",7.72
"8","2011-01-11",7.52
"9","2011-01-12",7.63
"10","2011-01-13",7.65
"11","2011-01-14",7.7
"12","2011-01-18",7.75
"13","2011-01-19",7.55
"14","2011-01-20",7.5
"15","2011-01-21",7.75
"16","2011-01-24",7.75
"17","2011-01-25",7.75
"18","2011-01-26",7.85
"19","2011-01-27",7.75
"20","2011-01-28",7.65
"21","2011-01-31",7.5
"22","2011-02-01",7.75
"23","2011-02-02",7.75
"24","2011-02-03",7.7
"25","2011-02-04",7.75
"26","2011-02-07",7.75
"27","2011-02-08",7.75
"28","2011-02-09",7.75
"29","2011-02-10",7.75
"30","2011-02-11",8
"31","2011-02-14",7.9
"32","2011-02-15",8
"33","2011-02-16",8.1
"34","2011-02-17",8.2
"35","2011-02-18",8.24
"36","2011-02-22",8
"37","2011-02-23",8.1
"38","2011-02-24",8.17
"39","2011-02-25",8.18
"40","2011-02-28",8.15
"41","2011-03-01",8.25
"42","2011-03-02",8.5
"43","2011-03-03",8.5
"44","2011-03-04",8.3
"45","2011-03-07",8.1
"46","2011-03-08",8.5
"47","2011-03-09",8.6
"48","2011-03-10",8.25
"49","2011-03-11",8.6
"50","2011-03-14",8.41
"51","2011-03-15",8.4
"52","2011-03-16",8.3
"53","2011-03-17",8.5
"54","2011-03-18",8.5
"55","2011-03-21",8.4
"56","2011-03-22",8.5
"57","2011-03-23",8.55
"58","2011-03-24",8.55
"59","2011-03-25",8.5
"60","2011-03-28",8.7
"61","2011-03-29",8.6
"62","2011-03-30",8.5
"63","2011-03-31",8.75
"64","2011-04-01",8.5
"65","2011-04-04",8.5
"66","2011-04-05",8.57
"67","2011-04-06",8.2
"68","2011-04-07",8.1
"69","2011-04-08",8.25
"70","2011-04-11",8.3
"71","2011-04-12",8.35
"72","2011-04-13",8.6
"73","2011-04-14",8.35
"74","2011-04-15",8.49
"75","2011-04-18",8.3
"76","2011-04-19",8.3
"77","2011-04-20",8.4
"78","2011-04-21",8.44
"79","2011-04-25",8.47
"80","2011-04-26",8.74
"81","2011-04-27",8.7
"82","2011-04-28",8.75
"83","2011-04-29",8.5
"84","2011-05-02",8.62
"85","2011-05-03",8.75
"86","2011-05-04",8.35
"87","2011-05-05",8.13
"88","2011-05-06",8.3
"89","2011-05-09",8.5
"90","2011-05-10",8.48
"91","2011-05-11",8.8
"92","2011-05-12",9
"93","2011-05-13",8.7
"94","2011-05-16",8.09
"95","2011-05-17",7.41
"96","2011-05-18",7.55
"97","2011-05-19",7.61
"98","2011-05-20",7.8
"99","2011-05-23",7.52
"100","2011-05-24",7.47
"101","2011-05-25",7.12
"102","2011-05-26",7.47
"103","2011-05-27",7.5
"104","2011-05-31",7.94
"105","2011-06-01",7.79
"106","2011-06-02",7.87
"107","2011-06-03",8
"108","2011-06-06",8
"109","2011-06-07",7.95
"110","2011-06-08",8.01
"111","2011-06-09",7.9
"112","2011-06-10",7.6
"113","2011-06-13",7.67
"114","2011-06-14",7.95
"115","2011-06-15",7.89
"116","2011-06-16",7.79
"117","2011-06-17",7.26
"118","2011-06-20",7.25
"119","2011-06-21",7.4
"120","2011-06-22",7.25
"121","2011-06-23",7.32
"122","2011-06-24",7.45
"123","2011-06-27",7.91
"124","2011-06-28",7.9
"125","2011-06-29",8.01
"126","2011-06-30",8.05
"127","2011-07-01",7.75
"128","2011-07-05",7.75
"129","2011-07-06",8.01
"130","2011-07-07",8.25
"131","2011-07-08",8.16
"132","2011-07-11",8.16
"133","2011-07-12",8.06
"134","2011-07-13",8.11
"135","2011-07-14",8.5
"136","2011-07-15",8.27
"137","2011-07-18",8.29
"138","2011-07-19",8.21
"139","2011-07-20",8.64
"140","2011-07-21",8.59
"141","2011-07-22",8.59
"142","2011-07-25",8.27
"143","2011-07-26",8.25
"144","2011-07-27",8.23
"145","2011-07-28",8.44
"146","2011-07-29",8.31
"147","2011-08-01",8.36
"148","2011-08-02",8.48
"149","2011-08-03",8.5
"150","2011-08-04",8.18
"151","2011-08-05",8
"152","2011-08-08",7.33
"153","2011-08-09",7.5
"154","2011-08-10",7.69
"155","2011-08-11",8
"156","2011-08-12",7.61
"157","2011-08-15",8
"158","2011-08-16",8.04
"159","2011-08-17",8.04
"160","2011-08-18",7.83
"161","2011-08-19",7.5
"162","2011-08-22",7.52
"163","2011-08-23",7.62
"164","2011-08-24",7.52
"165","2011-08-25",7.55
"166","2011-08-26",7.6
"167","2011-08-29",7.6
"168","2011-08-30",7.6
"169","2011-08-31",7.65
"170","2011-09-01",7.35
"171","2011-09-02",7.47
"172","2011-09-06",7.6
"173","2011-09-07",7.82
"174","2011-09-08",7.64
"175","2011-09-09",7.56
"176","2011-09-12",7.35
"177","2011-09-13",7.25
"178","2011-09-14",6.94
"179","2011-09-15",7.4
"180","2011-09-16",7.76
"181","2011-09-19",7.75
"182","2011-09-20",7.64
"183","2011-09-21",7.76
"184","2011-09-22",7.2
"185","2011-09-23",7.25
"186","2011-09-26",7
"187","2011-09-27",7.25
"188","2011-09-28",6.95
"189","2011-09-29",6.37
"190","2011-09-30",6.25
"191","2011-10-03",5.98
"192","2011-10-04",5.75
"193","2011-10-05",6.74
"194","2011-10-06",6.25
"195","2011-10-07",6.06
"196","2011-10-10",6.04
"197","2011-10-11",5.95
"198","2011-10-12",5.95
"199","2011-10-13",5.54
"200","2011-10-14",5.52
"201","2011-10-17",5.4
"202","2011-10-18",5.69
"203","2011-10-19",5.5
"204","2011-10-20",5.5
"205","2011-10-21",5.62
"206","2011-10-24",6.16
"207","2011-10-25",6
"208","2011-10-26",5.84
"209","2011-10-27",6
"210","2011-10-28",5.75
"211","2011-10-31",6
"212","2011-11-01",5.84
"213","2011-11-02",5.85
"214","2011-11-03",5.96
"215","2011-11-04",6.3
"216","2011-11-07",6.6
"217","2011-11-08",6.61
"218","2011-11-09",6.48
"219","2011-11-10",6.7
"220","2011-11-11",6.6
"221","2011-11-14",6.8
"222","2011-11-15",6.69
"223","2011-11-16",6.6
"224","2011-11-17",6.57
"225","2011-11-18",6.75
"226","2011-11-21",6.79
"227","2011-11-22",6.6
"228","2011-11-23",6.64
"229","2011-11-25",6.64
"230","2011-11-28",6.6
"231","2011-11-29",6.33
"232","2011-11-30",6.26
"233","2011-12-01",6.27
"234","2011-12-02",6.24
"235","2011-12-05",6.25
"236","2011-12-06",6.25
"237","2011-12-07",6.29
"238","2011-12-08",6.23
"239","2011-12-09",6.3
"240","2011-12-12",6.15
"241","2011-12-13",6
"242","2011-12-14",5.85
"243","2011-12-15",5.81
"244","2011-12-16",5.75
"245","2011-12-19",5.76
"246","2011-12-20",6.27
"247","2011-12-21",6.16
"248","2011-12-22",5.95
"249","2011-12-23",5.75
"250","2011-12-27",5.75
"251","2011-12-28",5.7
"252","2011-12-29",5.86
"253","2011-12-30",6.53
"254","2012-01-03",6.6
"255","2012-01-04",6.75
"256","2012-01-05",6.75
"257","2012-01-06",6.8
"258","2012-01-09",6.79
"259","2012-01-10",7
"260","2012-01-11",6.85
"261","2012-01-12",7
"262","2012-01-13",7
"263","2012-01-17",7
"264","2012-01-18",7.13
"265","2012-01-19",7
"266","2012-01-20",7
"267","2012-01-23",6.95
"268","2012-01-24",6.99
"269","2012-01-25",6.99
"270","2012-01-26",7.13
"271","2012-01-27",7.16
"272","2012-01-30",6.99
"273","2012-01-31",6.91
"274","2012-02-01",7
"275","2012-02-02",6.87
"276","2012-02-03",6.9
"277","2012-02-06",6.79
"278","2012-02-07",6.7
"279","2012-02-08",6.64
"280","2012-02-09",6.99
"281","2012-02-10",6.9
"282","2012-02-13",6.7
"283","2012-02-14",6.65
"284","2012-02-15",6.92
"285","2012-02-16",7
"286","2012-02-17",6.99
"287","2012-02-21",7
"288","2012-02-22",6.9
"289","2012-02-23",7
"290","2012-02-24",6.7
"291","2012-02-27",7
"292","2012-02-28",6.88
"293","2012-02-29",6.85
"294","2012-03-01",6.83
"295","2012-03-02",6.75
"296","2012-03-05",6.97
"297","2012-03-06",6.77
"298","2012-03-07",6.76
"299","2012-03-08",6.92
"300","2012-03-09",6.7
"301","2012-03-12",7.13
"302","2012-03-13",7.25
"303","2012-03-14",7.1
"304","2012-03-15",6.65
"305","2012-03-16",6.97
"306","2012-03-19",6.94
"307","2012-03-20",6.75
"308","2012-03-21",6.85
"309","2012-03-22",6.97
"310","2012-03-23",6.78
"311","2012-03-26",6.61
"312","2012-03-27",6.5
"313","2012-03-28",6.41
"314","2012-03-29",6.7
"315","2012-03-30",6.75
"316","2012-04-02",6.71
"317","2012-04-03",6.73
"318","2012-04-04",6.8
"319","2012-04-05",7.01
"320","2012-04-09",6.9
"321","2012-04-10",6.8
"322","2012-04-11",6.8
"323","2012-04-12",6.85
"324","2012-04-13",7
"325","2012-04-16",6.92
"326","2012-04-17",6.97
"327","2012-04-18",6.96
"328","2012-04-19",6.94
"329","2012-04-20",6.95
"330","2012-04-23",7.08
"331","2012-04-24",7.1
"332","2012-04-25",7.1
"333","2012-04-26",7.06
"334","2012-04-27",7.07
"335","2012-04-30",7.02
"336","2012-05-01",7.09
"337","2012-05-02",6.99
"338","2012-05-03",7
"339","2012-05-04",7
"340","2012-05-07",7
"341","2012-05-08",6.8
"342","2012-05-09",6.9
"343","2012-05-10",7
"344","2012-05-11",7.1
"345","2012-05-14",7.05
"346","2012-05-15",6.99
"347","2012-05-16",6.85
"348","2012-05-17",6.7
"349","2012-05-18",6.76
"350","2012-05-21",6.69
"351","2012-05-22",6.8
"352","2012-05-23",6.8
"353","2012-05-24",6.9
"354","2012-05-25",6.87
"355","2012-05-29",6.87
"356","2012-05-30",6.98
"357","2012-05-31",6.76
"358","2012-06-01",6.7
"359","2012-06-04",6.67
"360","2012-06-05",6.66
"361","2012-06-06",6.9
"362","2012-06-07",6.84
"363","2012-06-08",6.95
"364","2012-06-11",6.76
"365","2012-06-12",6.76
"366","2012-06-13",6.75
"367","2012-06-14",6.6
"368","2012-06-15",6.65
"369","2012-06-18",6.94
"370","2012-06-19",7
