"","date","VTOL"
"1","2013-01-22",18.049999
"2","2013-01-23",18.860001
"3","2013-01-24",19.110001
"4","2013-01-25",19.5
"5","2013-01-28",19.65
"6","2013-01-29",20
"7","2013-01-30",19.9
"8","2013-01-31",20.389999
"9","2013-02-01",21.6
"10","2013-02-04",21.440001
"11","2013-02-05",23.799999
"12","2013-02-06",22.49
"13","2013-02-07",21.700001
"14","2013-02-08",21.25
"15","2013-02-11",21.09
"16","2013-02-12",21.209999
"17","2013-02-13",21
"18","2013-02-14",20.82
"19","2013-02-15",20.870001
"20","2013-02-19",20.99
"21","2013-02-20",20.75
"22","2013-02-21",20.940001
"23","2013-02-22",21
"24","2013-02-25",20.540001
"25","2013-02-26",20.77
"26","2013-02-27",20.32
"27","2013-02-28",20.190001
"28","2013-03-01",19.790001
"29","2013-03-04",19.75
"30","2013-03-05",20
"31","2013-03-06",19.879999
"32","2013-03-07",19.540001
"33","2013-03-08",20.360001
"34","2013-03-11",20.059999
"35","2013-03-12",19.98
"36","2013-03-13",20.459999
"37","2013-03-14",20.610001
"38","2013-03-15",20.389999
"39","2013-03-18",20.6
"40","2013-03-19",20.48
"41","2013-03-20",20.389999
"42","2013-03-21",20.690001
"43","2013-03-22",20.959999
"44","2013-03-25",21.07
"45","2013-03-26",20.82
"46","2013-03-27",20.959999
"47","2013-03-28",21
"48","2013-04-01",21
"49","2013-04-02",21.290001
"50","2013-04-03",21.299999
"51","2013-04-04",21.049999
"52","2013-04-05",21.59
"53","2013-04-08",22.32
"54","2013-04-09",22.75
"55","2013-04-10",24.049999
"56","2013-04-11",25.1
"57","2013-04-12",24.91
"58","2013-04-15",23.549999
"59","2013-04-16",23.290001
"60","2013-04-17",23.26
"61","2013-04-18",23.09
"62","2013-04-19",23.08
"63","2013-04-22",22.709999
"64","2013-04-23",23.059999
"65","2013-04-24",23.129999
"66","2013-04-25",22.6
"67","2013-04-26",22.790001
"68","2013-04-29",22.799999
"69","2013-04-30",22.85
"70","2013-05-01",23.219999
"71","2013-05-02",23.48
"72","2013-05-03",24.24
"73","2013-05-06",24.440001
"74","2013-05-07",24.91
"75","2013-05-08",24.799999
"76","2013-05-09",24.889999
"77","2013-05-10",25.02
"78","2013-05-13",24.969999
"79","2013-05-14",24.790001
"80","2013-05-15",26.48
"81","2013-05-16",25.389999
"82","2013-05-17",24.92
"83","2013-05-20",24.610001
"84","2013-05-21",26.360001
"85","2013-05-22",25.469999
"86","2013-05-23",25.549999
"87","2013-05-24",25.01
"88","2013-05-28",25.1
"89","2013-05-29",25.969999
"90","2013-05-30",25.99
"91","2013-05-31",25.76
"92","2013-06-03",26.5
"93","2013-06-04",25.15
"94","2013-06-05",24.299999
"95","2013-06-06",25.110001
"96","2013-06-07",25.59
"97","2013-06-10",25.219999
"98","2013-06-11",25.469999
"99","2013-06-12",25.799999
"100","2013-06-13",27.440001
"101","2013-06-14",27.67
"102","2013-06-17",26.559999
"103","2013-06-18",27.57
"104","2013-06-19",26.870001
"105","2013-06-20",26.23
"106","2013-06-21",25.99
"107","2013-06-24",25.66
"108","2013-06-25",26.42
"109","2013-06-26",27.389999
"110","2013-06-27",27.33
"111","2013-06-28",26.15
"112","2013-07-01",25.549999
"113","2013-07-02",25.33
"114","2013-07-03",24.77
"115","2013-07-05",24.91
"116","2013-07-08",25.08
"117","2013-07-09",25.48
"118","2013-07-10",25.629999
"119","2013-07-11",26.27
"120","2013-07-12",26.129999
"121","2013-07-15",25.68
"122","2013-07-16",25.5
"123","2013-07-17",25.51
"124","2013-07-18",25.48
"125","2013-07-19",25.24
"126","2013-07-22",25.540001
"127","2013-07-23",25.219999
"128","2013-07-24",25.08
"129","2013-07-25",25.040001
"130","2013-07-26",24.610001
"131","2013-07-29",24.299999
"132","2013-07-30",24.389999
"133","2013-07-31",24.389999
"134","2013-08-01",24.52
"135","2013-08-02",24.5
"136","2013-08-05",25.440001
"137","2013-08-06",24.870001
"138","2013-08-07",25.5
"139","2013-08-08",26.17
"140","2013-08-09",26.17
"141","2013-08-12",26.01
"142","2013-08-13",25.83
"143","2013-08-14",26
"144","2013-08-15",25.200001
"145","2013-08-16",25.52
"146","2013-08-19",25.27
"147","2013-08-20",25.43
