"","date","BSY"
"1","2020-09-23",33.490002
"2","2020-09-24",32
"3","2020-09-25",34.790001
"4","2020-09-28",32.119999
"5","2020-09-29",30.02
"6","2020-09-30",31.4
"7","2020-10-01",30.5
"8","2020-10-02",30.17
"9","2020-10-05",29.92
"10","2020-10-06",30.190001
"11","2020-10-07",30.07
"12","2020-10-08",30.370001
"13","2020-10-09",30.389999
"14","2020-10-12",32.18
"15","2020-10-13",34.290001
"16","2020-10-14",37.169998
"17","2020-10-15",39.189999
"18","2020-10-16",39.990002
"19","2020-10-19",37.82
"20","2020-10-20",38.23
"21","2020-10-21",37.709999
"22","2020-10-22",35.5
"23","2020-10-23",36.470001
"24","2020-10-26",36.419998
"25","2020-10-27",35.549999
"26","2020-10-28",34.200001
"27","2020-10-29",34.830002
"28","2020-10-30",35.060001
"29","2020-11-02",35.779999
"30","2020-11-03",35.959999
"31","2020-11-04",35.41
"32","2020-11-05",36.689999
"33","2020-11-06",36.93
"34","2020-11-09",37.84
"35","2020-11-10",37.110001
"36","2020-11-11",33.990002
"37","2020-11-12",32.25
"38","2020-11-13",33.099998
"39","2020-11-16",34.5
"40","2020-11-17",35.369999
"41","2020-11-18",34.169998
"42","2020-11-19",35.119999
"43","2020-11-20",35.549999
"44","2020-11-23",35.139999
"45","2020-11-24",35.580002
"46","2020-11-25",35.669998
"47","2020-11-27",35.5
