"","date","RYI"
"1","2014-08-08",10.3
"2","2014-08-11",10.37
"3","2014-08-12",10.39
"4","2014-08-13",10.39
"5","2014-08-14",10.35
"6","2014-08-15",10.35
"7","2014-08-18",10.33
"8","2014-08-19",10.3
"9","2014-08-20",10.426
"10","2014-08-21",10.4
"11","2014-08-22",10.4
"12","2014-08-25",10.58
"13","2014-08-26",10.51
"14","2014-08-27",10.73
"15","2014-08-28",10.77
"16","2014-08-29",10.95
"17","2014-09-02",10.65
"18","2014-09-03",10.61
"19","2014-09-04",10.56
"20","2014-09-05",10.51
"21","2014-09-08",10.77
"22","2014-09-09",10.93
"23","2014-09-10",11.42
"24","2014-09-11",11.44
"25","2014-09-12",11.64
"26","2014-09-15",11.65
"27","2014-09-16",11.61
"28","2014-09-17",12.37
"29","2014-09-18",13.21
"30","2014-09-19",13.39
"31","2014-09-22",13.58
"32","2014-09-23",14.02
"33","2014-09-24",13.81
"34","2014-09-25",13.3
"35","2014-09-26",13.65
"36","2014-09-29",13.65
"37","2014-09-30",12.8
"38","2014-10-01",12.47
"39","2014-10-02",12.98
"40","2014-10-03",13.09
"41","2014-10-06",13.21
"42","2014-10-07",12.9
"43","2014-10-08",12.62
"44","2014-10-09",11.51
"45","2014-10-10",11.09
"46","2014-10-13",10.72
"47","2014-10-14",10.76
"48","2014-10-15",10.94
"49","2014-10-16",10.79
"50","2014-10-17",11.78
"51","2014-10-20",12.08
"52","2014-10-21",12.03
"53","2014-10-22",11.9
"54","2014-10-23",11.79
"55","2014-10-24",12.16
"56","2014-10-27",12.33
"57","2014-10-28",12.7
"58","2014-10-29",12.65
"59","2014-10-30",12.5
"60","2014-10-31",12.78
"61","2014-11-03",12.53
"62","2014-11-04",11.86
"63","2014-11-05",12.07
"64","2014-11-06",12.13
"65","2014-11-07",12.13
"66","2014-11-10",11.77
"67","2014-11-11",11.87
"68","2014-11-12",11.97
"69","2014-11-13",9.86
"70","2014-11-14",9.68
"71","2014-11-17",9.83
"72","2014-11-18",10
"73","2014-11-19",9.99
"74","2014-11-20",10.38
"75","2014-11-21",10.99
"76","2014-11-24",11.2
"77","2014-11-25",11.22
"78","2014-11-26",11.18
"79","2014-11-28",10.79
"80","2014-12-01",10.98
"81","2014-12-02",10.96
"82","2014-12-03",11
"83","2014-12-04",10.81
"84","2014-12-05",11.01
"85","2014-12-08",10.92
"86","2014-12-09",11.2
"87","2014-12-10",10.38
"88","2014-12-11",10.6
"89","2014-12-12",10.46
"90","2014-12-15",10.57
"91","2014-12-16",10.73
"92","2014-12-17",11.1
"93","2014-12-18",11.19
"94","2014-12-19",10.73
"95","2014-12-22",9.83
"96","2014-12-23",9.63
"97","2014-12-24",9.98
"98","2014-12-26",9.85
"99","2014-12-29",9.94
"100","2014-12-30",9.81
"101","2014-12-31",9.93
"102","2015-01-02",9.6
"103","2015-01-05",9.24
"104","2015-01-06",8.8
"105","2015-01-07",8.24
"106","2015-01-08",8.22
"107","2015-01-09",8.12
"108","2015-01-12",7.4
"109","2015-01-13",6.92
"110","2015-01-14",7.21
"111","2015-01-15",7.27
"112","2015-01-16",7.47
"113","2015-01-20",7.1
"114","2015-01-21",6.86
"115","2015-01-22",6.84
"116","2015-01-23",6.7
"117","2015-01-26",6.59
"118","2015-01-27",6.65
"119","2015-01-28",6.45
"120","2015-01-29",6.29
"121","2015-01-30",6.35
"122","2015-02-02",6.15
"123","2015-02-03",6.39
"124","2015-02-04",6.07
"125","2015-02-05",6.67
"126","2015-02-06",6.87
"127","2015-02-09",6.89
"128","2015-02-10",6.88
"129","2015-02-11",6.48
"130","2015-02-12",6.65
"131","2015-02-13",6.76
"132","2015-02-17",6.68
"133","2015-02-18",6.7
"134","2015-02-19",6.92
"135","2015-02-20",6.73
"136","2015-02-23",6.43
"137","2015-02-24",6.52
"138","2015-02-25",6.44
"139","2015-02-26",6.3
"140","2015-02-27",6.08
"141","2015-03-02",6.1
"142","2015-03-03",6.61
"143","2015-03-04",6.54
"144","2015-03-05",6.38
"145","2015-03-06",6.09
"146","2015-03-09",6.32
"147","2015-03-10",6.15
"148","2015-03-11",6.11
"149","2015-03-12",6.14
"150","2015-03-13",5.73
"151","2015-03-16",5.66
"152","2015-03-17",5.9
"153","2015-03-18",6.21
"154","2015-03-19",6.05
"155","2015-03-20",6.12
"156","2015-03-23",6.91
"157","2015-03-24",7.06
"158","2015-03-25",7.26
"159","2015-03-26",7.12
"160","2015-03-27",7.32
"161","2015-03-30",6.9
"162","2015-03-31",6.37
"163","2015-04-01",6.08
"164","2015-04-02",6.38
"165","2015-04-06",6.41
"166","2015-04-07",6.3
"167","2015-04-08",6.49
"168","2015-04-09",6.23
"169","2015-04-10",6.12
"170","2015-04-13",6.01
"171","2015-04-14",6.21
"172","2015-04-15",6.11
"173","2015-04-16",6.08
"174","2015-04-17",5.91
"175","2015-04-20",5.73
"176","2015-04-21",5.52
"177","2015-04-22",5.44
"178","2015-04-23",5.7
"179","2015-04-24",5.79
"180","2015-04-27",5.76
"181","2015-04-28",6
"182","2015-04-29",5.82
"183","2015-04-30",5.54
"184","2015-05-01",5.48
"185","2015-05-04",5.65
"186","2015-05-05",5.65
"187","2015-05-06",5.77
"188","2015-05-07",5.81
"189","2015-05-08",7.8
"190","2015-05-11",7.98
"191","2015-05-12",7.96
"192","2015-05-13",7.98
"193","2015-05-14",8.06
"194","2015-05-15",7.99
"195","2015-05-18",8.53
"196","2015-05-19",8.33
"197","2015-05-20",8.36
"198","2015-05-21",8.57
"199","2015-05-22",8.59
"200","2015-05-26",8.53
"201","2015-05-27",8.58
"202","2015-05-28",8.63
"203","2015-05-29",8.3
"204","2015-06-01",8.45
"205","2015-06-02",8.87
"206","2015-06-03",9.08
"207","2015-06-04",9.06
"208","2015-06-05",9.06
"209","2015-06-08",8.81
"210","2015-06-09",8.74
"211","2015-06-10",9.02
"212","2015-06-11",9.2
"213","2015-06-12",9.1
"214","2015-06-15",9.04
"215","2015-06-16",9.03
"216","2015-06-17",9.04
"217","2015-06-18",9.16
"218","2015-06-19",9.3
"219","2015-06-22",9.06
"220","2015-06-23",9.05
"221","2015-06-24",9.2
"222","2015-06-25",9.24
"223","2015-06-26",9.37
"224","2015-06-29",9.1
"225","2015-06-30",9.1
"226","2015-07-01",9.6
"227","2015-07-02",8.42
"228","2015-07-06",8.24
"229","2015-07-07",8.55
"230","2015-07-08",8.3
"231","2015-07-09",8.41
"232","2015-07-10",8.53
"233","2015-07-13",8.64
"234","2015-07-14",8.77
"235","2015-07-15",8.38
"236","2015-07-16",8.4
"237","2015-07-17",8.32
"238","2015-07-20",8
"239","2015-07-21",8.4
"240","2015-07-22",8.49
"241","2015-07-23",8.34
"242","2015-07-24",7.73
"243","2015-07-27",6.84
"244","2015-07-28",6.94
"245","2015-07-29",7
"246","2015-07-30",6.68
"247","2015-07-31",6.77
"248","2015-08-03",6.5
"249","2015-08-04",6.4
"250","2015-08-05",7.06
"251","2015-08-06",6.97
"252","2015-08-07",6.7
"253","2015-08-10",7.76
"254","2015-08-11",7.29
"255","2015-08-12",7.02
"256","2015-08-13",8.21
"257","2015-08-14",7.54
"258","2015-08-17",7.29
"259","2015-08-18",7.3
"260","2015-08-19",7.02
"261","2015-08-20",6.92
"262","2015-08-21",6.57
"263","2015-08-24",6.05
"264","2015-08-25",6.12
"265","2015-08-26",6.2
"266","2015-08-27",6.77
"267","2015-08-28",7.23
"268","2015-08-31",7.62
"269","2015-09-01",7.17
"270","2015-09-02",7.25
"271","2015-09-03",7.09
"272","2015-09-04",7.15
"273","2015-09-08",7.04
"274","2015-09-09",6.89
