"","date","CNXN"
"1","2007-01-03",15.44
"2","2007-01-04",15.68
"3","2007-01-05",14.05
"4","2007-01-08",13.72
"5","2007-01-09",13.7
"6","2007-01-10",13.57
"7","2007-01-11",14.69
"8","2007-01-12",14.83
"9","2007-01-16",16.049999
"10","2007-01-17",15.97
"11","2007-01-18",15.34
"12","2007-01-19",15.65
"13","2007-01-22",15.17
"14","2007-01-23",16.219999
"15","2007-01-24",16
"16","2007-01-25",15.12
"17","2007-01-26",15.27
"18","2007-01-29",14.97
"19","2007-01-30",16.139999
"20","2007-01-31",16.33
"21","2007-02-01",16.639999
"22","2007-02-02",16.860001
"23","2007-02-05",17.6
"24","2007-02-06",17.98
"25","2007-02-07",18.200001
"26","2007-02-08",18.73
"27","2007-02-09",17.98
"28","2007-02-12",17.200001
"29","2007-02-13",17.049999
"30","2007-02-14",17.450001
"31","2007-02-15",17.610001
"32","2007-02-16",17.540001
"33","2007-02-20",17.73
"34","2007-02-21",18.030001
"35","2007-02-22",18.559999
"36","2007-02-23",18.290001
"37","2007-02-26",17.889999
"38","2007-02-27",16.09
"39","2007-02-28",16.48
"40","2007-03-01",16.620001
"41","2007-03-02",15.63
"42","2007-03-05",14.62
"43","2007-03-06",15.13
"44","2007-03-07",14.8
"45","2007-03-08",14.74
"46","2007-03-09",14.98
"47","2007-03-12",14.97
"48","2007-03-13",14.97
"49","2007-03-14",14.43
"50","2007-03-15",14.44
"51","2007-03-16",14.84
"52","2007-03-19",15.06
"53","2007-03-20",14.89
"54","2007-03-21",14.99
"55","2007-03-22",14.57
"56","2007-03-23",14.91
"57","2007-03-26",14.64
"58","2007-03-27",14.25
"59","2007-03-28",14.44
"60","2007-03-29",14.26
"61","2007-03-30",14.3
"62","2007-04-02",13.82
"63","2007-04-03",14.69
"64","2007-04-04",14.35
"65","2007-04-05",14.72
"66","2007-04-09",14.16
"67","2007-04-10",14.41
"68","2007-04-11",14.14
"69","2007-04-12",14.2
"70","2007-04-13",14.41
"71","2007-04-16",14.95
"72","2007-04-17",15.09
"73","2007-04-18",14.77
"74","2007-04-19",14.61
"75","2007-04-20",14.4
"76","2007-04-23",14.52
"77","2007-04-24",14.4
"78","2007-04-25",13.8
"79","2007-04-26",14
"80","2007-04-27",13.84
"81","2007-04-30",12.83
"82","2007-05-01",13.31
"83","2007-05-02",13.38
"84","2007-05-03",13.34
"85","2007-05-04",13.15
"86","2007-05-07",11.38
"87","2007-05-08",11.05
"88","2007-05-09",10.99
"89","2007-05-10",10.89
"90","2007-05-11",11.23
"91","2007-05-14",11.06
"92","2007-05-15",11.02
"93","2007-05-16",11
"94","2007-05-17",11.02
"95","2007-05-18",11.03
"96","2007-05-21",11.27
"97","2007-05-22",11.36
"98","2007-05-23",11.41
"99","2007-05-24",11.21
"100","2007-05-25",11.23
"101","2007-05-29",11.18
"102","2007-05-30",11.42
"103","2007-05-31",11.52
"104","2007-06-01",11.89
"105","2007-06-04",11.99
"106","2007-06-05",11.98
"107","2007-06-06",11.73
"108","2007-06-07",11.65
"109","2007-06-08",11.63
"110","2007-06-11",11.73
"111","2007-06-12",11.87
"112","2007-06-13",11.87
"113","2007-06-14",12.17
