"","date","SY"
"1","2019-05-02",18.200001
"2","2019-05-03",20.77
"3","2019-05-06",20.27
"4","2019-05-07",20.030001
"5","2019-05-08",19
"6","2019-05-09",18.93
"7","2019-05-10",19.75
"8","2019-05-13",18.860001
"9","2019-05-14",19.059999
"10","2019-05-15",18.5
"11","2019-05-16",16.290001
"12","2019-05-17",15.94
"13","2019-05-20",15.12
"14","2019-05-21",15.69
"15","2019-05-22",15.56
"16","2019-05-23",15.2
"17","2019-05-24",14.32
"18","2019-05-28",14.65
"19","2019-05-29",15.52
"20","2019-05-30",16.4
"21","2019-05-31",16.559999
"22","2019-06-03",16
"23","2019-06-04",16.379999
"24","2019-06-05",14.04
"25","2019-06-06",13.7
"26","2019-06-07",14.58
"27","2019-06-10",14.36
"28","2019-06-11",14.89
"29","2019-06-12",14.33
"30","2019-06-13",14.13
"31","2019-06-14",13.14
"32","2019-06-17",12.8
"33","2019-06-18",13.91
"34","2019-06-19",13.46
"35","2019-06-20",13.86
"36","2019-06-21",13.5
"37","2019-06-24",12.89
"38","2019-06-25",13.03
"39","2019-06-26",13.01
"40","2019-06-27",14.64
"41","2019-06-28",13.89
"42","2019-07-01",14.85
"43","2019-07-02",15.71
"44","2019-07-03",15.7
"45","2019-07-05",15.02
"46","2019-07-08",15.04
"47","2019-07-09",15.46
"48","2019-07-10",15.33
"49","2019-07-11",16.26
"50","2019-07-12",16.780001
"51","2019-07-15",15.25
"52","2019-07-16",14.87
"53","2019-07-17",14.55
"54","2019-07-18",14.42
"55","2019-07-19",14.15
"56","2019-07-22",13.68
"57","2019-07-23",13.87
"58","2019-07-24",14.89
"59","2019-07-25",14.26
"60","2019-07-26",14.38
"61","2019-07-29",14.08
"62","2019-07-30",14.35
"63","2019-07-31",14.4
"64","2019-08-01",14.88
"65","2019-08-02",14.39
"66","2019-08-05",13.88
"67","2019-08-06",14.3
"68","2019-08-07",14.36
"69","2019-08-08",14.1
"70","2019-08-09",14.34
"71","2019-08-12",14.74
"72","2019-08-13",15.04
"73","2019-08-14",14.21
"74","2019-08-15",14.02
"75","2019-08-16",14.5
"76","2019-08-19",15.52
"77","2019-08-20",15.81
"78","2019-08-21",15.17
"79","2019-08-22",15.44
"80","2019-08-23",14.8
"81","2019-08-26",15.48
"82","2019-08-27",15.61
"83","2019-08-28",16.6
"84","2019-08-29",11.04
"85","2019-08-30",12
"86","2019-09-03",11.05
"87","2019-09-04",11.54
"88","2019-09-05",11.26
"89","2019-09-06",10.4
"90","2019-09-09",10.43
"91","2019-09-10",11.33
"92","2019-09-11",11.05
"93","2019-09-12",11.26
"94","2019-09-13",11.17
"95","2019-09-16",11.01
"96","2019-09-17",11.03
"97","2019-09-18",10.75
"98","2019-09-19",11.09
"99","2019-09-20",10.9
"100","2019-09-23",11
"101","2019-09-24",10.08
"102","2019-09-25",10.44
"103","2019-09-26",10.11
"104","2019-09-27",9.47
"105","2019-09-30",9.23
"106","2019-10-01",8.93
"107","2019-10-02",8.62
"108","2019-10-03",9.15
"109","2019-10-04",9.07
"110","2019-10-07",8.99
"111","2019-10-08",8.79
"112","2019-10-09",8.55
"113","2019-10-10",8.9
"114","2019-10-11",8.96
"115","2019-10-14",8.69
"116","2019-10-15",9.04
"117","2019-10-16",8.71
"118","2019-10-17",8.91
"119","2019-10-18",9.01
"120","2019-10-21",8.97
"121","2019-10-22",9.09
"122","2019-10-23",9.22
"123","2019-10-24",9.48
"124","2019-10-25",9.55
"125","2019-10-28",10.5
"126","2019-10-29",11.32
"127","2019-10-30",11.25
"128","2019-10-31",10.9
"129","2019-11-01",10.64
"130","2019-11-04",11.12
"131","2019-11-05",11.94
"132","2019-11-06",11.32
"133","2019-11-07",11.78
"134","2019-11-08",12.16
"135","2019-11-11",12.03
"136","2019-11-12",12.05
"137","2019-11-13",11.8
