"","date","AJG"
"1","2007-01-03",29.620001
"2","2007-01-04",29.5
"3","2007-01-05",29.110001
"4","2007-01-08",28.58
"5","2007-01-09",28.59
"6","2007-01-10",28.629999
"7","2007-01-11",28.799999
"8","2007-01-12",28.83
"9","2007-01-16",28.889999
"10","2007-01-17",28.719999
"11","2007-01-18",28.59
"12","2007-01-19",28.809999
"13","2007-01-22",28.68
"14","2007-01-23",28.809999
"15","2007-01-24",28.870001
"16","2007-01-25",28.799999
"17","2007-01-26",28.85
"18","2007-01-29",28.9
"19","2007-01-30",29.17
"20","2007-01-31",28.67
"21","2007-02-01",28.77
"22","2007-02-02",28.549999
"23","2007-02-05",28.860001
"24","2007-02-06",28.969999
"25","2007-02-07",29.27
"26","2007-02-08",29.33
"27","2007-02-09",29.32
"28","2007-02-12",28.780001
"29","2007-02-13",28.91
"30","2007-02-14",29.129999
"31","2007-02-15",28.959999
"32","2007-02-16",29.219999
"33","2007-02-20",29.24
"34","2007-02-21",29.049999
"35","2007-02-22",29.059999
"36","2007-02-23",28.790001
"37","2007-02-26",29.110001
"38","2007-02-27",28.360001
"39","2007-02-28",28.629999
"40","2007-03-01",28.18
"41","2007-03-02",28.360001
"42","2007-03-05",28.209999
"43","2007-03-06",28.450001
"44","2007-03-07",28.190001
"45","2007-03-08",28.190001
"46","2007-03-09",28.370001
"47","2007-03-12",28.23
"48","2007-03-13",27.76
"49","2007-03-14",27.879999
"50","2007-03-15",28
"51","2007-03-16",27.889999
"52","2007-03-19",27.780001
"53","2007-03-20",27.959999
"54","2007-03-21",28.15
"55","2007-03-22",28.309999
"56","2007-03-23",28.58
"57","2007-03-26",28.629999
"58","2007-03-27",28.469999
"59","2007-03-28",28.219999
"60","2007-03-29",28.469999
"61","2007-03-30",28.33
"62","2007-04-02",28.200001
"63","2007-04-03",28.23
"64","2007-04-04",28.110001
"65","2007-04-05",28.219999
"66","2007-04-09",28.190001
"67","2007-04-10",28.33
"68","2007-04-11",28.26
"69","2007-04-12",28.389999
"70","2007-04-13",28.459999
"71","2007-04-16",29.18
"72","2007-04-17",29.17
"73","2007-04-18",29.24
"74","2007-04-19",29.120001
"75","2007-04-20",29.4
"76","2007-04-23",29.24
"77","2007-04-24",28.99
"78","2007-04-25",27.99
"79","2007-04-26",27.790001
"80","2007-04-27",28.01
"81","2007-04-30",27.959999
"82","2007-05-01",28.200001
"83","2007-05-02",28.34
"84","2007-05-03",28.68
"85","2007-05-04",28.860001
"86","2007-05-07",28.66
"87","2007-05-08",28.6
"88","2007-05-09",28.58
"89","2007-05-10",28.59
"90","2007-05-11",28.559999
"91","2007-05-14",28.719999
"92","2007-05-15",28.65
"93","2007-05-16",28.66
"94","2007-05-17",28.629999
"95","2007-05-18",28.620001
"96","2007-05-21",29.059999
"97","2007-05-22",29.129999
"98","2007-05-23",29.18
"99","2007-05-24",29.02
"100","2007-05-25",29.08
"101","2007-05-29",29.200001
"102","2007-05-30",29.299999
"103","2007-05-31",29.4
"104","2007-06-01",29.299999
"105","2007-06-04",29.48
"106","2007-06-05",29.040001
"107","2007-06-06",28.99
"108","2007-06-07",28.49
"109","2007-06-08",28.83
"110","2007-06-11",28.77
"111","2007-06-12",28.610001
"112","2007-06-13",28.879999
"113","2007-06-14",29.059999
"114","2007-06-15",29.200001
"115","2007-06-18",29.190001
"116","2007-06-19",29.27
"117","2007-06-20",28.99
"118","2007-06-21",29.129999
"119","2007-06-22",28.75
"120","2007-06-25",28.700001
"121","2007-06-26",28.5
"122","2007-06-27",28.200001
"123","2007-06-28",28.33
"124","2007-06-29",27.879999
"125","2007-07-02",28.200001
"126","2007-07-03",28.17
"127","2007-07-05",28.190001
"128","2007-07-06",28.299999
"129","2007-07-09",27.91
"130","2007-07-10",27.469999
"131","2007-07-11",27.5
"132","2007-07-12",28
"133","2007-07-13",28.030001
"134","2007-07-16",27.93
"135","2007-07-17",27.799999
"136","2007-07-18",27.41
"137","2007-07-19",27.4
"138","2007-07-20",27.18
"139","2007-07-23",27.18
"140","2007-07-24",26.75
"141","2007-07-25",28
"142","2007-07-26",27.67
"143","2007-07-27",27.27
"144","2007-07-30",27.309999
"145","2007-07-31",27.58
"146","2007-08-01",28.200001
"147","2007-08-02",28.549999
"148","2007-08-03",28.35
"149","2007-08-06",29.25
"150","2007-08-07",29.620001
"151","2007-08-08",30.74
"152","2007-08-09",31.08
"153","2007-08-10",29.26
"154","2007-08-13",29.450001
"155","2007-08-14",28.690001
"156","2007-08-15",29.16
"157","2007-08-16",29.25
"158","2007-08-17",29.690001
"159","2007-08-20",30.23
"160","2007-08-21",30.540001
"161","2007-08-22",30.780001
"162","2007-08-23",30.32
"163","2007-08-24",30.15
"164","2007-08-27",30.25
"165","2007-08-28",29.51
"166","2007-08-29",29.559999
"167","2007-08-30",29.52
"168","2007-08-31",29.530001
"169","2007-09-04",30.23
"170","2007-09-05",29.77
"171","2007-09-06",29.870001
"172","2007-09-07",29.67
"173","2007-09-10",29.57
"174","2007-09-11",29.57
"175","2007-09-12",29.65
"176","2007-09-13",29.75
"177","2007-09-14",29.940001
"178","2007-09-17",29.57
"179","2007-09-18",29.77
"180","2007-09-19",29.639999
"181","2007-09-20",29.25
"182","2007-09-21",29.360001
"183","2007-09-24",29.379999
"184","2007-09-25",29.17
"185","2007-09-26",29.24
"186","2007-09-27",29.629999
"187","2007-09-28",28.969999
"188","2007-10-01",28.75
"189","2007-10-02",28.959999
"190","2007-10-03",29
"191","2007-10-04",29.120001
"192","2007-10-05",29.209999
"193","2007-10-08",28.9
"194","2007-10-09",28.889999
"195","2007-10-10",28.860001
"196","2007-10-11",28.860001
"197","2007-10-12",29.15
"198","2007-10-15",28.9
"199","2007-10-16",28.65
"200","2007-10-17",28.48
"201","2007-10-18",27.940001
"202","2007-10-19",27.450001
"203","2007-10-22",27.6
"204","2007-10-23",27.030001
"205","2007-10-24",25.969999
"206","2007-10-25",25.620001
"207","2007-10-26",26.440001
"208","2007-10-29",26.200001
