"","date","XIN"
"1","2007-12-12",16.799999
"2","2007-12-13",16.65
"3","2007-12-14",15.4
"4","2007-12-17",13.66
"5","2007-12-18",13.4
"6","2007-12-19",12.7
"7","2007-12-20",14.1
"8","2007-12-21",14.4
"9","2007-12-24",14.69
"10","2007-12-26",14.23
"11","2007-12-27",13.75
"12","2007-12-28",14.3
"13","2007-12-31",14.23
"14","2008-01-02",14.11
"15","2008-01-03",14.16
"16","2008-01-04",13.5
"17","2008-01-07",13.45
"18","2008-01-08",13.3
"19","2008-01-09",12.73
"20","2008-01-10",12.15
"21","2008-01-11",11.4
"22","2008-01-14",10.7
"23","2008-01-15",9.3
"24","2008-01-16",9.9
"25","2008-01-17",9.05
"26","2008-01-18",8.76
"27","2008-01-22",8.31
"28","2008-01-23",9.02
"29","2008-01-24",9.39
"30","2008-01-25",10.35
"31","2008-01-28",11.45
"32","2008-01-29",12.69
"33","2008-01-30",13.1
"34","2008-01-31",12.95
"35","2008-02-01",13.65
"36","2008-02-04",13.13
"37","2008-02-05",12.5
"38","2008-02-06",12.4
"39","2008-02-07",12.82
"40","2008-02-08",13
"41","2008-02-11",12.95
"42","2008-02-12",13
"43","2008-02-13",13.29
"44","2008-02-14",12.99
"45","2008-02-15",11.85
"46","2008-02-19",11.4
"47","2008-02-20",10.99
"48","2008-02-21",11.4
"49","2008-02-22",12.35
"50","2008-02-25",12.35
"51","2008-02-26",11.86
"52","2008-02-27",12.07
"53","2008-02-28",12.11
"54","2008-02-29",12.3
"55","2008-03-03",11.65
"56","2008-03-04",8.91
"57","2008-03-05",8.2
"58","2008-03-06",8.85
"59","2008-03-07",9.92
"60","2008-03-10",8.48
"61","2008-03-11",8.4
"62","2008-03-12",8.34
"63","2008-03-13",8.05
"64","2008-03-14",8.11
"65","2008-03-17",7.05
"66","2008-03-18",7.02
"67","2008-03-19",6.5
"68","2008-03-20",6.95
"69","2008-03-24",7.14
"70","2008-03-25",6.89
"71","2008-03-26",6.65
"72","2008-03-27",7.2
"73","2008-03-28",7.75
"74","2008-03-31",8.39
"75","2008-04-01",8.45
"76","2008-04-02",9
"77","2008-04-03",9.9
"78","2008-04-04",10.9
"79","2008-04-07",10.72
"80","2008-04-08",10.25
"81","2008-04-09",10.09
"82","2008-04-10",10.27
"83","2008-04-11",9.59
"84","2008-04-14",8.76
"85","2008-04-15",8.75
"86","2008-04-16",9.52
"87","2008-04-17",10.11
"88","2008-04-18",10
"89","2008-04-21",9.32
"90","2008-04-22",9.3
"91","2008-04-23",9.35
"92","2008-04-24",9.22
"93","2008-04-25",9
"94","2008-04-28",8.87
"95","2008-04-29",8.7
"96","2008-04-30",9.03
"97","2008-05-01",9.07
"98","2008-05-02",8.88
"99","2008-05-05",8.79
"100","2008-05-06",8.84
"101","2008-05-07",8.69
"102","2008-05-08",8.63
"103","2008-05-09",8.48
"104","2008-05-12",8.48
"105","2008-05-13",8.4
"106","2008-05-14",8.62
"107","2008-05-15",8.75
"108","2008-05-16",8.73
"109","2008-05-19",9.04
"110","2008-05-20",9.2
"111","2008-05-21",9.1
"112","2008-05-22",7.95
"113","2008-05-23",8.32
"114","2008-05-27",8.29
"115","2008-05-28",8.92
"116","2008-05-29",8.8
"117","2008-05-30",8.85
"118","2008-06-02",8.85
"119","2008-06-03",8.66
"120","2008-06-04",8.09
"121","2008-06-05",8.2
"122","2008-06-06",7.59
"123","2008-06-09",7.52
"124","2008-06-10",7.52
"125","2008-06-11",7.16
"126","2008-06-12",7.05
"127","2008-06-13",6.92
"128","2008-06-16",7.24
"129","2008-06-17",7.29
"130","2008-06-18",7.05
"131","2008-06-19",7.01
"132","2008-06-20",6.81
"133","2008-06-23",6.9
"134","2008-06-24",6.91
"135","2008-06-25",6.91
"136","2008-06-26",6.6
"137","2008-06-27",6.27
"138","2008-06-30",6.07
"139","2008-07-01",5.95
"140","2008-07-02",5.72
"141","2008-07-03",5.4
"142","2008-07-07",5.35
"143","2008-07-08",5.81
"144","2008-07-09",5.55
"145","2008-07-10",5.52
"146","2008-07-11",5.64
"147","2008-07-14",5.28
"148","2008-07-15",5.27
"149","2008-07-16",5.67
"150","2008-07-17",5.65
"151","2008-07-18",6.16
"152","2008-07-21",6.2
"153","2008-07-22",6.35
"154","2008-07-23",6.46
"155","2008-07-24",5.8
"156","2008-07-25",5.86
"157","2008-07-28",5.63
"158","2008-07-29",5.68
"159","2008-07-30",5.7
"160","2008-07-31",5.61
"161","2008-08-01",5.69
"162","2008-08-04",5.51
"163","2008-08-05",5.64
"164","2008-08-06",5.77
"165","2008-08-07",5.6
"166","2008-08-08",5.56
"167","2008-08-11",5.68
"168","2008-08-12",5.98
"169","2008-08-13",5.76
"170","2008-08-14",6.5
"171","2008-08-15",6.63
"172","2008-08-18",6.45
"173","2008-08-19",6.05
"174","2008-08-20",6.14
"175","2008-08-21",6.32
"176","2008-08-22",6.55
"177","2008-08-25",6.42
"178","2008-08-26",6.38
"179","2008-08-27",6.39
"180","2008-08-28",6.72
"181","2008-08-29",6.92
"182","2008-09-02",6.44
"183","2008-09-03",6.06
"184","2008-09-04",5.5
"185","2008-09-05",5.65
"186","2008-09-08",5.09
"187","2008-09-09",4.44
"188","2008-09-10",4.3
"189","2008-09-11",4.7
"190","2008-09-12",4.14
"191","2008-09-15",3.61
"192","2008-09-16",3.65
"193","2008-09-17",3.73
"194","2008-09-18",4.27
"195","2008-09-19",4.8
"196","2008-09-22",4.62
"197","2008-09-23",4.6
"198","2008-09-24",4.19
"199","2008-09-25",4.39
"200","2008-09-26",4.05
"201","2008-09-29",2.89
"202","2008-09-30",3.45
"203","2008-10-01",3.42
"204","2008-10-02",3.25
"205","2008-10-03",3
"206","2008-10-06",2.37
"207","2008-10-07",2.1
"208","2008-10-08",1.55
"209","2008-10-09",1.79
"210","2008-10-10",2.12
"211","2008-10-13",2.55
"212","2008-10-14",2.37
"213","2008-10-15",2.03
"214","2008-10-16",2.01
"215","2008-10-17",2.2
"216","2008-10-20",2.5
"217","2008-10-21",2.73
"218","2008-10-22",2.4
"219","2008-10-23",2.08
"220","2008-10-24",2.1
"221","2008-10-27",2.12
"222","2008-10-28",2.2
"223","2008-10-29",2.3
"224","2008-10-30",2.42
"225","2008-10-31",2.53
"226","2008-11-03",2.6
"227","2008-11-04",2.67
"228","2008-11-05",2.42
"229","2008-11-06",2.2
"230","2008-11-07",2.39
"231","2008-11-10",2.75
"232","2008-11-11",2.55
"233","2008-11-12",2.15
"234","2008-11-13",2.45
"235","2008-11-14",2.38
"236","2008-11-17",2.28
"237","2008-11-18",2.28
"238","2008-11-19",2.17
"239","2008-11-20",1.75
"240","2008-11-21",1.78
"241","2008-11-24",2.02
"242","2008-11-25",1.93
"243","2008-11-26",2.4
"244","2008-11-28",2.39
"245","2008-12-01",2
"246","2008-12-02",2.11
"247","2008-12-03",2.48
"248","2008-12-04",2.41
"249","2008-12-05",2.47
"250","2008-12-08",2.49
"251","2008-12-09",2.3
"252","2008-12-10",2.61
"253","2008-12-11",2.43
"254","2008-12-12",2.36
"255","2008-12-15",2.25
"256","2008-12-16",2.27
"257","2008-12-17",2.67
"258","2008-12-18",2.44
"259","2008-12-19",2.49
"260","2008-12-22",2.3
"261","2008-12-23",2.3
"262","2008-12-24",2.27
"263","2008-12-26",2.34
"264","2008-12-29",2.37
"265","2008-12-30",2.5
"266","2008-12-31",2.44
"267","2009-01-02",2.81
"268","2009-01-05",3.06
"269","2009-01-06",3.84
"270","2009-01-07",3.54
"271","2009-01-08",3.96
"272","2009-01-09",3.75
"273","2009-01-12",3.36
"274","2009-01-13",3.4
"275","2009-01-14",3.16
"276","2009-01-15",3.15
"277","2009-01-16",3.22
"278","2009-01-20",2.9
"279","2009-01-21",2.87
"280","2009-01-22",2.98
"281","2009-01-23",3.13
"282","2009-01-26",3.35
"283","2009-01-27",3.42
"284","2009-01-28",3.7
"285","2009-01-29",3.47
"286","2009-01-30",3.39
"287","2009-02-02",3.35
"288","2009-02-03",3.59
"289","2009-02-04",3.8
"290","2009-02-05",3.98
"291","2009-02-06",4.22
"292","2009-02-09",4.06
"293","2009-02-10",3.89
"294","2009-02-11",3.91
"295","2009-02-12",3.9
"296","2009-02-13",4.02
"297","2009-02-17",3.99
"298","2009-02-18",3.96
"299","2009-02-19",4
"300","2009-02-20",4
"301","2009-02-23",4.03
"302","2009-02-24",4
"303","2009-02-25",3.99
"304","2009-02-26",4.05
"305","2009-02-27",3.97
"306","2009-03-02",3.89
"307","2009-03-03",3.37
"308","2009-03-04",3.78
"309","2009-03-05",3.72
"310","2009-03-06",3.79
"311","2009-03-09",3.94
"312","2009-03-10",4.02
"313","2009-03-11",4.06
"314","2009-03-12",4.4
"315","2009-03-13",4.67
"316","2009-03-16",4.86
"317","2009-03-17",4.97
"318","2009-03-18",5.23
"319","2009-03-19",5.18
"320","2009-03-20",4.85
"321","2009-03-23",5.3
"322","2009-03-24",5.23
"323","2009-03-25",4.99
"324","2009-03-26",5
"325","2009-03-27",4.28
"326","2009-03-30",3.75
"327","2009-03-31",3.74
"328","2009-04-01",3.8
"329","2009-04-02",4.27
"330","2009-04-03",4.52
"331","2009-04-06",4.64
"332","2009-04-07",4.22
"333","2009-04-08",4.45
"334","2009-04-09",4.54
"335","2009-04-13",4.49
"336","2009-04-14",4.41
"337","2009-04-15",4.68
"338","2009-04-16",4.81
"339","2009-04-17",4.96
"340","2009-04-20",4.29
"341","2009-04-21",4.5
"342","2009-04-22",4.55
"343","2009-04-23",4.59
"344","2009-04-24",4.86
"345","2009-04-27",4.63
"346","2009-04-28",4.66
"347","2009-04-29",4.7
"348","2009-04-30",4.72
"349","2009-05-01",4.92
"350","2009-05-04",5.4
"351","2009-05-05",5.11
"352","2009-05-06",5.15
"353","2009-05-07",4.72
"354","2009-05-08",5.27
"355","2009-05-11",4.99
"356","2009-05-12",4.84
"357","2009-05-13",4.67
"358","2009-05-14",4.76
"359","2009-05-15",5
"360","2009-05-18",5.05
"361","2009-05-19",5.27
"362","2009-05-20",4.99
"363","2009-05-21",4.96
