"","date","MPW"
"1","2007-01-03",15.15
"2","2007-01-04",15.04
"3","2007-01-05",15
"4","2007-01-08",14.9
"5","2007-01-09",14.65
"6","2007-01-10",14.53
"7","2007-01-11",14.93
"8","2007-01-12",14.9
"9","2007-01-16",15.2
"10","2007-01-17",15.24
"11","2007-01-18",15.13
"12","2007-01-19",15.77
"13","2007-01-22",15.84
"14","2007-01-23",16
"15","2007-01-24",15.94
"16","2007-01-25",15.94
"17","2007-01-26",15.89
"18","2007-01-29",15.95
"19","2007-01-30",15.66
"20","2007-01-31",15.63
"21","2007-02-01",16.219999
"22","2007-02-02",15.97
"23","2007-02-05",15.89
"24","2007-02-06",16.200001
"25","2007-02-07",16.5
"26","2007-02-08",16.4
"27","2007-02-09",15.81
"28","2007-02-12",15.81
"29","2007-02-13",16.200001
"30","2007-02-14",16.01
"31","2007-02-15",16.07
"32","2007-02-16",15.96
"33","2007-02-20",16.08
"34","2007-02-21",16.030001
"35","2007-02-22",15.76
"36","2007-02-23",15.61
"37","2007-02-26",15.59
"38","2007-02-27",15.39
"39","2007-02-28",15.36
"40","2007-03-01",15.1
"41","2007-03-02",14.98
"42","2007-03-05",14.59
"43","2007-03-06",14.9
"44","2007-03-07",14.92
"45","2007-03-08",14.87
"46","2007-03-09",15.18
"47","2007-03-12",15.11
"48","2007-03-13",14.75
"49","2007-03-14",14.83
"50","2007-03-15",14.74
"51","2007-03-16",14.51
"52","2007-03-19",15.11
"53","2007-03-20",15.26
"54","2007-03-21",15.28
"55","2007-03-22",15.25
"56","2007-03-23",15.17
"57","2007-03-26",15.13
"58","2007-03-27",14.84
"59","2007-03-28",14.9
"60","2007-03-29",14.95
"61","2007-03-30",14.69
"62","2007-04-02",14.94
"63","2007-04-03",15.18
"64","2007-04-04",15.04
"65","2007-04-05",14.98
"66","2007-04-09",14.8
"67","2007-04-10",14.84
"68","2007-04-11",14.6
"69","2007-04-12",14.59
"70","2007-04-13",14.74
"71","2007-04-16",14.95
"72","2007-04-17",14.98
"73","2007-04-18",14.86
"74","2007-04-19",14.77
"75","2007-04-20",14.85
"76","2007-04-23",14.96
"77","2007-04-24",14.85
"78","2007-04-25",14.67
"79","2007-04-26",14.53
"80","2007-04-27",14.4
"81","2007-04-30",14.24
"82","2007-05-01",14.21
"83","2007-05-02",14.37
"84","2007-05-03",14.06
"85","2007-05-04",14.05
"86","2007-05-07",14.01
"87","2007-05-08",13.79
"88","2007-05-09",13.71
"89","2007-05-10",13.81
"90","2007-05-11",13.49
"91","2007-05-14",12.81
"92","2007-05-15",12.45
"93","2007-05-16",12.53
"94","2007-05-17",12.71
"95","2007-05-18",12.51
