"","date","TCO"
"1","2007-01-03",51.040001
"2","2007-01-04",51.380001
"3","2007-01-05",50.330002
"4","2007-01-08",50.540001
"5","2007-01-09",51.5
"6","2007-01-10",52.5
"7","2007-01-11",53.41
"8","2007-01-12",54.150002
"9","2007-01-16",55.060001
"10","2007-01-17",55.02
"11","2007-01-18",55.139999
"12","2007-01-19",56.029999
"13","2007-01-22",56.060001
"14","2007-01-23",56.130001
"15","2007-01-24",56.25
"16","2007-01-25",57.209999
"17","2007-01-26",57.540001
"18","2007-01-29",57.240002
"19","2007-01-30",57.689999
"20","2007-01-31",58.27
"21","2007-02-01",58.880001
"22","2007-02-02",59.380001
"23","2007-02-05",59.259998
"24","2007-02-06",60.5
"25","2007-02-07",61.990002
"26","2007-02-08",62.959999
"27","2007-02-09",62.290001
"28","2007-02-12",61.34
"29","2007-02-13",62.68
"30","2007-02-14",62.049999
"31","2007-02-15",63.220001
"32","2007-02-16",62.630001
"33","2007-02-20",63.099998
"34","2007-02-21",62.82
"35","2007-02-22",62.759998
"36","2007-02-23",61.540001
"37","2007-02-26",60.970001
"38","2007-02-27",59.470001
"39","2007-02-28",59.470001
"40","2007-03-01",58.880001
"41","2007-03-02",57.470001
"42","2007-03-05",55.02
"43","2007-03-06",57.400002
"44","2007-03-07",55.900002
"45","2007-03-08",57.919998
"46","2007-03-09",58.599998
"47","2007-03-12",59.470001
"48","2007-03-13",58.139999
"49","2007-03-14",57.810001
"50","2007-03-15",58.290001
"51","2007-03-16",57.360001
"52","2007-03-19",58.16
"53","2007-03-20",57.669998
"54","2007-03-21",58.459999
"55","2007-03-22",58.52
"56","2007-03-23",58.709999
"57","2007-03-26",57.259998
"58","2007-03-27",56.299999
"59","2007-03-28",55.73
"60","2007-03-29",56.029999
"61","2007-03-30",57.990002
"62","2007-04-02",58.950001
"63","2007-04-03",59.419998
"64","2007-04-04",58.700001
"65","2007-04-05",58.580002
"66","2007-04-09",59.169998
"67","2007-04-10",59.82
"68","2007-04-11",58.25
"69","2007-04-12",58.119999
"70","2007-04-13",58.560001
"71","2007-04-16",58.279999
"72","2007-04-17",59.060001
"73","2007-04-18",58.41
"74","2007-04-19",57.98
"75","2007-04-20",58.02
