"","date","PTAC"
"1","2020-01-13",9.9
"2","2020-01-14",9.9
"3","2020-01-15",9.9
"4","2020-01-16",10.025
"5","2020-01-17",10.025
"6","2020-01-21",9.94
"7","2020-01-22",9.94
"8","2020-01-23",9.95
"9","2020-01-24",9.95
"10","2020-01-27",9.9
"11","2020-01-28",9.92
"12","2020-01-29",9.92
"13","2020-01-30",9.92
"14","2020-01-31",9.92
"15","2020-02-03",9.92
"16","2020-02-04",9.9
"17","2020-02-05",9.92
"18","2020-02-06",10
"19","2020-02-07",10
"20","2020-02-10",10
"21","2020-02-11",10
"22","2020-02-12",10.05
"23","2020-02-13",9.96
"24","2020-02-14",9.96
"25","2020-02-18",10.08
"26","2020-02-19",10.09
"27","2020-02-20",10.071
"28","2020-02-21",10.071
"29","2020-02-24",10.071
"30","2020-02-25",10.071
"31","2020-02-26",10.071
"32","2020-02-27",10.071
"33","2020-02-28",10.071
"34","2020-03-02",10.071
"35","2020-03-03",10.071
"36","2020-03-04",9.97
"37","2020-03-05",9.97
"38","2020-03-06",9.97
"39","2020-03-09",9.9
"40","2020-03-10",9.95
"41","2020-03-11",10.05
"42","2020-03-12",9.9
"43","2020-03-13",9.89
"44","2020-03-16",9.6
"45","2020-03-17",9.53
"46","2020-03-18",9.29
"47","2020-03-19",9.26
"48","2020-03-20",9.27
"49","2020-03-23",9.4
"50","2020-03-24",9.47
"51","2020-03-25",9.65
"52","2020-03-26",9.65
"53","2020-03-27",9.66
"54","2020-03-30",9.66
"55","2020-03-31",9.66
"56","2020-04-01",9.85
"57","2020-04-02",9.85
"58","2020-04-03",9.825
"59","2020-04-06",9.825
"60","2020-04-07",9.825
"61","2020-04-08",9.95
"62","2020-04-09",9.95
"63","2020-04-13",9.95
"64","2020-04-14",9.95
"65","2020-04-15",9.95
"66","2020-04-16",9.95
"67","2020-04-17",9.85
"68","2020-04-20",9.85
"69","2020-04-21",9.85
"70","2020-04-22",9.88
"71","2020-04-23",9.85
"72","2020-04-24",9.85
"73","2020-04-27",9.76
"74","2020-04-28",9.76
"75","2020-04-29",9.76
"76","2020-04-30",9.76
"77","2020-05-01",9.76
"78","2020-05-04",9.76
"79","2020-05-05",9.76
"80","2020-05-06",9.76
"81","2020-05-07",9.9
"82","2020-05-08",9.9
"83","2020-05-11",9.9
"84","2020-05-12",9.9
"85","2020-05-13",9.9
"86","2020-05-14",9.9
"87","2020-05-15",9.9
"88","2020-05-18",9.9
"89","2020-05-19",9.8
"90","2020-05-20",9.8
"91","2020-05-21",9.8
"92","2020-05-22",9.8
"93","2020-05-26",9.8
"94","2020-05-27",9.8
"95","2020-05-28",9.8
"96","2020-05-29",9.8
"97","2020-06-01",9.8
"98","2020-06-02",9.858
"99","2020-06-03",9.85
"100","2020-06-04",9.85
"101","2020-06-05",9.88
"102","2020-06-08",9.88
"103","2020-06-09",9.85
"104","2020-06-10",9.85
"105","2020-06-11",9.75
"106","2020-06-12",9.838
"107","2020-06-15",9.84
"108","2020-06-16",9.9
"109","2020-06-17",9.92
"110","2020-06-18",9.92
"111","2020-06-19",9.96
"112","2020-06-22",9.95
"113","2020-06-23",10
"114","2020-06-24",10
"115","2020-06-25",10
"116","2020-06-26",10.01
"117","2020-06-29",10.16
"118","2020-06-30",10.15
"119","2020-07-01",10.11
"120","2020-07-02",10.165
"121","2020-07-06",10.07
"122","2020-07-07",10.247
"123","2020-07-08",10.36
"124","2020-07-09",10.35
"125","2020-07-10",10.515
"126","2020-07-13",10.6
"127","2020-07-14",10.6
"128","2020-07-15",10.75
"129","2020-07-16",10.84
"130","2020-07-17",10.84
"131","2020-07-20",10.8
"132","2020-07-21",10.84
"133","2020-07-22",10.854
"134","2020-07-23",10.85
