"","date","MRO"
"1","2007-01-03",26.052137
"2","2007-01-04",25.12458
"3","2007-01-05",25.625641
"4","2007-01-08",25.870205
"5","2007-01-09",25.592833
"6","2007-01-10",25.321424
"7","2007-01-11",24.882998
"8","2007-01-12",25.879152
"9","2007-01-16",25.401953
"10","2007-01-17",25.655464
"11","2007-01-18",25.404936
"12","2007-01-19",25.998453
"13","2007-01-22",26.093893
"14","2007-01-23",26.908115
"15","2007-01-24",27.066187
"16","2007-01-25",26.502495
"17","2007-01-26",26.490564
"18","2007-01-29",26.007401
"19","2007-01-30",26.636707
"20","2007-01-31",26.943905
"21","2007-02-01",27.113907
"22","2007-02-02",26.729164
"23","2007-02-05",26.899168
"24","2007-02-06",26.702322
"25","2007-02-07",26.618813
"26","2007-02-08",27.492685
"27","2007-02-09",27.179522
"28","2007-02-12",26.848465
"29","2007-02-13",27.555317
"30","2007-02-14",27.677601
"31","2007-02-15",27.221277
"32","2007-02-16",27.149698
"33","2007-02-20",26.964783
"34","2007-02-21",27.382332
"35","2007-02-22",27.474791
"36","2007-02-23",27.614967
"37","2007-02-26",27.662687
"38","2007-02-27",26.776884
"39","2007-02-28",27.05724
"40","2007-03-01",27.179522
"41","2007-03-02",26.615829
"42","2007-03-05",26.594952
"43","2007-03-06",27.155663
"44","2007-03-07",27.743216
"45","2007-03-08",28.080238
"46","2007-03-09",28.253223
"47","2007-03-12",27.89234
"48","2007-03-13",27.391279
"49","2007-03-14",27.859533
"50","2007-03-15",28.005674
"51","2007-03-16",27.823742
"52","2007-03-19",28.482876
"53","2007-03-20",29.2285
"54","2007-03-21",29.59833
"55","2007-03-22",30.263428
"56","2007-03-23",30.15904
"57","2007-03-26",30.58852
"58","2007-03-27",30.543783
"59","2007-03-28",30.510975
"60","2007-03-29",30.379745
"61","2007-03-30",29.476048
"62","2007-04-02",29.962194
"63","2007-04-03",30.03974
"64","2007-04-04",30.421499
"65","2007-04-05",30.657118
"66","2007-04-09",30.400623
"67","2007-04-10",30.230619
"68","2007-04-11",30.227638
