"","date","ENLV"
"1","2014-07-31",336
"2","2014-08-01",276
"3","2014-08-04",289.600006
"4","2014-08-05",292
"5","2014-08-06",298.399994
"6","2014-08-07",302.799988
"7","2014-08-08",309.600006
"8","2014-08-11",308
"9","2014-08-12",302
"10","2014-08-13",297.200012
"11","2014-08-14",292
"12","2014-08-15",292.399994
"13","2014-08-18",297.200012
"14","2014-08-19",293.600006
"15","2014-08-20",300
"16","2014-08-21",303.600006
"17","2014-08-22",307.200012
"18","2014-08-25",347.200012
"19","2014-08-26",371.600006
"20","2014-08-27",391.600006
"21","2014-08-28",391.600006
"22","2014-08-29",369.600006
"23","2014-09-02",348.399994
"24","2014-09-03",354.799988
"25","2014-09-04",338
"26","2014-09-05",342
"27","2014-09-08",356
"28","2014-09-09",364.799988
"29","2014-09-10",345.600006
"30","2014-09-11",352
"31","2014-09-12",352
"32","2014-09-15",344
"33","2014-09-16",340
"34","2014-09-17",344
"35","2014-09-18",343.200012
"36","2014-09-19",347.600006
"37","2014-09-22",329.600006
"38","2014-09-23",326.399994
"39","2014-09-24",313.600006
"40","2014-09-25",316.399994
"41","2014-09-26",302.799988
"42","2014-09-29",308
"43","2014-09-30",290.799988
"44","2014-10-01",297.200012
"45","2014-10-02",281.200012
"46","2014-10-03",280.399994
"47","2014-10-06",280.799988
"48","2014-10-07",296
"49","2014-10-08",290
"50","2014-10-09",266.799988
"51","2014-10-10",246
"52","2014-10-13",240.800003
"53","2014-10-14",220.399994
"54","2014-10-15",210
"55","2014-10-16",228
"56","2014-10-17",230.399994
"57","2014-10-20",241.600006
"58","2014-10-21",253.600006
"59","2014-10-22",241.199997
"60","2014-10-23",225.199997
"61","2014-10-24",235.199997
"62","2014-10-27",236
"63","2014-10-28",244.800003
"64","2014-10-29",246.399994
"65","2014-10-30",222
"66","2014-10-31",220
"67","2014-11-03",216
"68","2014-11-04",220.399994
"69","2014-11-05",223.600006
"70","2014-11-06",208
"71","2014-11-07",214
"72","2014-11-10",212
"73","2014-11-11",210
"74","2014-11-12",210
"75","2014-11-13",206
"76","2014-11-14",204
"77","2014-11-17",199.199997
"78","2014-11-18",188.399994
"79","2014-11-19",186
"80","2014-11-20",189.199997
"81","2014-11-21",182
"82","2014-11-24",181.199997
"83","2014-11-25",188
"84","2014-11-26",238
"85","2014-11-28",276
"86","2014-12-01",311.200012
"87","2014-12-02",293.600006
"88","2014-12-03",302
"89","2014-12-04",294.399994
"90","2014-12-05",287.200012
"91","2014-12-08",282.399994
"92","2014-12-09",268.399994
"93","2014-12-10",287.600006
"94","2014-12-11",290
"95","2014-12-12",268.399994
