"","date","CVAC"
"1","2020-08-14",55.900002
"2","2020-08-17",77.199997
"3","2020-08-18",65.699997
"4","2020-08-19",56.900002
"5","2020-08-20",66
"6","2020-08-21",67.199997
"7","2020-08-24",62.650002
"8","2020-08-25",63.25
"9","2020-08-26",59.5
"10","2020-08-27",57.709999
"11","2020-08-28",59.150002
"12","2020-08-31",55.080002
"13","2020-09-01",56.849998
"14","2020-09-02",58.459999
"15","2020-09-03",56.919998
"16","2020-09-04",63.450001
"17","2020-09-08",56.91
"18","2020-09-09",55.209999
"19","2020-09-10",54.740002
"20","2020-09-11",52.68
"21","2020-09-14",53.130001
"22","2020-09-15",53.860001
"23","2020-09-16",53.98
"24","2020-09-17",52.900002
"25","2020-09-18",52.09
"26","2020-09-21",50.080002
"27","2020-09-22",50
"28","2020-09-23",47.630001
"29","2020-09-24",43.799999
"30","2020-09-25",44.049999
"31","2020-09-28",45.759998
"32","2020-09-29",45.68
"33","2020-09-30",46.549999
"34","2020-10-01",47.09
"35","2020-10-02",47.490002
"36","2020-10-05",50.5
"37","2020-10-06",53.959999
"38","2020-10-07",56.459999
"39","2020-10-08",55.419998
"40","2020-10-09",54.200001
"41","2020-10-12",54.439999
"42","2020-10-13",54.389999
"43","2020-10-14",53.919998
"44","2020-10-15",52
"45","2020-10-16",52.439999
"46","2020-10-19",53.5
"47","2020-10-20",52.869999
"48","2020-10-21",49.130001
"49","2020-10-22",49.07
"50","2020-10-23",50.029999
"51","2020-10-26",48.66
"52","2020-10-27",49.889999
"53","2020-10-28",46.759998
"54","2020-10-29",49.599998
"55","2020-10-30",48.779999
"56","2020-11-02",47.080002
"57","2020-11-03",48.580002
"58","2020-11-04",48.880001
"59","2020-11-05",50.150002
"60","2020-11-06",50.48
"61","2020-11-09",54.66
"62","2020-11-10",61.299999
"63","2020-11-11",61.939999
"64","2020-11-12",69.690002
"65","2020-11-13",75.199997
"66","2020-11-16",85.68
"67","2020-11-17",76.489998
"68","2020-11-18",74.639999
"69","2020-11-19",75.199997
"70","2020-11-20",79.690002
"71","2020-11-23",85.059998
"72","2020-11-24",82.099998
"73","2020-11-25",81.790001
"74","2020-11-27",86
