"","date","DKL"
"1","2012-11-02",22.35
"2","2012-11-05",22.700001
"3","2012-11-06",22.5
"4","2012-11-07",22.68
"5","2012-11-08",22.24
"6","2012-11-09",22.51
"7","2012-11-12",22.059999
"8","2012-11-13",21.700001
"9","2012-11-14",21.530001
"10","2012-11-15",21.360001
"11","2012-11-16",21.24
"12","2012-11-19",21.450001
"13","2012-11-20",21.299999
"14","2012-11-21",21.450001
"15","2012-11-23",21.879999
"16","2012-11-26",22.16
"17","2012-11-27",23
"18","2012-11-28",22.9
"19","2012-11-29",22.4
"20","2012-11-30",22.450001
"21","2012-12-03",22.84
"22","2012-12-04",22.58
"23","2012-12-05",22.610001
"24","2012-12-06",22.73
"25","2012-12-07",22.75
"26","2012-12-10",22.65
"27","2012-12-11",22.370001
"28","2012-12-12",22.42
"29","2012-12-13",21.809999
"30","2012-12-14",21.799999
"31","2012-12-17",21.98
"32","2012-12-18",22.35
"33","2012-12-19",22.5
"34","2012-12-20",22.889999
"35","2012-12-21",22.24
"36","2012-12-24",23.02
"37","2012-12-26",22.66
"38","2012-12-27",22.530001
"39","2012-12-28",22.6
"40","2012-12-31",23
"41","2013-01-02",23.85
"42","2013-01-03",23.98
"43","2013-01-04",23.91
"44","2013-01-07",23.799999
"45","2013-01-08",23.33
"46","2013-01-09",23.58
"47","2013-01-10",24.360001
"48","2013-01-11",24.84
"49","2013-01-14",24.49
"50","2013-01-15",24.639999
"51","2013-01-16",24.51
"52","2013-01-17",24.65
"53","2013-01-18",24.49
"54","2013-01-22",25.139999
"55","2013-01-23",25.73
"56","2013-01-24",25.51
"57","2013-01-25",25.809999
"58","2013-01-28",25.700001
"59","2013-01-29",25.780001
"60","2013-01-30",25.469999
"61","2013-01-31",25.889999
"62","2013-02-01",26.110001
"63","2013-02-04",26.059999
"64","2013-02-05",26.969999
"65","2013-02-06",26.559999
"66","2013-02-07",27.02
"67","2013-02-08",26.889999
"68","2013-02-11",26.799999
"69","2013-02-12",27.799999
"70","2013-02-13",28.43
"71","2013-02-14",28.280001
"72","2013-02-15",27.360001
"73","2013-02-19",28.450001
"74","2013-02-20",28.360001
"75","2013-02-21",27.799999
"76","2013-02-22",27.66
"77","2013-02-25",27.65
"78","2013-02-26",27.9
"79","2013-02-27",27.809999
"80","2013-02-28",28.18
"81","2013-03-01",28.1
"82","2013-03-04",27.889999
"83","2013-03-05",28.99
"84","2013-03-06",28.76
"85","2013-03-07",28.950001
"86","2013-03-08",29.110001
"87","2013-03-11",29.32
"88","2013-03-12",29.17
"89","2013-03-13",28.77
"90","2013-03-14",28.91
"91","2013-03-15",29.4
"92","2013-03-18",30.02
"93","2013-03-19",29.73
"94","2013-03-20",29.889999
"95","2013-03-21",30.4
"96","2013-03-22",30.5
"97","2013-03-25",30.66
"98","2013-03-26",30.82
"99","2013-03-27",30.85
"100","2013-03-28",31.190001
"101","2013-04-01",31.01
"102","2013-04-02",30.27
"103","2013-04-03",28.85
"104","2013-04-04",28.9
"105","2013-04-05",28.799999
"106","2013-04-08",28.99
"107","2013-04-09",28.84
"108","2013-04-10",28.84
"109","2013-04-11",28.629999
"110","2013-04-12",28.709999
"111","2013-04-15",28.5
"112","2013-04-16",28.5
"113","2013-04-17",28.4
"114","2013-04-18",28.43
"115","2013-04-19",28.440001
"116","2013-04-22",29.15
"117","2013-04-23",29.17
"118","2013-04-24",29.209999
"119","2013-04-25",29.4
"120","2013-04-26",29.309999
"121","2013-04-29",30.309999
"122","2013-04-30",30.200001
"123","2013-05-01",31.25
"124","2013-05-02",32.400002
"125","2013-05-03",33.439999
