"","date","NIO"
"229","2019-08-09",3.13
"230","2019-08-12",3.05
"231","2019-08-13",3.15
"232","2019-08-14",2.9
"233","2019-08-15",2.82
"234","2019-08-16",2.95
"235","2019-08-19",3
"236","2019-08-20",3.16
"237","2019-08-21",3.05
"238","2019-08-22",3.02
"239","2019-08-23",2.92
"240","2019-08-26",2.9
"241","2019-08-27",2.91
"242","2019-08-28",2.84
"243","2019-08-29",2.85
"244","2019-08-30",2.86
"245","2019-09-03",2.6
"246","2019-09-04",2.75
"247","2019-09-05",2.95
"248","2019-09-06",2.98
"249","2019-09-09",3.14
"250","2019-09-10",3.32
"251","2019-09-11",3.27
"252","2019-09-12",3.19
"253","2019-09-13",3.21
"254","2019-09-16",3.12
"255","2019-09-17",3.18
"256","2019-09-18",3.08
"257","2019-09-19",3.1
"258","2019-09-20",3.04
"259","2019-09-23",2.72
"260","2019-09-24",2.17
"261","2019-09-25",2.05
"262","2019-09-26",1.96
"263","2019-09-27",1.75
"264","2019-09-30",1.56
"265","2019-10-01",1.32
"266","2019-10-02",1.59
"267","2019-10-03",1.64
"268","2019-10-04",1.62
"269","2019-10-07",1.55
"270","2019-10-08",1.7
"271","2019-10-09",1.64
"272","2019-10-10",1.53
"273","2019-10-11",1.56
"274","2019-10-14",1.53
"275","2019-10-15",1.55
"276","2019-10-16",1.46
"277","2019-10-17",1.46
"278","2019-10-18",1.52
"279","2019-10-21",1.69
"280","2019-10-22",1.58
"281","2019-10-23",1.53
"282","2019-10-24",1.54
"283","2019-10-25",1.51
"284","2019-10-28",1.48
"285","2019-10-29",1.39
"286","2019-10-30",1.43
"287","2019-10-31",1.45
"288","2019-11-01",1.52
"289","2019-11-04",1.71
"290","2019-11-05",2.34
"291","2019-11-06",2.03
"292","2019-11-07",2.07
"293","2019-11-08",1.98
"294","2019-11-11",1.86
"295","2019-11-12",1.94
"296","2019-11-13",1.9
"297","2019-11-14",1.75
"298","2019-11-15",1.8
"299","2019-11-18",1.8
"300","2019-11-19",1.83
"301","2019-11-20",1.84
"302","2019-11-21",1.98
"303","2019-11-22",1.94
"304","2019-11-25",2.05
"305","2019-11-26",2.28
"306","2019-11-27",2.46
"307","2019-11-29",2.27
"308","2019-12-02",2.44
"309","2019-12-03",2.4
"310","2019-12-04",2.42
"311","2019-12-05",2.27
"312","2019-12-06",2.26
"313","2019-12-09",2.22
"314","2019-12-10",2.27
"315","2019-12-11",2.26
"316","2019-12-12",2.27
"317","2019-12-13",2.39
"318","2019-12-16",2.48
"319","2019-12-17",2.59
"320","2019-12-18",2.63
"321","2019-12-19",2.62
"322","2019-12-20",2.69
"323","2019-12-23",2.67
"324","2019-12-24",2.53
"325","2019-12-26",2.51
"326","2019-12-27",2.42
"327","2019-12-30",3.72
"328","2019-12-31",4.02
"329","2020-01-02",3.72
"330","2020-01-03",3.83
"331","2020-01-06",3.68
"332","2020-01-07",3.24
"333","2020-01-08",3.39
"334","2020-01-09",3.46
"335","2020-01-10",3.51
