"","date","WRTC"
"1","2018-05-29",5
"2","2018-05-30",7
"3","2018-05-31",7.24
"4","2018-06-01",7.24
"5","2018-06-04",8
"6","2018-06-05",8
"7","2018-06-06",7.25
"8","2018-06-07",7.25
"9","2018-06-08",5
"10","2018-06-11",4
"11","2018-06-12",2.55
"12","2018-06-13",4
"13","2018-06-14",3.95
"14","2018-06-15",3
"15","2018-06-18",3
"16","2018-06-19",3.15
"17","2018-06-20",2.9
"18","2018-06-21",3.25
"19","2018-06-22",3.25
"20","2018-06-25",3.5
"21","2018-06-26",3.2
"22","2018-06-27",3.5
"23","2018-06-28",3.5
"24","2018-06-29",3.5
"25","2018-07-02",3.75
"26","2018-07-03",3.75
"27","2018-07-05",3.4
"28","2018-07-06",3
"29","2018-07-09",3
"30","2018-07-10",2.95
"31","2018-07-11",3.25
"32","2018-07-12",3.1
"33","2018-07-13",3
"34","2018-07-16",3
"35","2018-07-17",2.75
"36","2018-07-18",2.75
"37","2018-07-19",2.75
"38","2018-07-20",2.6
"39","2018-07-23",2.5
"40","2018-07-24",2.4
"41","2018-07-25",2.5
"42","2018-07-26",2.6
"43","2018-07-27",2.6
"44","2018-07-30",2.35
"45","2018-07-31",2.2
"46","2018-08-01",2.1
"47","2018-08-02",2.5
"48","2018-08-03",2.5
"49","2018-08-06",2.5
"50","2018-08-07",2.5
"51","2018-08-08",2.5
"52","2018-08-09",2.5
"53","2018-08-10",2.5
"54","2018-08-13",3
"55","2018-08-14",3.4
"56","2018-08-15",3.38
"57","2018-08-16",3.35
"58","2018-08-17",3.3
"59","2018-08-20",3.5
"60","2018-08-21",4.25
"61","2018-08-22",4.65
"62","2018-08-23",5.05
"63","2018-08-24",5.5
"64","2018-08-27",5
"65","2018-08-28",5
"66","2018-08-29",3.9
"67","2018-08-30",4.55
"68","2018-08-31",4.44
"69","2018-09-04",4.4
"70","2018-09-05",4.23
"71","2018-09-06",3.85
"72","2018-09-07",4
"73","2018-09-10",4
"74","2018-09-11",3.9
"75","2018-09-12",3.75
"76","2018-09-13",3.61
"77","2018-09-14",3.7
"78","2018-09-17",3.5
"79","2018-09-18",3.2
"80","2018-09-19",3.29
"81","2018-09-20",3.01
"82","2018-09-21",3.4
"83","2018-09-24",3.35
"84","2018-09-25",3.5
"85","2018-09-26",3.81
"86","2018-09-27",3.81
"87","2018-09-28",3.9
"88","2018-10-01",3.9
"89","2018-10-02",4
"90","2018-10-03",4.6
"91","2018-10-04",4.65
"92","2018-10-05",4.75
"93","2018-10-08",4.79
"94","2018-10-09",4.8
"95","2018-10-10",4.4
"96","2018-10-11",4.4
"97","2018-10-12",4.75
"98","2018-10-15",5.1
"99","2018-10-16",5.1
"100","2018-10-17",4.85
"101","2018-10-18",4.9
"102","2018-10-19",5.25
"103","2018-10-22",4.875
"104","2018-10-23",4.87
"105","2018-10-24",4.92
"106","2018-10-25",4.92
"107","2018-10-26",5
"108","2018-10-29",3.8
"109","2018-10-30",3.8
"110","2018-10-31",3.59
"111","2018-11-01",3.95
"112","2018-11-02",4
"113","2018-11-05",3.85
"114","2018-11-06",3.85
"115","2018-11-07",3.7
"116","2018-11-08",3.9
"117","2018-11-09",3.85
"118","2018-11-12",3.8
"119","2018-11-13",3.61
"120","2018-11-14",3.7
"121","2018-11-15",4.1
"122","2018-11-16",4.05
"123","2018-11-19",4
"124","2018-11-20",3.99
"125","2018-11-21",4.2
"126","2018-11-23",4.05
"127","2018-11-26",3.89
"128","2018-11-27",3.82
"129","2018-11-28",4.14
"130","2018-11-29",4.25
"131","2018-11-30",4.5
"132","2018-12-03",4.9
"133","2018-12-04",4.75
"134","2018-12-06",3.947
"135","2018-12-07",3.77
"136","2018-12-10",3.69
"137","2018-12-11",3.28
"138","2018-12-12",3.35
"139","2018-12-13",3.21
"140","2018-12-14",3.19
"141","2018-12-17",3.205
"142","2018-12-18",3.11
"143","2018-12-19",3.18
"144","2018-12-20",3.156
"145","2018-12-21",3.05
"146","2018-12-24",2.903
"147","2018-12-26",3.18
"148","2018-12-27",3.16
"149","2018-12-28",3.2
"150","2018-12-31",3.15
"151","2019-01-02",3.24
"152","2019-01-03",3.25
"153","2019-01-04",3.25
"154","2019-01-07",3.12
"155","2019-01-08",3.05
"156","2019-01-09",3.15
"157","2019-01-10",3.1
"158","2019-01-11",3.244
"159","2019-01-14",3.29
"160","2019-01-15",3.05
"161","2019-01-16",3.225
"162","2019-01-17",3.43
"163","2019-01-18",3.643
"164","2019-01-22",3.6
"165","2019-01-23",3.5
"166","2019-01-24",3.6
"167","2019-01-25",3.72
"168","2019-01-28",3.43
"169","2019-01-29",3.575
"170","2019-01-30",3.35
"171","2019-01-31",3.64
"172","2019-02-01",3.65
"173","2019-02-04",4.05
