"","date","STG"
"1","2018-03-23",11.1
"2","2018-03-26",11
"3","2018-03-27",10.69
"4","2018-03-28",9.57
"5","2018-03-29",8.3
"6","2018-04-02",7.35
"7","2018-04-03",8.36
"8","2018-04-04",8.21
"9","2018-04-05",8.11
"10","2018-04-06",8
"11","2018-04-09",8
"12","2018-04-10",7.91
"13","2018-04-11",7.82
"14","2018-04-12",7.39
"15","2018-04-13",7.33
"16","2018-04-16",7.14
"17","2018-04-17",7.54
"18","2018-04-18",8
"19","2018-04-19",7.78
"20","2018-04-20",8.01
"21","2018-04-23",7.85
"22","2018-04-24",7.81
"23","2018-04-25",7.89
"24","2018-04-26",8
"25","2018-04-27",8.13
"26","2018-04-30",8.92
"27","2018-05-01",9.8
"28","2018-05-02",9.21
"29","2018-05-03",8.99
"30","2018-05-04",9.15
"31","2018-05-07",9.98
"32","2018-05-08",9.99
"33","2018-05-09",10.52
"34","2018-05-10",10.88
"35","2018-05-11",11.01
"36","2018-05-14",9.96
"37","2018-05-15",10.4
"38","2018-05-16",10.28
"39","2018-05-17",10.3
"40","2018-05-18",10.09
"41","2018-05-21",9.99
"42","2018-05-22",10.55
"43","2018-05-23",10.01
"44","2018-05-24",9.74
"45","2018-05-25",9.69
"46","2018-05-29",9.41
"47","2018-05-30",9.45
"48","2018-05-31",9.53
"49","2018-06-01",10.48
"50","2018-06-04",10.17
"51","2018-06-05",10
"52","2018-06-06",10.21
"53","2018-06-07",10.25
"54","2018-06-08",10
"55","2018-06-11",9.99
"56","2018-06-12",9.86
"57","2018-06-13",9.36
"58","2018-06-14",9.14
"59","2018-06-15",8.94
"60","2018-06-18",9
"61","2018-06-19",9.05
"62","2018-06-20",9.09
"63","2018-06-21",8.91
"64","2018-06-22",9.1
"65","2018-06-25",9.15
"66","2018-06-26",9.13
"67","2018-06-27",9.09
"68","2018-06-28",9.13
"69","2018-06-29",8.91
"70","2018-07-02",8.92
"71","2018-07-03",8.7
"72","2018-07-05",8.33
"73","2018-07-06",8.17
"74","2018-07-09",8.01
"75","2018-07-10",7.93
"76","2018-07-11",7.68
"77","2018-07-12",7.92
"78","2018-07-13",8.45
"79","2018-07-16",8.52
"80","2018-07-17",8.8
"81","2018-07-18",8.25
"82","2018-07-19",7.85
"83","2018-07-20",7.72
"84","2018-07-23",7.38
"85","2018-07-24",7.14
"86","2018-07-25",6.5
"87","2018-07-26",6.01
"88","2018-07-27",6.38
"89","2018-07-30",5.9
"90","2018-07-31",5.96
"91","2018-08-01",6.09
"92","2018-08-02",6.25
"93","2018-08-03",6.2
"94","2018-08-06",6.05
"95","2018-08-07",6.14
"96","2018-08-08",6.11
"97","2018-08-09",6.31
"98","2018-08-10",6.51
"99","2018-08-13",6.28
"100","2018-08-14",6
"101","2018-08-15",5.67
"102","2018-08-16",6.14
"103","2018-08-17",5.13
"104","2018-08-20",5.42
"105","2018-08-21",5.72
"106","2018-08-22",5.68
"107","2018-08-23",5.6
"108","2018-08-24",5.41
"109","2018-08-27",6.1
"110","2018-08-28",6.16
"111","2018-08-29",6.6
"112","2018-08-30",6.35
"113","2018-08-31",6.38
"114","2018-09-04",6.44
"115","2018-09-05",6.13
"116","2018-09-06",5.91
"117","2018-09-07",6.01
"118","2018-09-10",5.9
"119","2018-09-11",6.3
"120","2018-09-12",6.27
"121","2018-09-13",6.5
"122","2018-09-14",6.25
"123","2018-09-17",6.48
"124","2018-09-18",6.41
"125","2018-09-19",6.83
"126","2018-09-20",6.7
"127","2018-09-21",6.4
"128","2018-09-24",6.14
"129","2018-09-25",6.27
"130","2018-09-26",6.01
"131","2018-09-27",6.1
"132","2018-09-28",6.05
"133","2018-10-01",5.57
"134","2018-10-02",5.4
"135","2018-10-03",5.55
"136","2018-10-04",5.58
"137","2018-10-05",5.46
"138","2018-10-08",4.4
"139","2018-10-09",5.35
"140","2018-10-10",5
"141","2018-10-11",5.1
"142","2018-10-12",4.95
"143","2018-10-15",4.81
"144","2018-10-16",4.88
