"","date","AVO"
"1","2020-10-02",12.45
"2","2020-10-05",12.36
"3","2020-10-06",12.1
"4","2020-10-07",11.86
"5","2020-10-08",12.23
"6","2020-10-09",12.5
"7","2020-10-12",13
"8","2020-10-13",12.97
"9","2020-10-14",12.84
"10","2020-10-15",13.15
"11","2020-10-16",13.19
"12","2020-10-19",13.51
"13","2020-10-20",13.68
"14","2020-10-21",13.3
"15","2020-10-22",13.41
"16","2020-10-23",13.17
"17","2020-10-26",13.01
"18","2020-10-27",13.23
"19","2020-10-28",13.23
"20","2020-10-29",13.23
"21","2020-10-30",13.19
"22","2020-11-02",12.85
"23","2020-11-03",12.77
"24","2020-11-04",13.1
"25","2020-11-05",13.19
"26","2020-11-06",13.68
"27","2020-11-09",14.02
"28","2020-11-10",13.95
"29","2020-11-11",13.5
"30","2020-11-12",12.97
"31","2020-11-13",13.29
"32","2020-11-16",13.72
"33","2020-11-17",13.64
"34","2020-11-18",13.91
"35","2020-11-19",13.97
"36","2020-11-20",13.79
"37","2020-11-23",13.6
"38","2020-11-24",13.54
"39","2020-11-25",13.4
"40","2020-11-27",13.34
