"","date","CMA"
"1","2007-01-03",59.18
"2","2007-01-04",59.209999
"3","2007-01-05",58.549999
"4","2007-01-08",58.459999
"5","2007-01-09",58.34
"6","2007-01-10",58.259998
"7","2007-01-11",57.900002
"8","2007-01-12",58.049999
"9","2007-01-16",58.27
"10","2007-01-17",58.049999
"11","2007-01-18",59.470001
"12","2007-01-19",59.599998
"13","2007-01-22",59.189999
"14","2007-01-23",58.98
"15","2007-01-24",59.599998
"16","2007-01-25",58.599998
"17","2007-01-26",58.639999
"18","2007-01-29",58.490002
"19","2007-01-30",58.919998
"20","2007-01-31",59.299999
"21","2007-02-01",59.98
"22","2007-02-02",60.48
"23","2007-02-05",60.080002
"24","2007-02-06",60.869999
"25","2007-02-07",61.119999
"26","2007-02-08",60.889999
"27","2007-02-09",60.68
"28","2007-02-12",60.619999
"29","2007-02-13",61.240002
"30","2007-02-14",61.700001
"31","2007-02-15",61.799999
"32","2007-02-16",62.080002
"33","2007-02-20",63.150002
"34","2007-02-21",63.189999
"35","2007-02-22",62.970001
"36","2007-02-23",63
"37","2007-02-26",62.619999
"38","2007-02-27",60.610001
"39","2007-02-28",60.389999
"40","2007-03-01",60.130001
"41","2007-03-02",59.900002
"42","2007-03-05",58.540001
"43","2007-03-06",59.849998
"44","2007-03-07",59.299999
"45","2007-03-08",59.619999
"46","2007-03-09",60.169998
"47","2007-03-12",59.990002
"48","2007-03-13",57.630001
"49","2007-03-14",58.09
"50","2007-03-15",58.73
"51","2007-03-16",58.669998
"52","2007-03-19",59.32
"53","2007-03-20",59.810001
"54","2007-03-21",60.900002
"55","2007-03-22",60.610001
"56","2007-03-23",60.599998
"57","2007-03-26",60.450001
"58","2007-03-27",59.860001
"59","2007-03-28",58.91
"60","2007-03-29",59.59
"61","2007-03-30",59.119999
"62","2007-04-02",58.52
"63","2007-04-03",59.279999
"64","2007-04-04",59.25
"65","2007-04-05",59.610001
"66","2007-04-09",59.419998
"67","2007-04-10",59.880001
"68","2007-04-11",59.310001
