"","date","AAXN"
"1","2007-01-03",7.9
"2","2007-01-04",7.99
"3","2007-01-05",8.07
"4","2007-01-08",8.19
"5","2007-01-09",8.48
"6","2007-01-10",8.33
"7","2007-01-11",8.22
"8","2007-01-12",8.2
"9","2007-01-16",8.18
"10","2007-01-17",8.04
"11","2007-01-18",7.81
"12","2007-01-19",7.82
"13","2007-01-22",7.85
"14","2007-01-23",7.82
"15","2007-01-24",7.75
"16","2007-01-25",7.61
"17","2007-01-26",7.64
"18","2007-01-29",7.73
"19","2007-01-30",7.83
"20","2007-01-31",7.75
"21","2007-02-01",7.8
"22","2007-02-02",7.82
"23","2007-02-05",7.83
"24","2007-02-06",7.9
"25","2007-02-07",7.98
"26","2007-02-08",7.89
"27","2007-02-09",7.76
"28","2007-02-12",7.79
"29","2007-02-13",7.74
"30","2007-02-14",8.03
"31","2007-02-15",8.12
"32","2007-02-16",8.12
"33","2007-02-20",8.32
"34","2007-02-21",8.54
"35","2007-02-22",8.43
"36","2007-02-23",8.56
"37","2007-02-26",8.42
"38","2007-02-27",8.11
"39","2007-02-28",7.94
"40","2007-03-01",7.91
"41","2007-03-02",7.74
"42","2007-03-05",7.44
"43","2007-03-06",7.89
"44","2007-03-07",7.73
"45","2007-03-08",7.79
"46","2007-03-09",7.78
"47","2007-03-12",7.85
"48","2007-03-13",7.8
"49","2007-03-14",7.89
"50","2007-03-15",7.89
"51","2007-03-16",7.81
"52","2007-03-19",8.03
"53","2007-03-20",8.2
"54","2007-03-21",8.32
"55","2007-03-22",8.34
"56","2007-03-23",8.26
"57","2007-03-26",8.28
"58","2007-03-27",8.28
"59","2007-03-28",8.18
"60","2007-03-29",8.03
"61","2007-03-30",8.03
"62","2007-04-02",8.12
"63","2007-04-03",8.2
"64","2007-04-04",8.08
"65","2007-04-05",7.98
"66","2007-04-09",7.85
"67","2007-04-10",7.91
"68","2007-04-11",7.88
"69","2007-04-12",8.04
"70","2007-04-13",8.15
"71","2007-04-16",8.16
"72","2007-04-17",8.25
"73","2007-04-18",8.59
"74","2007-04-19",8.37
"75","2007-04-20",8.34
"76","2007-04-23",8.24
"77","2007-04-24",8.56
"78","2007-04-25",8.19
"79","2007-04-26",8.01
"80","2007-04-27",8.27
"81","2007-04-30",8.63
"82","2007-05-01",9.1
"83","2007-05-02",9.16
"84","2007-05-03",9.45
"85","2007-05-04",9.53
"86","2007-05-07",9.92
"87","2007-05-08",9.57
"88","2007-05-09",9.62
"89","2007-05-10",9.41
"90","2007-05-11",9.42
"91","2007-05-14",9.2
"92","2007-05-15",8.99
"93","2007-05-16",9.33
"94","2007-05-17",9.24
"95","2007-05-18",9.3
"96","2007-05-21",9.33
"97","2007-05-22",9.22
"98","2007-05-23",9.54
"99","2007-05-24",10.07
"100","2007-05-25",10.29
"101","2007-05-29",10.45
"102","2007-05-30",10.99
"103","2007-05-31",10.54
"104","2007-06-01",10.63
"105","2007-06-04",10.48
"106","2007-06-05",10.38
"107","2007-06-06",10.56
"108","2007-06-07",10.65
"109","2007-06-08",10.9
"110","2007-06-11",11.9
"111","2007-06-12",12.05
"112","2007-06-13",11.7
"113","2007-06-14",12.18
"114","2007-06-15",12.29
"115","2007-06-18",12.12
"116","2007-06-19",12.65
"117","2007-06-20",12.42
"118","2007-06-21",12.63
"119","2007-06-22",13.43
"120","2007-06-25",13.77
"121","2007-06-26",13.21
"122","2007-06-27",13.27
"123","2007-06-28",13.4
"124","2007-06-29",13.96
"125","2007-07-02",14.39
"126","2007-07-03",14.26
"127","2007-07-05",14.13
"128","2007-07-06",14.06
"129","2007-07-09",16.620001
"130","2007-07-10",16.26
"131","2007-07-11",16.16
"132","2007-07-12",15.51
"133","2007-07-13",16.27
"134","2007-07-16",16.23
"135","2007-07-17",16.18
"136","2007-07-18",15.85
"137","2007-07-19",17.41
"138","2007-07-20",17.139999
"139","2007-07-23",16.559999
"140","2007-07-24",15.21
"141","2007-07-25",14.76
"142","2007-07-26",14.06
"143","2007-07-27",14.23
"144","2007-07-30",15.17
"145","2007-07-31",15.27
"146","2007-08-01",14.59
"147","2007-08-02",14.93
"148","2007-08-03",14.26
"149","2007-08-06",14.13
"150","2007-08-07",14.57
"151","2007-08-08",15.68
"152","2007-08-09",16.25
"153","2007-08-10",15.37
"154","2007-08-13",15.04
"155","2007-08-14",14.26
"156","2007-08-15",13.8
"157","2007-08-16",13.56
"158","2007-08-17",14.1
"159","2007-08-20",13.58
"160","2007-08-21",13.46
"161","2007-08-22",13.57
"162","2007-08-23",13.36
"163","2007-08-24",14.08
"164","2007-08-27",14.1
"165","2007-08-28",13.34
"166","2007-08-29",13.6
"167","2007-08-30",14.31
"168","2007-08-31",14.31
"169","2007-09-04",14.86
"170","2007-09-05",14.67
"171","2007-09-06",15.15
"172","2007-09-07",14.52
"173","2007-09-10",14.47
"174","2007-09-11",14.59
"175","2007-09-12",14.45
"176","2007-09-13",14.43
"177","2007-09-14",14.37
