"","date","CLPS"
"1","2018-05-25",5.4
"2","2018-05-29",5.04
"3","2018-05-30",5
"4","2018-05-31",5.14
"5","2018-06-01",5.25
"6","2018-06-04",5.1
"7","2018-06-05",4.95
"8","2018-06-06",5.1
"9","2018-06-07",4.92
"10","2018-06-08",5.2
"11","2018-06-11",5.15
"12","2018-06-12",5.04
"13","2018-06-13",5.088
"14","2018-06-14",6.1
"15","2018-06-15",8.9
"16","2018-06-18",10.8
"17","2018-06-19",10.76
"18","2018-06-20",16.799999
"19","2018-06-21",13.11
"20","2018-06-22",13.32
"21","2018-06-25",11.67
"22","2018-06-26",13.52
"23","2018-06-27",13.15
"24","2018-06-28",13.43
"25","2018-06-29",12.95
"26","2018-07-02",13.02
"27","2018-07-03",12.68
"28","2018-07-05",11.02
"29","2018-07-06",10.86
"30","2018-07-09",11.05
"31","2018-07-10",13.245
"32","2018-07-11",12.51
"33","2018-07-12",12.22
"34","2018-07-13",14.29
"35","2018-07-16",13.75
"36","2018-07-17",14.49
"37","2018-07-18",14.21
"38","2018-07-19",14.63
"39","2018-07-20",14.32
"40","2018-07-23",14.5
"41","2018-07-24",14.235
"42","2018-07-25",14.92
"43","2018-07-26",15.04
"44","2018-07-27",14.95
"45","2018-07-30",15.2
"46","2018-07-31",15.43
"47","2018-08-01",15.04
"48","2018-08-02",14.08
"49","2018-08-03",12.39
"50","2018-08-06",12.76
"51","2018-08-07",14.2
"52","2018-08-08",14.09
"53","2018-08-09",14.05
"54","2018-08-10",14.17
"55","2018-08-13",14.205
"56","2018-08-14",13.92
"57","2018-08-15",13.2
"58","2018-08-16",13.41
"59","2018-08-17",12.81
"60","2018-08-20",13.65
"61","2018-08-21",13.435
"62","2018-08-22",13.93
"63","2018-08-23",13.84
"64","2018-08-24",13.82
"65","2018-08-27",14.06
"66","2018-08-28",13.91
"67","2018-08-29",14
"68","2018-08-30",14.04
"69","2018-08-31",13.84
"70","2018-09-04",14.37
"71","2018-09-05",14.55
"72","2018-09-06",14.2
"73","2018-09-07",14.01
"74","2018-09-10",14.02
"75","2018-09-11",13.4
"76","2018-09-12",13.6
"77","2018-09-13",13.36
"78","2018-09-14",13.45
"79","2018-09-17",13.69
"80","2018-09-18",13.2
"81","2018-09-19",13.7
"82","2018-09-20",13.18
"83","2018-09-21",13.23
"84","2018-09-24",13.13
"85","2018-09-25",12.94
"86","2018-09-26",12.649
"87","2018-09-27",12.31
"88","2018-09-28",10.85
"89","2018-10-01",9.96
"90","2018-10-02",9.4
"91","2018-10-03",9.5
"92","2018-10-04",9.47
"93","2018-10-05",9.25
"94","2018-10-08",8.74
"95","2018-10-09",8.8
"96","2018-10-10",8.49
"97","2018-10-11",8.44
"98","2018-10-12",8.78
"99","2018-10-15",8.51
"100","2018-10-16",8.66
"101","2018-10-17",8.5
"102","2018-10-18",8.449
"103","2018-10-19",8.06
"104","2018-10-22",8.04
"105","2018-10-23",7.889
"106","2018-10-24",6.75
"107","2018-10-25",6.16
"108","2018-10-26",6.36
"109","2018-10-29",6.63
"110","2018-10-30",6.85
"111","2018-10-31",6.863
"112","2018-11-01",6.73
"113","2018-11-02",6.41
"114","2018-11-05",6.78
"115","2018-11-06",6.56
"116","2018-11-07",5.91
"117","2018-11-08",5.87
"118","2018-11-09",5.7
