"","date","OCSI"
"1","2013-07-12",14.15
"2","2013-07-15",14.5
"3","2013-07-16",14.45
"4","2013-07-17",14.45
"5","2013-07-18",14.4
"6","2013-07-19",14.3
"7","2013-07-22",14.48
"8","2013-07-23",14.25
"9","2013-07-24",14.22
"10","2013-07-25",14.29
"11","2013-07-26",14.2
"12","2013-07-29",14.19
"13","2013-07-30",14.2
"14","2013-07-31",14.19
"15","2013-08-01",14.2
"16","2013-08-02",14.29
"17","2013-08-05",14.18
"18","2013-08-06",13.85
"19","2013-08-07",13.61
"20","2013-08-08",13.95
"21","2013-08-09",13.8
"22","2013-08-12",13.9
"23","2013-08-13",13.65
"24","2013-08-14",13.75
"25","2013-08-15",13.84
"26","2013-08-16",13.62
"27","2013-08-19",13.7
"28","2013-08-20",13.85
"29","2013-08-21",13.87
"30","2013-08-22",13.95
"31","2013-08-23",14.08
"32","2013-08-26",13.88
"33","2013-08-27",13.75
"34","2013-08-28",13.85
"35","2013-08-29",13.85
"36","2013-08-30",13.98
"37","2013-09-03",13.75
"38","2013-09-04",13.9
"39","2013-09-05",13.72
"40","2013-09-06",13.89
"41","2013-09-09",13.92
"42","2013-09-10",13.87
"43","2013-09-11",13.85
"44","2013-09-12",13.79
"45","2013-09-13",13.96
"46","2013-09-16",13.92
"47","2013-09-17",13.83
"48","2013-09-18",13.95
"49","2013-09-19",13.8
"50","2013-09-20",13.79
"51","2013-09-23",13.75
"52","2013-09-24",13.71
"53","2013-09-25",13.6
"54","2013-09-26",13.79
"55","2013-09-27",13.78
"56","2013-09-30",13.54
"57","2013-10-01",13.5
"58","2013-10-02",13.51
"59","2013-10-03",13.28
"60","2013-10-04",13.59
"61","2013-10-07",13.54
"62","2013-10-08",13.43
"63","2013-10-09",13.31
"64","2013-10-10",13.75
"65","2013-10-11",13.83
"66","2013-10-14",13.74
"67","2013-10-15",13.63
"68","2013-10-16",13.67
"69","2013-10-17",13.82
"70","2013-10-18",13.7
"71","2013-10-21",13.61
"72","2013-10-22",13.64
"73","2013-10-23",13.64
"74","2013-10-24",13.6
"75","2013-10-25",13.61
"76","2013-10-28",13.62
"77","2013-10-29",13.77
"78","2013-10-30",13.61
"79","2013-10-31",13.73
"80","2013-11-01",13.63
"81","2013-11-04",13.53
"82","2013-11-05",13.4
"83","2013-11-06",13.47
"84","2013-11-07",13.59
"85","2013-11-08",13.63
"86","2013-11-11",13.57
"87","2013-11-12",13.39
"88","2013-11-13",13.55
"89","2013-11-14",13.65
"90","2013-11-15",13.63
"91","2013-11-18",13.5
"92","2013-11-19",13.46
"93","2013-11-20",13.54
"94","2013-11-21",13.59
"95","2013-11-22",13.41
"96","2013-11-25",13.47
"97","2013-11-26",13.28
"98","2013-11-27",13.18
"99","2013-11-29",13.3
"100","2013-12-02",13.39
"101","2013-12-03",13.37
"102","2013-12-04",13.57
"103","2013-12-05",13.53
"104","2013-12-06",13.53
"105","2013-12-09",13.51
"106","2013-12-10",13.48
"107","2013-12-11",13.52
"108","2013-12-12",13.39
"109","2013-12-13",13.36
"110","2013-12-16",13.41
"111","2013-12-17",13.39
"112","2013-12-18",13.26
"113","2013-12-19",13.15
"114","2013-12-20",13.12
"115","2013-12-23",13.09
"116","2013-12-24",13.57
"117","2013-12-26",13.53
"118","2013-12-27",13.38
"119","2013-12-30",13.22
"120","2013-12-31",13.24
"121","2014-01-02",13.2
"122","2014-01-03",13.22
"123","2014-01-06",13.29
"124","2014-01-07",13.36
"125","2014-01-08",13.4
"126","2014-01-09",13.54
"127","2014-01-10",13.52
"128","2014-01-13",13.51
"129","2014-01-14",13.35
"130","2014-01-15",13.34
"131","2014-01-16",13.44
"132","2014-01-17",13.45
"133","2014-01-21",13.51
"134","2014-01-22",13.54
"135","2014-01-23",13.49
"136","2014-01-24",13.47
"137","2014-01-27",13.3
"138","2014-01-28",13.49
"139","2014-01-29",13.55
"140","2014-01-30",13.68
"141","2014-01-31",13.74
"142","2014-02-03",13.76
"143","2014-02-04",13.76
"144","2014-02-05",13.6
"145","2014-02-06",13.57
"146","2014-02-07",13.5
