"","date","ATNX"
"1","2017-06-14",12.56
"2","2017-06-15",13.68
"3","2017-06-16",13.89
"4","2017-06-19",14.52
"5","2017-06-20",14.49
"6","2017-06-21",14.42
"7","2017-06-22",14.95
"8","2017-06-23",15.13
"9","2017-06-26",15.1
"10","2017-06-27",16.99
"11","2017-06-28",17.4
"12","2017-06-29",16.200001
"13","2017-06-30",16
"14","2017-07-03",16.65
"15","2017-07-05",17.040001
"16","2017-07-06",17.790001
"17","2017-07-07",18.42
"18","2017-07-10",18.120001
"19","2017-07-11",17.99
"20","2017-07-12",18.09
"21","2017-07-13",18.719999
"22","2017-07-14",18.82
"23","2017-07-17",18.549999
"24","2017-07-18",18.51
"25","2017-07-19",18.52
"26","2017-07-20",18.610001
"27","2017-07-21",18.440001
"28","2017-07-24",18.73
"29","2017-07-25",18.549999
"30","2017-07-26",18.030001
"31","2017-07-27",17.190001
"32","2017-07-28",17.25
"33","2017-07-31",17.120001
"34","2017-08-01",16.860001
"35","2017-08-02",16.41
"36","2017-08-03",13.86
"37","2017-08-04",14.41
"38","2017-08-07",14.21
"39","2017-08-08",13.5
"40","2017-08-09",13.57
"41","2017-08-10",13.65
"42","2017-08-11",14.61
"43","2017-08-14",15.44
"44","2017-08-15",16.5
"45","2017-08-16",16.610001
"46","2017-08-17",15.51
"47","2017-08-18",15.2
"48","2017-08-21",16
"49","2017-08-22",16
"50","2017-08-23",16
"51","2017-08-24",15.97
"52","2017-08-25",15.65
"53","2017-08-28",16
"54","2017-08-29",16.17
"55","2017-08-30",16.24
"56","2017-08-31",17.16
"57","2017-09-01",17.4
"58","2017-09-05",18.700001
"59","2017-09-06",19.51
"60","2017-09-07",18.879999
"61","2017-09-08",17.639999
"62","2017-09-11",17.43
"63","2017-09-12",16.99
"64","2017-09-13",16.440001
"65","2017-09-14",16.379999
"66","2017-09-15",16.84
"67","2017-09-18",17.030001
"68","2017-09-19",17.42
"69","2017-09-20",17.799999
"70","2017-09-21",17.469999
"71","2017-09-22",16.83
"72","2017-09-25",17.030001
"73","2017-09-26",17.32
"74","2017-09-27",17.709999
"75","2017-09-28",17.09
"76","2017-09-29",17.51
"77","2017-10-02",17.4
"78","2017-10-03",17.77
"79","2017-10-04",18.08
"80","2017-10-05",18.25
"81","2017-10-06",18.870001
"82","2017-10-09",18.93
"83","2017-10-10",19.15
"84","2017-10-11",18.99
"85","2017-10-12",18.360001
"86","2017-10-13",17.43
"87","2017-10-16",17.299999
"88","2017-10-17",17.040001
"89","2017-10-18",17.139999
"90","2017-10-19",17.08
"91","2017-10-20",17.129999
"92","2017-10-23",16.99
"93","2017-10-24",17.030001
"94","2017-10-25",17.030001
"95","2017-10-26",16.700001
"96","2017-10-27",16.91
"97","2017-10-30",16.85
"98","2017-10-31",16.74
"99","2017-11-01",16.85
"100","2017-11-02",16.85
"101","2017-11-03",16.77
"102","2017-11-06",16.77
"103","2017-11-07",16.26
"104","2017-11-08",16.49
"105","2017-11-09",16.559999
"106","2017-11-10",16.67
"107","2017-11-13",16.549999
"108","2017-11-14",17.01
"109","2017-11-15",17.200001
"110","2017-11-16",17.549999
"111","2017-11-17",17.91
"112","2017-11-20",18
"113","2017-11-21",18.030001
"114","2017-11-22",18.139999
"115","2017-11-24",18.92
"116","2017-11-27",18.58
"117","2017-11-28",18.16
"118","2017-11-29",17.879999
"119","2017-11-30",17.110001
"120","2017-12-01",17.030001
"121","2017-12-04",16.620001
"122","2017-12-05",16.540001
"123","2017-12-06",15.92
