"","date","DBX"
"1","2018-03-23",28.48
"2","2018-03-26",30.450001
"3","2018-03-27",29.9
"4","2018-03-28",30.98
"5","2018-03-29",31.25
"6","2018-04-02",30.01
"7","2018-04-03",31.59
"8","2018-04-04",30.85
"9","2018-04-05",30.535
"10","2018-04-06",30.24
"11","2018-04-09",30.139999
"12","2018-04-10",31.23
"13","2018-04-11",32.32
"14","2018-04-12",33.27
"15","2018-04-13",30
"16","2018-04-16",29.02
"17","2018-04-17",29.83
"18","2018-04-18",30.559999
"19","2018-04-19",29.9
"20","2018-04-20",28.92
"21","2018-04-23",29.110001
"22","2018-04-24",28.940001
"23","2018-04-25",28.639999
"24","2018-04-26",29.33
"25","2018-04-27",29.610001
"26","2018-04-30",30.110001
"27","2018-05-01",30.9
"28","2018-05-02",31.01
"29","2018-05-03",30.190001
"30","2018-05-04",29.129999
"31","2018-05-07",29.41
"32","2018-05-08",30.23
"33","2018-05-09",31.4
"34","2018-05-10",32
"35","2018-05-11",31.280001
"36","2018-05-14",29.959999
"37","2018-05-15",29.549999
"38","2018-05-16",30.74
"39","2018-05-17",30.549999
"40","2018-05-18",30.200001
"41","2018-05-21",30.09
"42","2018-05-22",30.09
"43","2018-05-23",29.74
"44","2018-05-24",30.200001
"45","2018-05-25",29.969999
"46","2018-05-29",29.780001
"47","2018-05-30",30.469999
"48","2018-05-31",29.99
"49","2018-06-01",29.65
"50","2018-06-04",29.98
"51","2018-06-05",30.889999
"52","2018-06-06",31.23
"53","2018-06-07",30.27
"54","2018-06-08",29.959999
"55","2018-06-11",30.1
"56","2018-06-12",30.83
"57","2018-06-13",31.67
"58","2018-06-14",36.119999
"59","2018-06-15",39.599998
"60","2018-06-18",42
"61","2018-06-19",39.700001
"62","2018-06-20",37.299999
"63","2018-06-21",35.689999
"64","2018-06-22",33.720001
"65","2018-06-25",32.52
"66","2018-06-26",32.77
"67","2018-06-27",31.219999
"68","2018-06-28",33.400002
"69","2018-06-29",32.419998
"70","2018-07-02",32.799999
"71","2018-07-03",32
"72","2018-07-05",31.459999
"73","2018-07-06",31.360001
"74","2018-07-09",31.780001
"75","2018-07-10",31.280001
