"","date","RGP"
"1","2007-01-03",32.349998
"2","2007-01-04",32.380001
"3","2007-01-05",31.969999
"4","2007-01-08",32.09
"5","2007-01-09",31.799999
"6","2007-01-10",31.76
"7","2007-01-11",31.9
"8","2007-01-12",31.99
"9","2007-01-16",31.700001
"10","2007-01-17",31.43
"11","2007-01-18",30.719999
"12","2007-01-19",30.93
"13","2007-01-22",30.42
"14","2007-01-23",31.1
"15","2007-01-24",31.26
"16","2007-01-25",30.67
"17","2007-01-26",31.360001
"18","2007-01-29",31.4
"19","2007-01-30",31.18
"20","2007-01-31",31.4
"21","2007-02-01",31.799999
"22","2007-02-02",31.83
"23","2007-02-05",31.59
"24","2007-02-06",31.690001
"25","2007-02-07",31.75
"26","2007-02-08",32
"27","2007-02-09",31.23
"28","2007-02-12",31.48
"29","2007-02-13",32.07
"30","2007-02-14",32.709999
"31","2007-02-15",32.75
"32","2007-02-16",32.950001
"33","2007-02-20",33.759998
"34","2007-02-21",33.48
"35","2007-02-22",33.720001
"36","2007-02-23",34.16
"37","2007-02-26",34.360001
"38","2007-02-27",33.099998
"39","2007-02-28",32.360001
"40","2007-03-01",32.57
"41","2007-03-02",32.029999
"42","2007-03-05",31.459999
"43","2007-03-06",32.139999
"44","2007-03-07",32.110001
"45","2007-03-08",32.669998
"46","2007-03-09",33.110001
"47","2007-03-12",33.200001
"48","2007-03-13",32.540001
"49","2007-03-14",32.990002
"50","2007-03-15",32.849998
"51","2007-03-16",32.790001
"52","2007-03-19",33
"53","2007-03-20",33
"54","2007-03-21",33.439999
"55","2007-03-22",33.75
"56","2007-03-23",33.869999
"57","2007-03-26",34.09
"58","2007-03-27",34.240002
"59","2007-03-28",34.27
"60","2007-03-29",32.299999
"61","2007-03-30",31.99
"62","2007-04-02",31.85
"63","2007-04-03",32.77
"64","2007-04-04",31.719999
"65","2007-04-05",32.099998
"66","2007-04-09",31.25
"67","2007-04-10",31.33
"68","2007-04-11",30.959999
"69","2007-04-12",31.33
"70","2007-04-13",31.17
"71","2007-04-16",32.049999
