"","date","FNHC"
"1","2007-01-03",23.030001
"2","2007-01-04",22.16
"3","2007-01-05",21.950001
"4","2007-01-08",21.49
"5","2007-01-09",21
"6","2007-01-10",21.02
"7","2007-01-11",21.639999
"8","2007-01-12",21.58
"9","2007-01-16",21.91
"10","2007-01-17",21.459999
"11","2007-01-18",21.15
"12","2007-01-19",20.73
"13","2007-01-22",20.91
"14","2007-01-23",21
"15","2007-01-24",20.93
"16","2007-01-25",20.610001
"17","2007-01-26",20.040001
"18","2007-01-29",19.91
"19","2007-01-30",22.33
"20","2007-01-31",23
"21","2007-02-01",22.889999
"22","2007-02-02",21.99
"23","2007-02-05",21.290001
"24","2007-02-06",22.370001
"25","2007-02-07",22.299999
"26","2007-02-08",22.129999
"27","2007-02-09",21.879999
"28","2007-02-12",21.83
"29","2007-02-13",21.51
"30","2007-02-14",21.450001
"31","2007-02-15",21.25
"32","2007-02-16",19.040001
"33","2007-02-20",20.110001
"34","2007-02-21",20.24
"35","2007-02-22",19.65
"36","2007-02-23",19.4
"37","2007-02-26",19.33
"38","2007-02-27",18.950001
"39","2007-02-28",18.43
"40","2007-03-01",18.459999
"41","2007-03-02",18.799999
"42","2007-03-05",18.08
"43","2007-03-06",18.59
"44","2007-03-07",18.74
"45","2007-03-08",18.280001
"46","2007-03-09",18.07
"47","2007-03-12",18.48
"48","2007-03-13",18.09
"49","2007-03-14",18.030001
"50","2007-03-15",18.48
"51","2007-03-16",18.120001
"52","2007-03-19",17.940001
"53","2007-03-20",18.049999
"54","2007-03-21",18.73
"55","2007-03-22",18.18
"56","2007-03-23",17.6
"57","2007-03-26",17.83
"58","2007-03-27",18.18
"59","2007-03-28",17.700001
"60","2007-03-29",17.84
"61","2007-03-30",17.879999
"62","2007-04-02",18.389999
"63","2007-04-03",17.92
"64","2007-04-04",17.93
"65","2007-04-05",18.040001
"66","2007-04-09",17.82
"67","2007-04-10",17.82
"68","2007-04-11",17.610001
"69","2007-04-12",17.549999
"70","2007-04-13",17.73
"71","2007-04-16",17.77
"72","2007-04-17",17.790001
"73","2007-04-18",17.74
"74","2007-04-19",17.99
"75","2007-04-20",17.93
"76","2007-04-23",18.549999
"77","2007-04-24",18.950001
"78","2007-04-25",19.99
"79","2007-04-26",19.65
"80","2007-04-27",19.370001
"81","2007-04-30",19.5
"82","2007-05-01",19.48
"83","2007-05-02",19.790001
"84","2007-05-03",19.99
"85","2007-05-04",11.05
"86","2007-05-07",10.43
"87","2007-05-08",10.18
"88","2007-05-09",10.07
"89","2007-05-10",9.9
"90","2007-05-11",9.85
"91","2007-05-14",10.6
"92","2007-05-15",10.82
"93","2007-05-16",10.83
"94","2007-05-17",10.67
"95","2007-05-18",10.72
"96","2007-05-21",11.11
"97","2007-05-22",11.39
"98","2007-05-23",11.64
"99","2007-05-24",11.09
"100","2007-05-25",11.02
"101","2007-05-29",11.11
"102","2007-05-30",11.41
"103","2007-05-31",11.43
"104","2007-06-01",11.17
"105","2007-06-04",11.41
"106","2007-06-05",11.21
"107","2007-06-06",11.05
"108","2007-06-07",10.91
"109","2007-06-08",11
"110","2007-06-11",10.82
"111","2007-06-12",10.77
"112","2007-06-13",10.85
"113","2007-06-14",10.99
"114","2007-06-15",11.14
"115","2007-06-18",11.17
"116","2007-06-19",11.1
"117","2007-06-20",11.02
"118","2007-06-21",11.01
"119","2007-06-22",10.89
"120","2007-06-25",10.69
"121","2007-06-26",10.62
"122","2007-06-27",10.67
"123","2007-06-28",10.74
"124","2007-06-29",10.74
"125","2007-07-02",10.7
"126","2007-07-03",10.65
"127","2007-07-05",10.55
"128","2007-07-06",10.48
"129","2007-07-09",10.43
"130","2007-07-10",10.3
"131","2007-07-11",10.24
"132","2007-07-12",10.2
"133","2007-07-13",10.21
"134","2007-07-16",10.05
"135","2007-07-17",10.03
"136","2007-07-18",11.68
"137","2007-07-19",11.88
"138","2007-07-20",11.64
"139","2007-07-23",11.39
"140","2007-07-24",11
"141","2007-07-25",11.39
"142","2007-07-26",12.95
"143","2007-07-27",13.14
"144","2007-07-30",12.66
"145","2007-07-31",12.23
"146","2007-08-01",11.76
"147","2007-08-02",11.69
"148","2007-08-03",11
"149","2007-08-06",11.39
"150","2007-08-07",11.44
"151","2007-08-08",12.36
"152","2007-08-09",12.76
"153","2007-08-10",12.59
"154","2007-08-13",12.27
"155","2007-08-14",11.62
"156","2007-08-15",11.25
"157","2007-08-16",11.23
"158","2007-08-17",11.77
"159","2007-08-20",12.14
"160","2007-08-21",12.62
"161","2007-08-22",13.99
"162","2007-08-23",14.6
"163","2007-08-24",14.3
"164","2007-08-27",14.02
"165","2007-08-28",14
"166","2007-08-29",14.06
"167","2007-08-30",14.15
"168","2007-08-31",14.04
"169","2007-09-04",14.04
"170","2007-09-05",14.29
"171","2007-09-06",14
"172","2007-09-07",14.03
"173","2007-09-10",13.65
"174","2007-09-11",13.39
"175","2007-09-12",13.62
"176","2007-09-13",13.59
"177","2007-09-14",13.5
"178","2007-09-17",13.47
"179","2007-09-18",14.13
"180","2007-09-19",14.39
"181","2007-09-20",14.1
"182","2007-09-21",14.09
"183","2007-09-24",14.3
"184","2007-09-25",14.12
"185","2007-09-26",14.36
"186","2007-09-27",14.37
"187","2007-09-28",14.2
"188","2007-10-01",14.12
"189","2007-10-02",14.34
"190","2007-10-03",14.42
"191","2007-10-04",14.6
"192","2007-10-05",14.92
"193","2007-10-08",15.13
"194","2007-10-09",14.88
"195","2007-10-10",15.49
"196","2007-10-11",16.16
"197","2007-10-12",17.059999
"198","2007-10-15",16.690001
"199","2007-10-16",16.879999
"200","2007-10-17",17.309999
"201","2007-10-18",17.209999
"202","2007-10-19",16.84
"203","2007-10-22",16.41
"204","2007-10-23",16.65
"205","2007-10-24",16.26
"206","2007-10-25",16.110001
"207","2007-10-26",16.09
"208","2007-10-29",16.719999
"209","2007-10-30",17.01
"210","2007-10-31",16.790001
"211","2007-11-01",16.280001
"212","2007-11-02",16.01
"213","2007-11-05",13.93
"214","2007-11-06",14.96
"215","2007-11-07",14.08
"216","2007-11-08",13.65
"217","2007-11-09",13.29
"218","2007-11-12",13.12
"219","2007-11-13",13.76
"220","2007-11-14",13.88
"221","2007-11-15",13.76
"222","2007-11-16",13.43
"223","2007-11-19",13.02
"224","2007-11-20",12.84
"225","2007-11-21",12.56
"226","2007-11-23",12.84
"227","2007-11-26",12.45
"228","2007-11-27",12.38
"229","2007-11-28",12.58
"230","2007-11-29",12.9
"231","2007-11-30",12.94
"232","2007-12-03",12.96
"233","2007-12-04",13.03
"234","2007-12-05",12.91
"235","2007-12-06",13.34
"236","2007-12-07",13.43
"237","2007-12-10",13.38
"238","2007-12-11",13.29
"239","2007-12-12",13.04
"240","2007-12-13",13
"241","2007-12-14",12.97
"242","2007-12-17",13.22
"243","2007-12-18",13.15
"244","2007-12-19",13.47
"245","2007-12-20",13.8
"246","2007-12-21",13.76
"247","2007-12-24",14.23
"248","2007-12-26",14.16
"249","2007-12-27",13.96
"250","2007-12-28",13.49
"251","2007-12-31",13.44
"252","2008-01-02",14.05
"253","2008-01-03",13.16
"254","2008-01-04",13.15
"255","2008-01-07",12.96
"256","2008-01-08",11.93
"257","2008-01-09",11.76
"258","2008-01-10",11.8
"259","2008-01-11",12.07
"260","2008-01-14",12.04
"261","2008-01-15",11.86
"262","2008-01-16",12.79
"263","2008-01-17",12.02
"264","2008-01-18",11.91
"265","2008-01-22",11.57
"266","2008-01-23",11.94
"267","2008-01-24",11.93
"268","2008-01-25",11.94
"269","2008-01-28",12.15
"270","2008-01-29",12.25
"271","2008-01-30",12.33
"272","2008-01-31",12.4
"273","2008-02-01",12.2
"274","2008-02-04",12.15
"275","2008-02-05",12.04
"276","2008-02-06",12.06
"277","2008-02-07",11.55
"278","2008-02-08",11.28
"279","2008-02-11",10.98
"280","2008-02-12",11.11
"281","2008-02-13",11.66
"282","2008-02-14",11.71
"283","2008-02-15",11.68
"284","2008-02-19",13.58
"285","2008-02-20",13.93
"286","2008-02-21",13.44
"287","2008-02-22",13.15
"288","2008-02-25",13.26
"289","2008-02-26",13.12
"290","2008-02-27",13.1
"291","2008-02-28",13.17
"292","2008-02-29",13.06
"293","2008-03-03",13.34
"294","2008-03-04",12.81
"295","2008-03-05",13.12
"296","2008-03-06",12.6
"297","2008-03-07",12.72
"298","2008-03-10",12.53
"299","2008-03-11",12.92
"300","2008-03-12",12.67
"301","2008-03-13",12.44
"302","2008-03-14",12.27
"303","2008-03-17",11.76
"304","2008-03-18",11.84
"305","2008-03-19",12.19
"306","2008-03-20",12.03
"307","2008-03-24",12.23
"308","2008-03-25",12.65
"309","2008-03-26",12.55
"310","2008-03-27",12.75
"311","2008-03-28",12.63
"312","2008-03-31",12.81
"313","2008-04-01",12.98
"314","2008-04-02",12.74
"315","2008-04-03",12.92
"316","2008-04-04",12.65
"317","2008-04-07",12.7
"318","2008-04-08",12.48
"319","2008-04-09",12.36
"320","2008-04-10",12.25
"321","2008-04-11",12.33
"322","2008-04-14",12.13
"323","2008-04-15",12.22
"324","2008-04-16",12.31
"325","2008-04-17",12.18
"326","2008-04-18",12.31
"327","2008-04-21",12.44
"328","2008-04-22",12.36
"329","2008-04-23",12.21
"330","2008-04-24",12.67
"331","2008-04-25",12.79
"332","2008-04-28",12.8
"333","2008-04-29",12.82
"334","2008-04-30",12.75
"335","2008-05-01",12.54
"336","2008-05-02",12.7
"337","2008-05-05",12.75
"338","2008-05-06",11.88
"339","2008-05-07",11.87
"340","2008-05-08",12.01
"341","2008-05-09",11.79
"342","2008-05-12",11.75
"343","2008-05-13",11.49
"344","2008-05-14",11.5
"345","2008-05-15",11.19
"346","2008-05-16",11.38
"347","2008-05-19",11.18
"348","2008-05-20",11.08
"349","2008-05-21",10.6
"350","2008-05-22",10.71
"351","2008-05-23",10.63
"352","2008-05-27",10.54
"353","2008-05-28",10.41
"354","2008-05-29",10.55
"355","2008-05-30",10.27
"356","2008-06-02",10.37
"357","2008-06-03",10.16
"358","2008-06-04",9.87
"359","2008-06-05",10.26
"360","2008-06-06",9.94
"361","2008-06-09",9.67
"362","2008-06-10",9.94
"363","2008-06-11",9.74
"364","2008-06-12",9.93
"365","2008-06-13",9.5
"366","2008-06-16",9.96
"367","2008-06-17",9.49
"368","2008-06-18",9.64
"369","2008-06-19",9.42
"370","2008-06-20",9.43
"371","2008-06-23",9.3
"372","2008-06-24",9.22
"373","2008-06-25",9.14
"374","2008-06-26",9.06
"375","2008-06-27",8.78
"376","2008-06-30",8.17
"377","2008-07-01",8.16
"378","2008-07-02",8.01
"379","2008-07-03",8.34
"380","2008-07-07",8.69
"381","2008-07-08",8.88
"382","2008-07-09",8.46
"383","2008-07-10",8.5
"384","2008-07-11",8.6
"385","2008-07-14",8.65
"386","2008-07-15",8.65
"387","2008-07-16",8.41
"388","2008-07-17",8.55
