"","date","PLAY"
"1","2014-10-10",17.280001
"2","2014-10-13",17.5
"3","2014-10-14",17.290001
"4","2014-10-15",17.200001
"5","2014-10-16",17.48
"6","2014-10-17",17.809999
"7","2014-10-20",18.389999
"8","2014-10-21",18.91
"9","2014-10-22",18.889999
"10","2014-10-23",18.93
"11","2014-10-24",18.809999
"12","2014-10-27",19.530001
"13","2014-10-28",19.25
"14","2014-10-29",19.1
"15","2014-10-30",19.379999
"16","2014-10-31",19.66
"17","2014-11-03",20.07
"18","2014-11-04",21.09
"19","2014-11-05",20.879999
"20","2014-11-06",20.610001
"21","2014-11-07",21.299999
"22","2014-11-10",22.059999
"23","2014-11-11",21.879999
"24","2014-11-12",21.73
"25","2014-11-13",22.129999
"26","2014-11-14",22.58
"27","2014-11-17",22.620001
"28","2014-11-18",22.01
"29","2014-11-19",21.33
"30","2014-11-20",21.51
"31","2014-11-21",21.940001
"32","2014-11-24",21.889999
"33","2014-11-25",21.49
"34","2014-11-26",22.32
"35","2014-11-28",22.92
"36","2014-12-01",23
"37","2014-12-02",23.129999
"38","2014-12-03",23.26
"39","2014-12-04",23.709999
"40","2014-12-05",23.65
"41","2014-12-08",23.23
"42","2014-12-09",23.59
"43","2014-12-10",23.66
"44","2014-12-11",23.57
"45","2014-12-12",22.690001
"46","2014-12-15",21.59
"47","2014-12-16",21.629999
"48","2014-12-17",24.18
"49","2014-12-18",25.58
"50","2014-12-19",24.809999
"51","2014-12-22",25.57
"52","2014-12-23",25.83
"53","2014-12-24",25.66
"54","2014-12-26",26.26
"55","2014-12-29",26.83
"56","2014-12-30",26.950001
"57","2014-12-31",27.299999
"58","2015-01-02",26.18
"59","2015-01-05",25.610001
"60","2015-01-06",26.690001
"61","2015-01-07",27.84
"62","2015-01-08",27.459999
"63","2015-01-09",27.41
"64","2015-01-12",28.370001
"65","2015-01-13",30.48
"66","2015-01-14",30.82
"67","2015-01-15",30.42
"68","2015-01-16",29.84
"69","2015-01-20",28.99
"70","2015-01-21",28.450001
"71","2015-01-22",28.08
"72","2015-01-23",28.129999
"73","2015-01-26",28.18
"74","2015-01-27",28.290001
"75","2015-01-28",28.6
"76","2015-01-29",28.68
"77","2015-01-30",28.74
"78","2015-02-02",27.92
"79","2015-02-03",28.99
"80","2015-02-04",30.209999
"81","2015-02-05",30.51
"82","2015-02-06",29.790001
"83","2015-02-09",29.860001
"84","2015-02-10",29.92
"85","2015-02-11",29.91
"86","2015-02-12",29.629999
"87","2015-02-13",29.51
"88","2015-02-17",29.51
"89","2015-02-18",30.440001
"90","2015-02-19",30.549999
"91","2015-02-20",30.48
"92","2015-02-23",30.280001
"93","2015-02-24",30.08
"94","2015-02-25",31.450001
"95","2015-02-26",32.080002
"96","2015-02-27",31.200001
"97","2015-03-02",31.67
"98","2015-03-03",31.65
"99","2015-03-04",30.940001
"100","2015-03-05",31.83
"101","2015-03-06",30.870001
"102","2015-03-09",31.440001
"103","2015-03-10",31.459999
"104","2015-03-11",30.35
"105","2015-03-12",31.280001
"106","2015-03-13",30.959999
"107","2015-03-16",31.040001
"108","2015-03-17",31.07
