"","date","CODX"
"1","2017-07-12",5.81
"2","2017-07-13",5.6
"3","2017-07-14",5.605
"4","2017-07-17",5.47
"5","2017-07-18",4.94
"6","2017-07-19",4.94
"7","2017-07-20",4.87
"8","2017-07-21",4.58
"9","2017-07-24",4.49
"10","2017-07-25",4.7
"11","2017-07-26",4.6
"12","2017-07-27",4.4
"13","2017-07-28",4.42
"14","2017-07-31",4.23
"15","2017-08-01",3.98
"16","2017-08-02",3.85
"17","2017-08-03",4.36
"18","2017-08-04",4.29
"19","2017-08-07",3.97
"20","2017-08-08",3.85
"21","2017-08-09",3.93
"22","2017-08-10",3.91
"23","2017-08-11",3.85
"24","2017-08-14",4.2
"25","2017-08-15",4.9
"26","2017-08-16",5
"27","2017-08-17",4.86
"28","2017-08-18",4.9
"29","2017-08-21",4.81
"30","2017-08-22",4.98
"31","2017-08-23",4.7
"32","2017-08-24",4.66
"33","2017-08-25",4.51
"34","2017-08-28",4.81
"35","2017-08-29",5.07
"36","2017-08-30",5.1
"37","2017-08-31",5.58
"38","2017-09-01",5.68
"39","2017-09-05",5.96
"40","2017-09-06",5.94
"41","2017-09-07",5.6
"42","2017-09-08",5.75
"43","2017-09-11",5.98
"44","2017-09-12",5.84
"45","2017-09-13",5.67
"46","2017-09-14",5.61
"47","2017-09-15",5.25
"48","2017-09-18",5.45
"49","2017-09-19",6.12
"50","2017-09-20",6.09
"51","2017-09-21",6.3
"52","2017-09-22",6.01
"53","2017-09-25",6.02
"54","2017-09-26",5.855
"55","2017-09-27",6.02
"56","2017-09-28",6.12
"57","2017-09-29",6.25
"58","2017-10-02",6.07
"59","2017-10-03",5.62
"60","2017-10-04",5.69
"61","2017-10-05",5.69
"62","2017-10-06",5.68
"63","2017-10-09",5.55
"64","2017-10-10",5.6
"65","2017-10-11",5.55
"66","2017-10-12",5.75
"67","2017-10-13",5.72
"68","2017-10-16",5.879
"69","2017-10-17",5.96
"70","2017-10-18",5.94
"71","2017-10-19",6.01
"72","2017-10-20",6.14
"73","2017-10-23",6.35
"74","2017-10-24",6.72
"75","2017-10-25",6.35
"76","2017-10-26",5.86
"77","2017-10-27",6
"78","2017-10-30",5.7
"79","2017-10-31",5.82
"80","2017-11-01",5.61
"81","2017-11-02",5.66
"82","2017-11-03",5.59
"83","2017-11-06",5.66
"84","2017-11-07",5.46
"85","2017-11-08",5.53
"86","2017-11-09",5.15
"87","2017-11-10",5.26
"88","2017-11-13",5.65
