"","date","NHLD"
"1","2007-01-03",16.5
"2","2007-01-04",16
"3","2007-01-05",15.5
"4","2007-01-08",15
"5","2007-01-09",16
"6","2007-01-10",15.5
"7","2007-01-11",16
"8","2007-01-12",15.5
"9","2007-01-16",15.5
"10","2007-01-17",15.5
"11","2007-01-18",15.5
"12","2007-01-19",15
"13","2007-01-22",15
"14","2007-01-23",15
"15","2007-01-24",15
"16","2007-01-25",15
"17","2007-01-26",15
"18","2007-01-29",14
"19","2007-01-30",15
"20","2007-01-31",15
"21","2007-02-01",14
"22","2007-02-02",14
"23","2007-02-05",14
"24","2007-02-06",14
"25","2007-02-07",14
"26","2007-02-08",14
"27","2007-02-09",14
"28","2007-02-12",14
"29","2007-02-13",14
"30","2007-02-14",14
"31","2007-02-15",15.5
"32","2007-02-16",15.5
"33","2007-02-20",14
"34","2007-02-21",16
"35","2007-02-22",16
"36","2007-02-23",14.1
"37","2007-02-26",16
"38","2007-02-27",16.5
"39","2007-02-28",18
"40","2007-03-01",17.5
"41","2007-03-02",17.5
"42","2007-03-05",17.5
"43","2007-03-06",16.5
"44","2007-03-07",16
"45","2007-03-08",15.5
"46","2007-03-09",16
"47","2007-03-12",15.5
"48","2007-03-13",15
"49","2007-03-14",15.5
"50","2007-03-15",15
"51","2007-03-16",14.8
"52","2007-03-19",15.5
"53","2007-03-20",15.5
"54","2007-03-21",15.4
"55","2007-03-22",15.4
"56","2007-03-23",15.4
"57","2007-03-26",15
"58","2007-03-27",15
"59","2007-03-28",15
"60","2007-03-29",15
"61","2007-03-30",16.5
"62","2007-04-02",16.5
"63","2007-04-03",16.5
"64","2007-04-04",16.5
"65","2007-04-05",15.6
"66","2007-04-09",16.5
"67","2007-04-10",16.5
"68","2007-04-11",17
"69","2007-04-12",17
"70","2007-04-13",17
"71","2007-04-16",17.4
"72","2007-04-17",17.299999
"73","2007-04-18",17.5
"74","2007-04-19",18
"75","2007-04-20",16.4
"76","2007-04-23",17
"77","2007-04-24",16.5
"78","2007-04-25",16.5
"79","2007-04-26",17.5
"80","2007-04-27",18
"81","2007-04-30",18
"82","2007-05-01",17
"83","2007-05-02",17
"84","2007-05-03",17
"85","2007-05-04",17
"86","2007-05-07",16.5
"87","2007-05-08",16.5
"88","2007-05-09",16.4
"89","2007-05-10",16.4
"90","2007-05-11",16.4
"91","2007-05-14",16
"92","2007-05-15",16
"93","2007-05-16",16
"94","2007-05-17",16
"95","2007-05-18",16
"96","2007-05-21",16
"97","2007-05-22",16
"98","2007-05-23",17.5
"99","2007-05-24",18.5
"100","2007-05-25",18
"101","2007-05-29",18.5
"102","2007-05-30",18.5
"103","2007-05-31",22.5
"104","2007-06-01",20.4
"105","2007-06-04",22.5
"106","2007-06-05",23
"107","2007-06-06",23.5
"108","2007-06-07",23.5
"109","2007-06-08",23.799999
"110","2007-06-11",23.799999
"111","2007-06-12",20.799999
"112","2007-06-13",29.5
