"","date","TH"
"1","2018-03-12",9.85
"2","2018-03-13",9.85
"3","2018-03-14",9.85
"4","2018-03-15",9.85
"5","2018-03-16",9.85
"6","2018-03-19",9.85
"7","2018-03-20",9.85
"8","2018-03-21",9.85
"9","2018-03-22",9.85
"10","2018-03-23",9.85
"11","2018-03-26",9.85
"12","2018-03-27",9.85
"13","2018-03-28",9.85
"14","2018-03-29",9.85
"15","2018-04-02",9.85
"16","2018-04-03",9.85
"17","2018-04-04",9.85
"18","2018-04-05",9.85
"19","2018-04-06",9.85
"20","2018-04-09",9.85
"21","2018-04-10",9.85
"22","2018-04-11",9.85
"23","2018-04-12",9.85
"24","2018-04-13",9.85
"25","2018-04-16",9.85
"26","2018-04-17",9.85
"27","2018-04-18",9.6
"28","2018-04-19",9.6
"29","2018-04-20",9.6
"30","2018-04-23",9.6
"31","2018-04-24",9.85
"32","2018-04-25",9.85
"33","2018-04-26",9.85
"34","2018-04-27",9.85
"35","2018-04-30",9.87
"36","2018-05-01",9.95
"37","2018-05-02",9.95
"38","2018-05-03",9.815
"39","2018-05-04",9.815
"40","2018-05-07",9.876
"41","2018-05-08",9.876
"42","2018-05-09",9.876
"43","2018-05-10",9.86
"44","2018-05-11",9.84
"45","2018-05-14",9.8
"46","2018-05-15",9.8
"47","2018-05-16",9.75
"48","2018-05-17",9.75
"49","2018-05-18",9.9
"50","2018-05-21",9.8
"51","2018-05-22",9.8
"52","2018-05-23",9.8
"53","2018-05-24",9.8
"54","2018-05-25",9.8
"55","2018-05-29",9.8
"56","2018-05-30",9.8
"57","2018-05-31",9.8
"58","2018-06-01",9.75
"59","2018-06-04",9.75
"60","2018-06-05",9.75
"61","2018-06-06",9.73
"62","2018-06-07",9.73
"63","2018-06-08",9.73
"64","2018-06-11",9.73
"65","2018-06-12",9.73
"66","2018-06-13",9.73
"67","2018-06-14",9.73
"68","2018-06-15",9.73
"69","2018-06-18",9.74
"70","2018-06-19",9.73
"71","2018-06-20",9.73
"72","2018-06-21",9.73
"73","2018-06-22",9.73
"74","2018-06-25",9.73
"75","2018-06-26",9.73
"76","2018-06-27",9.73
"77","2018-06-28",9.8
"78","2018-06-29",9.72
"79","2018-07-02",9.72
"80","2018-07-03",9.72
"81","2018-07-05",9.72
"82","2018-07-06",9.72
"83","2018-07-09",9.72
"84","2018-07-10",9.72
"85","2018-07-11",9.72
"86","2018-07-12",9.73
"87","2018-07-13",9.73
"88","2018-07-16",9.73
"89","2018-07-17",9.77
"90","2018-07-18",9.77
"91","2018-07-19",9.77
"92","2018-07-20",9.74
"93","2018-07-23",9.74
"94","2018-07-24",9.74
"95","2018-07-25",9.74
"96","2018-07-26",9.75
"97","2018-07-27",9.75
"98","2018-07-30",9.75
"99","2018-07-31",9.75
"100","2018-08-01",9.79
"101","2018-08-02",9.79
"102","2018-08-03",9.79
"103","2018-08-06",9.76
"104","2018-08-07",9.76
"105","2018-08-08",9.76
"106","2018-08-09",9.76
"107","2018-08-10",9.8
"108","2018-08-13",9.85
"109","2018-08-14",9.85
"110","2018-08-15",9.85
"111","2018-08-16",9.85
"112","2018-08-17",9.85
"113","2018-08-20",9.85
"114","2018-08-21",9.85
"115","2018-08-22",9.85
"116","2018-08-23",9.85
"117","2018-08-24",9.85
"118","2018-08-27",9.85
"119","2018-08-28",9.8
"120","2018-08-29",9.8
"121","2018-08-30",9.8
"122","2018-08-31",9.8
"123","2018-09-04",9.82
"124","2018-09-05",9.82
"125","2018-09-06",9.82
"126","2018-09-07",9.82
"127","2018-09-10",9.82
"128","2018-09-11",9.82
"129","2018-09-12",9.82
"130","2018-09-13",9.83
"131","2018-09-14",9.84
"132","2018-09-17",9.76
"133","2018-09-18",9.76
"134","2018-09-19",9.8
"135","2018-09-20",9.8
"136","2018-09-21",9.79
"137","2018-09-24",9.84
"138","2018-09-25",9.847
"139","2018-09-26",9.82
"140","2018-09-27",9.82
"141","2018-09-28",9.82
"142","2018-10-01",9.83
"143","2018-10-02",9.83
"144","2018-10-03",9.85
"145","2018-10-04",9.85
"146","2018-10-05",9.85
"147","2018-10-08",9.85
"148","2018-10-09",9.85
"149","2018-10-10",9.85
"150","2018-10-11",9.86
"151","2018-10-12",9.86
"152","2018-10-15",9.86
"153","2018-10-16",9.86
"154","2018-10-17",9.86
"155","2018-10-18",9.86
"156","2018-10-19",9.7
"157","2018-10-22",9.88
"158","2018-10-23",9.88
"159","2018-10-24",9.88
"160","2018-10-25",9.88
"161","2018-10-26",9.86
"162","2018-10-29",9.87
"163","2018-10-30",9.85
"164","2018-10-31",9.87
"165","2018-11-01",9.88
"166","2018-11-02",9.88
"167","2018-11-05",9.89
"168","2018-11-06",9.89
"169","2018-11-07",9.9
"170","2018-11-08",9.9
"171","2018-11-09",9.9
"172","2018-11-12",9.9
"173","2018-11-13",9.91
"174","2018-11-14",10.1
"175","2018-11-15",10.14
"176","2018-11-16",10.14
"177","2018-11-19",10.13
"178","2018-11-20",10.12
"179","2018-11-21",10.01
"180","2018-11-23",10.11
"181","2018-11-26",10.08
"182","2018-11-27",10.1
"183","2018-11-28",10.095
"184","2018-11-29",10.09
"185","2018-11-30",10.06
"186","2018-12-03",10.09
"187","2018-12-04",10.05
"188","2018-12-06",10.04
"189","2018-12-07",10.05
"190","2018-12-10",10.01
"191","2018-12-11",10.04
"192","2018-12-12",10.04
"193","2018-12-13",10.05
"194","2018-12-14",10.05
"195","2018-12-17",10.06
"196","2018-12-18",10.06
"197","2018-12-19",10.05
"198","2018-12-20",10.05
"199","2018-12-21",10.05
"200","2018-12-24",10.1
"201","2018-12-26",10.085
"202","2018-12-27",10.085
"203","2018-12-28",10
"204","2018-12-31",10.08
"205","2019-01-02",10.077
"206","2019-01-03",10.05
"207","2019-01-04",10.07
"208","2019-01-07",10.08
"209","2019-01-08",10.07
"210","2019-01-09",10.08
"211","2019-01-10",10.08
"212","2019-01-11",10.1
"213","2019-01-14",10.14
"214","2019-01-15",10.14
"215","2019-01-16",10.15
"216","2019-01-17",10.13
"217","2019-01-18",10.15
"218","2019-01-22",10.14
"219","2019-01-23",10.13
"220","2019-01-24",10.15
"221","2019-01-25",10.15
"222","2019-01-28",10.16
