"","date","MTLS"
"1","2014-06-25",11.55
"2","2014-06-26",11.9
"3","2014-06-27",11.92
"4","2014-06-30",11.5
"5","2014-07-01",13.55
"6","2014-07-02",13.52
"7","2014-07-03",14.28
"8","2014-07-07",14.46
"9","2014-07-08",14.1
"10","2014-07-09",14.02
"11","2014-07-10",12.8
"12","2014-07-11",12.86
"13","2014-07-14",12.84
"14","2014-07-15",11.81
"15","2014-07-16",11.79
"16","2014-07-17",11.81
"17","2014-07-18",12.46
"18","2014-07-21",12.56
"19","2014-07-22",12.36
"20","2014-07-23",11.89
"21","2014-07-24",12.23
"22","2014-07-25",12
"23","2014-07-28",11.96
"24","2014-07-29",11.97
"25","2014-07-30",11.98
"26","2014-07-31",11.32
"27","2014-08-01",10.72
"28","2014-08-04",10.81
"29","2014-08-05",10.86
"30","2014-08-06",11.37
"31","2014-08-07",12.01
"32","2014-08-08",11.86
"33","2014-08-11",12.09
"34","2014-08-12",12.02
"35","2014-08-13",13.21
"36","2014-08-14",11.68
"37","2014-08-15",11.72
"38","2014-08-18",11.85
"39","2014-08-19",11.7
"40","2014-08-20",11.86
"41","2014-08-21",11.75
"42","2014-08-22",12.1
"43","2014-08-25",12.35
"44","2014-08-26",12.53
"45","2014-08-27",12.36
"46","2014-08-28",12.34
"47","2014-08-29",12.52
"48","2014-09-02",12.78
"49","2014-09-03",12.38
"50","2014-09-04",12.28
"51","2014-09-05",12.06
"52","2014-09-08",11.51
"53","2014-09-09",11.43
"54","2014-09-10",11.62
"55","2014-09-11",11.96
"56","2014-09-12",11.93
"57","2014-09-15",11.37
"58","2014-09-16",11.2
"59","2014-09-17",10.94
"60","2014-09-18",10.54
"61","2014-09-19",10.25
"62","2014-09-22",11.54
"63","2014-09-23",11.09
"64","2014-09-24",11.46
"65","2014-09-25",11.09
"66","2014-09-26",10.8
"67","2014-09-29",11.1
"68","2014-09-30",11.23
"69","2014-10-01",11
"70","2014-10-02",10.97
"71","2014-10-03",11.06
"72","2014-10-06",10.97
"73","2014-10-07",10.98
"74","2014-10-08",10.55
"75","2014-10-09",10.48
"76","2014-10-10",9.65
"77","2014-10-13",9.22
"78","2014-10-14",9.34
"79","2014-10-15",9.8
"80","2014-10-16",9.89
"81","2014-10-17",10.06
"82","2014-10-20",9.88
"83","2014-10-21",10.21
"84","2014-10-22",10.19
"85","2014-10-23",9.76
"86","2014-10-24",10.09
"87","2014-10-27",10.33
"88","2014-10-28",10.71
"89","2014-10-29",11.21
"90","2014-10-30",11.23
"91","2014-10-31",11.01
"92","2014-11-03",10.49
"93","2014-11-04",9.88
"94","2014-11-05",10.11
"95","2014-11-06",10
"96","2014-11-07",10.03
"97","2014-11-10",10.15
"98","2014-11-11",10.27
"99","2014-11-12",11.16
"100","2014-11-13",11.02
"101","2014-11-14",10.78
"102","2014-11-17",11.04
"103","2014-11-18",10.4
"104","2014-11-19",10.41
"105","2014-11-20",9.91
"106","2014-11-21",9.91
"107","2014-11-24",10.4
"108","2014-11-25",10.05
"109","2014-11-26",10.1
"110","2014-11-28",10.18
"111","2014-12-01",10.18
"112","2014-12-02",10.13
"113","2014-12-03",9.98
"114","2014-12-04",9.97
"115","2014-12-05",9.96
"116","2014-12-08",9.55
"117","2014-12-09",9.01
"118","2014-12-10",9
"119","2014-12-11",8.41
"120","2014-12-12",8.11
"121","2014-12-15",8.27
"122","2014-12-16",8.02
"123","2014-12-17",8.38
"124","2014-12-18",9.03
"125","2014-12-19",9.15
"126","2014-12-22",9.13
"127","2014-12-23",9.2
"128","2014-12-24",9.12
"129","2014-12-26",9.54
"130","2014-12-29",9.71
"131","2014-12-30",9.74
"132","2014-12-31",9.52
"133","2015-01-02",9.57
"134","2015-01-05",9.24
"135","2015-01-06",9.13
"136","2015-01-07",9.17
"137","2015-01-08",9.75
"138","2015-01-09",9.57
"139","2015-01-12",9.71
"140","2015-01-13",9.83
"141","2015-01-14",9.93
"142","2015-01-15",9.7
"143","2015-01-16",9.89
"144","2015-01-20",9.95
"145","2015-01-21",9.5
"146","2015-01-22",9.68
"147","2015-01-23",9.6
"148","2015-01-26",9.54
"149","2015-01-27",9.55
"150","2015-01-28",9.32
"151","2015-01-29",8.94
"152","2015-01-30",8.77
"153","2015-02-02",8.61
"154","2015-02-03",8.55
"155","2015-02-04",8.3
"156","2015-02-05",8.11
"157","2015-02-06",8.12
"158","2015-02-09",7.71
"159","2015-02-10",7.76
"160","2015-02-11",7.78
"161","2015-02-12",8.13
"162","2015-02-13",8.17
"163","2015-02-17",8.15
"164","2015-02-18",7.96
"165","2015-02-19",7.99
"166","2015-02-20",8
"167","2015-02-23",7.88
"168","2015-02-24",7.89
"169","2015-02-25",8.02
"170","2015-02-26",7.83
"171","2015-02-27",8.03
"172","2015-03-02",7.74
"173","2015-03-03",7.68
"174","2015-03-04",7.59
"175","2015-03-05",7.8
"176","2015-03-06",7.81
"177","2015-03-09",7.61
"178","2015-03-10",7.42
"179","2015-03-11",7.03
"180","2015-03-12",6.71
"181","2015-03-13",6.72
"182","2015-03-16",6.7
"183","2015-03-17",6.88
"184","2015-03-18",6.8
"185","2015-03-19",6.77
"186","2015-03-20",7.05
"187","2015-03-23",7.03
"188","2015-03-24",6.99
"189","2015-03-25",6.84
"190","2015-03-26",6.83
"191","2015-03-27",6.8
"192","2015-03-30",6.98
"193","2015-03-31",6.99
"194","2015-04-01",6.94
"195","2015-04-02",6.99
"196","2015-04-06",6.85
"197","2015-04-07",7.03
"198","2015-04-08",7
"199","2015-04-09",6.87
"200","2015-04-10",6.67
"201","2015-04-13",6.58
"202","2015-04-14",6.49
"203","2015-04-15",6.6
"204","2015-04-16",6.68
"205","2015-04-17",6.82
"206","2015-04-20",6.75
"207","2015-04-21",6.65
"208","2015-04-22",6.89
"209","2015-04-23",7.13
"210","2015-04-24",7.27
"211","2015-04-27",7.37
"212","2015-04-28",7.6
"213","2015-04-29",7.32
"214","2015-04-30",7.39
"215","2015-05-01",7.21
"216","2015-05-04",7.32
"217","2015-05-05",7.21
"218","2015-05-06",7.11
"219","2015-05-07",6.89
"220","2015-05-08",6.88
"221","2015-05-11",6.86
"222","2015-05-12",6.92
"223","2015-05-13",7.53
"224","2015-05-14",7.86
"225","2015-05-15",7.71
"226","2015-05-18",7.97
"227","2015-05-19",7.84
"228","2015-05-20",7.73
"229","2015-05-21",7.64
"230","2015-05-22",7.65
"231","2015-05-26",7.68
"232","2015-05-27",7.72
"233","2015-05-28",8
"234","2015-05-29",8.22
"235","2015-06-01",8.47
"236","2015-06-02",8.42
"237","2015-06-03",8.9
"238","2015-06-04",8.91
"239","2015-06-05",8.63
"240","2015-06-08",8.63
"241","2015-06-09",8.66
"242","2015-06-10",8.9
"243","2015-06-11",8.67
"244","2015-06-12",8.66
"245","2015-06-15",8.6
"246","2015-06-16",8.57
"247","2015-06-17",8.52
"248","2015-06-18",8.52
"249","2015-06-19",8.54
"250","2015-06-22",8.94
"251","2015-06-23",8.89
"252","2015-06-24",8.91
"253","2015-06-25",9.25
"254","2015-06-26",9.19
"255","2015-06-29",9.03
"256","2015-06-30",9.1
"257","2015-07-01",9.1
"258","2015-07-02",9.59
"259","2015-07-06",9.12
"260","2015-07-07",8.92
"261","2015-07-08",9.06
"262","2015-07-09",9.05
"263","2015-07-10",9.2
"264","2015-07-13",9.44
"265","2015-07-14",9.85
"266","2015-07-15",9.79
"267","2015-07-16",9.87
"268","2015-07-17",9.73
"269","2015-07-20",9.91
"270","2015-07-21",9.63
"271","2015-07-22",9.3
"272","2015-07-23",9.15
"273","2015-07-24",9.25
"274","2015-07-27",9.18
"275","2015-07-28",9.12
"276","2015-07-29",9.15
"277","2015-07-30",8.98
"278","2015-07-31",8.76
"279","2015-08-03",8.5
"280","2015-08-04",8.29
