"","date","IDXG"
"1","2007-01-03",1053
"2","2007-01-04",1068
"3","2007-01-05",1039
"4","2007-01-08",1068
"5","2007-01-09",1039
"6","2007-01-10",1019
"7","2007-01-11",1055
"8","2007-01-12",1044
"9","2007-01-16",1043
"10","2007-01-17",1023
"11","2007-01-18",1030
"12","2007-01-19",1023
"13","2007-01-22",1031
"14","2007-01-23",1020
"15","2007-01-24",1031
"16","2007-01-25",1028
"17","2007-01-26",985
"18","2007-01-29",998
"19","2007-01-30",986
"20","2007-01-31",975
"21","2007-02-01",959
"22","2007-02-02",981
"23","2007-02-05",987
"24","2007-02-06",987
"25","2007-02-07",983
"26","2007-02-08",999
"27","2007-02-09",988
"28","2007-02-12",987
"29","2007-02-13",965
"30","2007-02-14",1019
"31","2007-02-15",997
"32","2007-02-16",1010
"33","2007-02-20",1029
"34","2007-02-21",1030
"35","2007-02-22",1020
"36","2007-02-23",1046
"37","2007-02-26",1030
"38","2007-02-27",1021
"39","2007-02-28",1010
"40","2007-03-01",1024
"41","2007-03-02",1023
"42","2007-03-05",1027
"43","2007-03-06",1026
"44","2007-03-07",1014
"45","2007-03-08",1009
"46","2007-03-09",993
"47","2007-03-12",990
"48","2007-03-13",994
"49","2007-03-14",987
"50","2007-03-15",1009
"51","2007-03-16",1000
"52","2007-03-19",1000
"53","2007-03-20",1025
"54","2007-03-21",1044
"55","2007-03-22",943
"56","2007-03-23",958
"57","2007-03-26",954
"58","2007-03-27",947
"59","2007-03-28",928
"60","2007-03-29",973
"61","2007-03-30",952
"62","2007-04-02",980
"63","2007-04-03",981
"64","2007-04-04",953
"65","2007-04-05",933
"66","2007-04-09",938
"67","2007-04-10",919
"68","2007-04-11",938
"69","2007-04-12",917
"70","2007-04-13",925
"71","2007-04-16",931
"72","2007-04-17",950
"73","2007-04-18",930
"74","2007-04-19",925
"75","2007-04-20",936
"76","2007-04-23",938
"77","2007-04-24",941
"78","2007-04-25",928
"79","2007-04-26",918
"80","2007-04-27",921
"81","2007-04-30",919
"82","2007-05-01",930
"83","2007-05-02",935
"84","2007-05-03",940
"85","2007-05-04",943
"86","2007-05-07",941
"87","2007-05-08",936
"88","2007-05-09",961
"89","2007-05-10",982
"90","2007-05-11",998
"91","2007-05-14",967
"92","2007-05-15",967
"93","2007-05-16",969
"94","2007-05-17",963
