"","date","FVAC"
"1","2020-06-22",10
"2","2020-06-23",9.91
"3","2020-06-24",9.78
"4","2020-06-25",9.9
"5","2020-06-26",9.94
"6","2020-06-29",9.969
"7","2020-06-30",9.97
"8","2020-07-01",9.97
"9","2020-07-02",10
"10","2020-07-06",9.9
"11","2020-07-07",10.05
"12","2020-07-08",9.98
"13","2020-07-09",10
"14","2020-07-10",10.02
"15","2020-07-13",10
"16","2020-07-14",10
"17","2020-07-15",10.99
"18","2020-07-16",10.7
"19","2020-07-17",10.93
"20","2020-07-20",11.28
"21","2020-07-21",12.4
"22","2020-07-22",14.88
"23","2020-07-23",14.44
"24","2020-07-24",13.65
"25","2020-07-27",13.09
"26","2020-07-28",12.63
"27","2020-07-29",12.1
"28","2020-07-30",12.12
"29","2020-07-31",11.8
"30","2020-08-03",11.65
"31","2020-08-04",11.63
"32","2020-08-05",12
"33","2020-08-06",11.75
"34","2020-08-07",11.46
"35","2020-08-10",12.28
"36","2020-08-11",12.1
"37","2020-08-12",11.9
"38","2020-08-13",12.2
"39","2020-08-14",12.17
"40","2020-08-17",12.2
"41","2020-08-18",12
"42","2020-08-19",12.17
"43","2020-08-20",12.24
"44","2020-08-21",12
"45","2020-08-24",12.04
"46","2020-08-25",12.03
"47","2020-08-26",12
"48","2020-08-27",12.7
"49","2020-08-28",13.46
"50","2020-08-31",13.5
"51","2020-09-01",13.4
"52","2020-09-02",14.29
"53","2020-09-03",14.6
"54","2020-09-04",15.16
"55","2020-09-08",15.11
"56","2020-09-09",14.5
"57","2020-09-10",14.02
"58","2020-09-11",14
"59","2020-09-14",14.6
"60","2020-09-15",15.34
"61","2020-09-16",15.2
"62","2020-09-17",14.79
"63","2020-09-18",15.05
"64","2020-09-21",14.5
"65","2020-09-22",14.25
"66","2020-09-23",13.5
"67","2020-09-24",13.89
"68","2020-09-25",14.1
"69","2020-09-28",14.15
"70","2020-09-29",13.98
"71","2020-09-30",13.58
"72","2020-10-01",14.24
"73","2020-10-02",14
"74","2020-10-05",14.19
"75","2020-10-06",13.53
"76","2020-10-07",13.69
"77","2020-10-08",13.62
"78","2020-10-09",13.9
"79","2020-10-12",14.32
"80","2020-10-13",13.66
"81","2020-10-14",13.45
"82","2020-10-15",14
"83","2020-10-16",13.88
"84","2020-10-19",14.01
"85","2020-10-20",13.78
"86","2020-10-21",13.7
"87","2020-10-22",13.42
"88","2020-10-23",13.35
"89","2020-10-26",12.8
"90","2020-10-27",12.21
"91","2020-10-28",11.23
"92","2020-10-29",11.39
"93","2020-10-30",11.11
"94","2020-11-02",11.08
"95","2020-11-03",11.46
"96","2020-11-04",11.53
"97","2020-11-05",11.93
"98","2020-11-06",11.79
"99","2020-11-09",11.46
"100","2020-11-10",12.4
"101","2020-11-11",13.29
"102","2020-11-12",13.66
"103","2020-11-13",13.89
"104","2020-11-16",14
"105","2020-11-17",14.39
"106","2020-11-18",NA
"107","2020-11-19",NA
"108","2020-11-20",NA
"109","2020-11-23",NA
"110","2020-11-24",NA
"111","2020-11-25",NA
