"","date","HLI"
"1","2015-08-13",22.4
"2","2015-08-14",22.75
"3","2015-08-17",22.450001
"4","2015-08-18",22.5
"5","2015-08-19",22.1
"6","2015-08-20",22
"7","2015-08-21",21.690001
"8","2015-08-24",21.120001
"9","2015-08-25",21.5
"10","2015-08-26",21.42
"11","2015-08-27",21.82
"12","2015-08-28",21.43
"13","2015-08-31",22
"14","2015-09-01",22.040001
"15","2015-09-02",22.75
"16","2015-09-03",22.610001
"17","2015-09-04",22.35
"18","2015-09-08",21.9
"19","2015-09-09",21.969999
"20","2015-09-10",21.950001
"21","2015-09-11",21.690001
"22","2015-09-14",21.280001
"23","2015-09-15",21.92
"24","2015-09-16",21.799999
"25","2015-09-17",21.879999
"26","2015-09-18",21.969999
"27","2015-09-21",21.950001
"28","2015-09-22",22.24
"29","2015-09-23",22.27
"30","2015-09-24",21.99
"31","2015-09-25",21.379999
"32","2015-09-28",20.93
"33","2015-09-29",21.209999
"34","2015-09-30",21.799999
"35","2015-10-01",21.879999
"36","2015-10-02",21.49
"37","2015-10-05",22.469999
"38","2015-10-06",22.26
"39","2015-10-07",23.040001
"40","2015-10-08",22.74
"41","2015-10-09",22.26
"42","2015-10-12",21.76
"43","2015-10-13",22.1
"44","2015-10-14",21.59
"45","2015-10-15",22.32
"46","2015-10-16",21.700001
"47","2015-10-19",22.110001
"48","2015-10-20",22
"49","2015-10-21",21.940001
"50","2015-10-22",21.709999
"51","2015-10-23",21.67
"52","2015-10-26",21.17
"53","2015-10-27",21.52
"54","2015-10-28",22.299999
"55","2015-10-29",21.879999
"56","2015-10-30",21.91
"57","2015-11-02",22
"58","2015-11-03",21.99
"59","2015-11-04",21.83
"60","2015-11-05",22.379999
"61","2015-11-06",22.110001
"62","2015-11-09",22.209999
"63","2015-11-10",22.27
"64","2015-11-11",22.120001
"65","2015-11-12",22.1
"66","2015-11-13",22.23
"67","2015-11-16",22.200001
"68","2015-11-17",22.24
"69","2015-11-18",22.4
"70","2015-11-19",22.24
"71","2015-11-20",22.25
"72","2015-11-23",22.610001
"73","2015-11-24",23.309999
"74","2015-11-25",23.629999
"75","2015-11-27",23.969999
"76","2015-11-30",24.450001
"77","2015-12-01",24.77
"78","2015-12-02",24.59
"79","2015-12-03",24.17
"80","2015-12-04",24.09
"81","2015-12-07",23.82
"82","2015-12-08",23.540001
"83","2015-12-09",23.360001
"84","2015-12-10",23.08
"85","2015-12-11",22.67
"86","2015-12-14",23.209999
"87","2015-12-15",23.559999
"88","2015-12-16",23.969999
"89","2015-12-17",23.309999
"90","2015-12-18",22.719999
"91","2015-12-21",23.190001
"92","2015-12-22",23.389999
"93","2015-12-23",23.75
