"","date","CURO"
"1","2017-12-07",14.2
"2","2017-12-08",14.2
"3","2017-12-11",13.84
"4","2017-12-12",13.71
"5","2017-12-13",13.82
"6","2017-12-14",14.05
"7","2017-12-15",14
"8","2017-12-18",14.07
"9","2017-12-19",14.01
"10","2017-12-20",14.03
"11","2017-12-21",14.03
"12","2017-12-22",14.04
"13","2017-12-26",14.23
"14","2017-12-27",14.07
"15","2017-12-28",14.08
"16","2017-12-29",14.08
"17","2018-01-02",14.05
"18","2018-01-03",14.02
"19","2018-01-04",14.13
"20","2018-01-05",14.49
"21","2018-01-08",14.27
"22","2018-01-09",14.43
"23","2018-01-10",14.28
"24","2018-01-11",14.76
"25","2018-01-12",15.47
"26","2018-01-16",15.97
"27","2018-01-17",15.95
"28","2018-01-18",16.040001
"29","2018-01-19",16.24
"30","2018-01-22",16.309999
"31","2018-01-23",16.4
"32","2018-01-24",16.48
"33","2018-01-25",16.280001
"34","2018-01-26",16.309999
"35","2018-01-29",17.09
"36","2018-01-30",16.83
"37","2018-01-31",16.76
"38","2018-02-01",16.629999
"39","2018-02-02",17.209999
"40","2018-02-05",17.139999
"41","2018-02-06",16.92
"42","2018-02-07",17.299999
"43","2018-02-08",16.860001
"44","2018-02-09",16.610001
"45","2018-02-12",17.24
"46","2018-02-13",17.1
"47","2018-02-14",17.5
"48","2018-02-15",17.57
"49","2018-02-16",17.43
"50","2018-02-20",17.200001
"51","2018-02-21",17.389999
"52","2018-02-22",17.23
"53","2018-02-23",17.379999
"54","2018-02-26",17.25
"55","2018-02-27",17.190001
"56","2018-02-28",16.76
"57","2018-03-01",17
"58","2018-03-02",17.379999
"59","2018-03-05",17.35
"60","2018-03-06",17.290001
"61","2018-03-07",17.280001
"62","2018-03-08",17.25
"63","2018-03-09",17.41
"64","2018-03-12",17.309999
"65","2018-03-13",17.040001
"66","2018-03-14",17.200001
"67","2018-03-15",16.73
"68","2018-03-16",16.85
"69","2018-03-19",17.190001
"70","2018-03-20",17.299999
"71","2018-03-21",17.299999
"72","2018-03-22",17
"73","2018-03-23",16.91
"74","2018-03-26",17.08
"75","2018-03-27",17.18
"76","2018-03-28",17.18
"77","2018-03-29",17.200001
"78","2018-04-02",17
"79","2018-04-03",17.34
"80","2018-04-04",17.25
"81","2018-04-05",17.290001
"82","2018-04-06",17.129999
"83","2018-04-09",17.24
