"","date","EVER"
"1","2018-06-28",18.02
"2","2018-06-29",18.120001
"3","2018-07-02",18.01
"4","2018-07-03",18.690001
"5","2018-07-05",17.879999
"6","2018-07-06",17.700001
"7","2018-07-09",17.389999
"8","2018-07-10",17.15
"9","2018-07-11",16.870001
"10","2018-07-12",16.66
"11","2018-07-13",16.9
"12","2018-07-16",16.700001
"13","2018-07-17",16.43
"14","2018-07-18",17.950001
"15","2018-07-19",17.57
"16","2018-07-20",17.870001
"17","2018-07-23",17.139999
"18","2018-07-24",17.219999
"19","2018-07-25",16.6
"20","2018-07-26",15.91
"21","2018-07-27",16.42
"22","2018-07-30",15.51
"23","2018-07-31",15.03
"24","2018-08-01",14.75
"25","2018-08-02",13.96
"26","2018-08-03",14.35
"27","2018-08-06",15.05
"28","2018-08-07",15.04
"29","2018-08-08",15.56
"30","2018-08-09",14.85
"31","2018-08-10",14.72
"32","2018-08-13",14.59
"33","2018-08-14",14.84
"34","2018-08-15",14.36
"35","2018-08-16",14.49
"36","2018-08-17",14.23
"37","2018-08-20",14.35
"38","2018-08-21",14.23
"39","2018-08-22",14
"40","2018-08-23",13.65
"41","2018-08-24",13.61
"42","2018-08-27",13.61
"43","2018-08-28",13.44
"44","2018-08-29",13.39
"45","2018-08-30",13.22
"46","2018-08-31",13.25
"47","2018-09-04",12.51
"48","2018-09-05",12.55
"49","2018-09-06",13.18
"50","2018-09-07",13.7
"51","2018-09-10",13.7
"52","2018-09-11",13.51
"53","2018-09-12",13.58
"54","2018-09-13",14.17
"55","2018-09-14",14.52
"56","2018-09-17",14.7
"57","2018-09-18",15.02
"58","2018-09-19",15.25
"59","2018-09-20",15.85
"60","2018-09-21",15.1
"61","2018-09-24",15
"62","2018-09-25",14.19
"63","2018-09-26",14.29
"64","2018-09-27",14.31
"65","2018-09-28",14.86
"66","2018-10-01",15.46
"67","2018-10-02",16
"68","2018-10-03",16.85
"69","2018-10-04",16.940001
"70","2018-10-05",15.02
"71","2018-10-08",14.4
"72","2018-10-09",14.38
"73","2018-10-10",13.74
"74","2018-10-11",13.21
"75","2018-10-12",13
"76","2018-10-15",13.22
"77","2018-10-16",12.49
"78","2018-10-17",12.53
"79","2018-10-18",12.23
"80","2018-10-19",12.14
"81","2018-10-22",12.01
"82","2018-10-23",12
"83","2018-10-24",11.85
"84","2018-10-25",11.8
"85","2018-10-26",11.99
"86","2018-10-29",12.52
"87","2018-10-30",12.67
"88","2018-10-31",12.87
"89","2018-11-01",13.2
"90","2018-11-02",12.15
"91","2018-11-05",13.22
"92","2018-11-06",12.87
"93","2018-11-07",12.6
"94","2018-11-08",12.11
"95","2018-11-09",12.63
"96","2018-11-12",11.91
"97","2018-11-13",6.73
"98","2018-11-14",6.15
"99","2018-11-15",5.955
"100","2018-11-16",5.51
"101","2018-11-19",5.01
"102","2018-11-20",5.01
"103","2018-11-21",5.48
"104","2018-11-23",6
"105","2018-11-26",6.48
"106","2018-11-27",5.6
"107","2018-11-28",6.2
"108","2018-11-29",6.15
"109","2018-11-30",6.17
"110","2018-12-03",6.06
"111","2018-12-04",6.01
"112","2018-12-06",6.29
"113","2018-12-07",5.9
"114","2018-12-10",6.05
"115","2018-12-11",6.09
"116","2018-12-12",5.99
"117","2018-12-13",5.17
"118","2018-12-14",4.97
"119","2018-12-17",4.58
"120","2018-12-18",4.82
"121","2018-12-19",4.81
"122","2018-12-20",4.79
"123","2018-12-21",4.46
"124","2018-12-24",4.28
"125","2018-12-26",4.25
"126","2018-12-27",4.21
"127","2018-12-28",4.28
"128","2018-12-31",4.18
"129","2019-01-02",4.58
"130","2019-01-03",4.41
"131","2019-01-04",4.88
"132","2019-01-07",5.3
"133","2019-01-08",5.1
"134","2019-01-09",5.26
"135","2019-01-10",5.57
"136","2019-01-11",5.68
"137","2019-01-14",5.8
"138","2019-01-15",5.7
"139","2019-01-16",6.1
"140","2019-01-17",5.76
"141","2019-01-18",5.92
"142","2019-01-22",5.82
"143","2019-01-23",5.83
"144","2019-01-24",5.61
"145","2019-01-25",5.61
"146","2019-01-28",5.61
"147","2019-01-29",5.36
"148","2019-01-30",5.455
"149","2019-01-31",5.6
"150","2019-02-01",5.51
"151","2019-02-04",5.4
"152","2019-02-05",5.52
"153","2019-02-06",5.71
"154","2019-02-07",5.7
"155","2019-02-08",5.75
"156","2019-02-11",5.45
"157","2019-02-12",5.65
"158","2019-02-13",5.61
"159","2019-02-14",5.55
"160","2019-02-15",5.56
"161","2019-02-19",5.63
"162","2019-02-20",5.48
"163","2019-02-21",5.57
"164","2019-02-22",5.92
"165","2019-02-25",6.05
"166","2019-02-26",7.06
"167","2019-02-27",7.45
"168","2019-02-28",7.64
"169","2019-03-01",7.38
"170","2019-03-04",7.68
"171","2019-03-05",7.66
"172","2019-03-06",7.46
"173","2019-03-07",7.5
"174","2019-03-08",7.47
"175","2019-03-11",7.52
"176","2019-03-12",7.23
"177","2019-03-13",7.45
"178","2019-03-14",7.49
"179","2019-03-15",7.44
"180","2019-03-18",7.58
"181","2019-03-19",7.7
"182","2019-03-20",7.83
"183","2019-03-21",7.85
"184","2019-03-22",7.88
"185","2019-03-25",7.74
"186","2019-03-26",7.52
"187","2019-03-27",7.63
"188","2019-03-28",7.55
"189","2019-03-29",7.44
"190","2019-04-01",7.83
"191","2019-04-02",8
"192","2019-04-03",8.45
"193","2019-04-04",8.3
"194","2019-04-05",8.31
"195","2019-04-08",8.16
"196","2019-04-09",7.99
"197","2019-04-10",8.32
"198","2019-04-11",8.25
"199","2019-04-12",8.43
"200","2019-04-15",8.45
"201","2019-04-16",8.5
"202","2019-04-17",8.6
"203","2019-04-18",8.54
"204","2019-04-22",8.5
"205","2019-04-23",8.58
"206","2019-04-24",8.73
"207","2019-04-25",8.71
"208","2019-04-26",8.87
"209","2019-04-29",9
"210","2019-04-30",8.99
"211","2019-05-01",8.72
"212","2019-05-02",8.93
"213","2019-05-03",8.85
"214","2019-05-06",9.22
"215","2019-05-07",10.39
"216","2019-05-08",10.61
"217","2019-05-09",10.35
"218","2019-05-10",10.7
"219","2019-05-13",11.16
"220","2019-05-14",11
"221","2019-05-15",11
"222","2019-05-16",11.47
"223","2019-05-17",10.74
"224","2019-05-20",11.05
"225","2019-05-21",11.15
"226","2019-05-22",11.38
"227","2019-05-23",11.04
"228","2019-05-24",10.98
"229","2019-05-28",10.91
"230","2019-05-29",10.97
"231","2019-05-30",11.09
"232","2019-05-31",11.34
"233","2019-06-03",10.8
"234","2019-06-04",11.27
"235","2019-06-05",11.53
"236","2019-06-06",11.48
"237","2019-06-07",11.99
"238","2019-06-10",12.55
"239","2019-06-11",12.49
"240","2019-06-12",12.72
"241","2019-06-13",12.84
"242","2019-06-14",12.4
"243","2019-06-17",12.68
"244","2019-06-18",12.36
"245","2019-06-19",12.04
"246","2019-06-20",12.29
"247","2019-06-21",12.67
"248","2019-06-24",12.4
"249","2019-06-25",12.12
"250","2019-06-26",12.62
"251","2019-06-27",12.23
"252","2019-06-28",13
"253","2019-07-01",13.5
"254","2019-07-02",13.69
"255","2019-07-03",13.55
"256","2019-07-05",13.48
"257","2019-07-08",13.75
"258","2019-07-09",13.66
"259","2019-07-10",13.95
"260","2019-07-11",14.05
"261","2019-07-12",14.23
"262","2019-07-15",13.67
"263","2019-07-16",14.04
"264","2019-07-17",14.44
"265","2019-07-18",14.44
"266","2019-07-19",14.47
"267","2019-07-22",14.71
"268","2019-07-23",14.69
"269","2019-07-24",14.84
"270","2019-07-25",14.66
"271","2019-07-26",15.18
"272","2019-07-29",14.93
"273","2019-07-30",14.96
"274","2019-07-31",14.87
"275","2019-08-01",14.45
"276","2019-08-02",14
"277","2019-08-05",13.2
"278","2019-08-06",19.700001
"279","2019-08-07",19.41
"280","2019-08-08",19.91
"281","2019-08-09",20.049999
"282","2019-08-12",19.82
"283","2019-08-13",21.33
"284","2019-08-14",20.1
"285","2019-08-15",19.780001
"286","2019-08-16",21.290001
"287","2019-08-19",22.120001
"288","2019-08-20",24.15
"289","2019-08-21",24.209999
"290","2019-08-22",22.860001
"291","2019-08-23",22.4
