"","date","BOXL"
"1","2017-11-30",7.98
"2","2017-12-01",6.88
"3","2017-12-04",7.324
"4","2017-12-05",6.9
"5","2017-12-06",7.249
"6","2017-12-07",7.15
"7","2017-12-08",6.5
"8","2017-12-11",6.5
"9","2017-12-12",6.5
"10","2017-12-13",6.5
"11","2017-12-14",5.81
"12","2017-12-15",5.738
"13","2017-12-18",5.789
"14","2017-12-19",5.789
"15","2017-12-20",5.75
"16","2017-12-21",5.788
"17","2017-12-22",5.788
"18","2017-12-26",5.788
"19","2017-12-27",5.788
"20","2017-12-28",5.788
"21","2017-12-29",5.788
"22","2018-01-02",5.01
"23","2018-01-03",5.74
"24","2018-01-04",5.8
"25","2018-01-05",6
"26","2018-01-08",6
"27","2018-01-09",6
"28","2018-01-10",5.86
"29","2018-01-11",6.45
"30","2018-01-12",6.971
"31","2018-01-16",6.026
"32","2018-01-17",5.5
"33","2018-01-18",6.1
"34","2018-01-19",5.618
"35","2018-01-22",6.08
"36","2018-01-23",6.01
"37","2018-01-24",6
"38","2018-01-25",6
"39","2018-01-26",5.691
"40","2018-01-29",5.691
"41","2018-01-30",5.691
"42","2018-01-31",5.691
"43","2018-02-01",5.637
"44","2018-02-02",5.637
"45","2018-02-05",5.03
"46","2018-02-06",5.45
"47","2018-02-07",5.45
"48","2018-02-08",4.42
"49","2018-02-09",5
"50","2018-02-12",5
"51","2018-02-13",5.4
"52","2018-02-14",5.4
"53","2018-02-15",5
"54","2018-02-16",5
"55","2018-02-20",4.71
"56","2018-02-21",4.71
"57","2018-02-22",4
"58","2018-02-23",4
"59","2018-02-26",4
"60","2018-02-27",4
"61","2018-02-28",4
"62","2018-03-01",4.2
"63","2018-03-02",4.2
"64","2018-03-05",4.6
"65","2018-03-06",4.8
"66","2018-03-07",4.35
"67","2018-03-08",4.35
"68","2018-03-09",4.35
"69","2018-03-12",4.35
"70","2018-03-13",4.35
"71","2018-03-14",4
"72","2018-03-15",4
"73","2018-03-16",4
"74","2018-03-19",4
"75","2018-03-20",4
"76","2018-03-21",4.2
"77","2018-03-22",3.5
"78","2018-03-23",3.5
"79","2018-03-26",3
"80","2018-03-27",3.98
"81","2018-03-28",4.06
"82","2018-03-29",4.06
"83","2018-04-02",4.755
"84","2018-04-03",4.36
"85","2018-04-04",4.172
"86","2018-04-05",3.53
"87","2018-04-06",3.57
"88","2018-04-09",3.27
"89","2018-04-10",3.3
"90","2018-04-11",4.2
"91","2018-04-12",3.75
"92","2018-04-13",3.945
"93","2018-04-16",3.79
"94","2018-04-17",3.736
"95","2018-04-18",3.624
"96","2018-04-19",3.624
"97","2018-04-20",3.624
"98","2018-04-23",3.75
"99","2018-04-24",3.65
"100","2018-04-25",3.55
"101","2018-04-26",3.6
"102","2018-04-27",3.9
"103","2018-04-30",3.55
"104","2018-05-01",3.803
"105","2018-05-02",7.42
"106","2018-05-03",8.33
"107","2018-05-04",6.45
"108","2018-05-07",6.3
"109","2018-05-08",5.71
"110","2018-05-09",5.58
"111","2018-05-10",5.15
"112","2018-05-11",6.669
"113","2018-05-14",11.8
"114","2018-05-15",9.62
"115","2018-05-16",9.84
"116","2018-05-17",8.66
"117","2018-05-18",7.24
"118","2018-05-21",7.86
"119","2018-05-22",6.6
"120","2018-05-23",7.2
"121","2018-05-24",7.1
"122","2018-05-25",6.7
"123","2018-05-29",6.59
"124","2018-05-30",6.24
"125","2018-05-31",7.48
"126","2018-06-01",7.04
"127","2018-06-04",6.89
"128","2018-06-05",6.66
"129","2018-06-06",6.31
"130","2018-06-07",6.06
"131","2018-06-08",5.77
"132","2018-06-11",5.61
"133","2018-06-12",5.51
"134","2018-06-13",5.53
"135","2018-06-14",5.79
"136","2018-06-15",5.76
"137","2018-06-18",5.53
"138","2018-06-19",5.25
"139","2018-06-20",5.14
"140","2018-06-21",5.87
"141","2018-06-22",5.8
"142","2018-06-25",5.45
"143","2018-06-26",5.37
"144","2018-06-27",5.39
"145","2018-06-28",5.22
"146","2018-06-29",5.11
"147","2018-07-02",4.8
"148","2018-07-03",4.93
"149","2018-07-05",4.47
"150","2018-07-06",4.465
"151","2018-07-09",4.12
"152","2018-07-10",4.085
"153","2018-07-11",4.18
"154","2018-07-12",4.16
"155","2018-07-13",4.16
"156","2018-07-16",4.16
"157","2018-07-17",4.26
"158","2018-07-18",4.11
"159","2018-07-19",4.1
"160","2018-07-20",4.11
"161","2018-07-23",4.32
"162","2018-07-24",4.27
"163","2018-07-25",4.1
"164","2018-07-26",4.21
"165","2018-07-27",3.86
"166","2018-07-30",3.53
"167","2018-07-31",3.385
"168","2018-08-01",3.43
"169","2018-08-02",3.52
"170","2018-08-03",3.585
"171","2018-08-06",3.669
"172","2018-08-07",3.39
"173","2018-08-08",3.501
"174","2018-08-09",3.63
"175","2018-08-10",3.72
"176","2018-08-13",4.2
"177","2018-08-14",4.15
"178","2018-08-15",4.96
"179","2018-08-16",4.9
"180","2018-08-17",3.98
"181","2018-08-20",3.71
"182","2018-08-21",3.81
"183","2018-08-22",3.756
"184","2018-08-23",3.66
"185","2018-08-24",3.56
"186","2018-08-27",3.68
"187","2018-08-28",3.71
"188","2018-08-29",3.53
"189","2018-08-30",3.53
"190","2018-08-31",3.54
"191","2018-09-04",3.58
"192","2018-09-05",3.45
"193","2018-09-06",3.6
"194","2018-09-07",3.46
"195","2018-09-10",3.63
"196","2018-09-11",3.28
"197","2018-09-12",2.98
"198","2018-09-13",3.2
"199","2018-09-14",3.095
"200","2018-09-17",3.08
"201","2018-09-18",3.09
"202","2018-09-19",3.14
"203","2018-09-20",3.44
"204","2018-09-21",3.05
"205","2018-09-24",3.12
"206","2018-09-25",3.09
"207","2018-09-26",2.98
"208","2018-09-27",2.92
"209","2018-09-28",2.92
"210","2018-10-01",2.8
"211","2018-10-02",2.76
"212","2018-10-03",2.75
"213","2018-10-04",2.61
"214","2018-10-05",2.63
"215","2018-10-08",2.68
"216","2018-10-09",2.64
"217","2018-10-10",2.46
"218","2018-10-11",2.3
"219","2018-10-12",2.315
"220","2018-10-15",2.04
"221","2018-10-16",1.9
"222","2018-10-17",2.13
"223","2018-10-18",1.84
"224","2018-10-19",1.89
"225","2018-10-22",1.95
"226","2018-10-23",1.96
"227","2018-10-24",1.685
"228","2018-10-25",1.8
"229","2018-10-26",1.79
"230","2018-10-29",1.77
"231","2018-10-30",1.7
"232","2018-10-31",1.76
"233","2018-11-01",1.86
"234","2018-11-02",1.88
"235","2018-11-05",1.92
"236","2018-11-06",3.7
"237","2018-11-07",2.71
"238","2018-11-08",3.15
"239","2018-11-09",2.9
"240","2018-11-12",3.35
"241","2018-11-13",3.03
"242","2018-11-14",2.35
"243","2018-11-15",2.03
"244","2018-11-16",2.13
"245","2018-11-19",2.15
"246","2018-11-20",2.145
"247","2018-11-21",2.06
"248","2018-11-23",2.09
"249","2018-11-26",2.23
"250","2018-11-27",2.2
"251","2018-11-28",2.28
"252","2018-11-29",2.3
"253","2018-11-30",2.31
"254","2018-12-03",2.22
"255","2018-12-04",2.22
"256","2018-12-06",2.1
"257","2018-12-07",2
"258","2018-12-10",1.88
"259","2018-12-11",1.89
"260","2018-12-12",1.86
"261","2018-12-13",1.83
"262","2018-12-14",1.7
"263","2018-12-17",1.68
"264","2018-12-18",1.58
"265","2018-12-19",1.6
"266","2018-12-20",1.49
"267","2018-12-21",1.31
"268","2018-12-24",1.25
