"","date","ITRN"
"1","2007-01-03",15.57
"2","2007-01-04",15.51
"3","2007-01-05",15.28
"4","2007-01-08",14.92
"5","2007-01-09",14.8
"6","2007-01-10",14.62
"7","2007-01-11",14.92
"8","2007-01-12",14.9
"9","2007-01-16",15
"10","2007-01-17",14.65
"11","2007-01-18",14.52
"12","2007-01-19",14.6
"13","2007-01-22",14.76
"14","2007-01-23",15
"15","2007-01-24",14.91
"16","2007-01-25",15
"17","2007-01-26",15.01
"18","2007-01-29",15.15
"19","2007-01-30",14.99
"20","2007-01-31",14.7
"21","2007-02-01",14.61
"22","2007-02-02",14.93
"23","2007-02-05",15.02
"24","2007-02-06",14.87
"25","2007-02-07",14.92
"26","2007-02-08",14.72
"27","2007-02-09",14.77
"28","2007-02-12",14.71
"29","2007-02-13",15.13
"30","2007-02-14",15.44
"31","2007-02-15",15.48
"32","2007-02-16",15.72
"33","2007-02-20",15.48
"34","2007-02-21",14.9
"35","2007-02-22",14.94
"36","2007-02-23",14.99
"37","2007-02-26",14.94
"38","2007-02-27",14.58
"39","2007-02-28",14.97
"40","2007-03-01",14.99
"41","2007-03-02",14.85
"42","2007-03-05",14.25
"43","2007-03-06",14.63
"44","2007-03-07",14.5
"45","2007-03-08",14.7
"46","2007-03-09",14.67
"47","2007-03-12",14.75
"48","2007-03-13",14.47
"49","2007-03-14",15.01
"50","2007-03-15",14.48
"51","2007-03-16",14.4
"52","2007-03-19",14.25
"53","2007-03-20",14.28
"54","2007-03-21",14.4
"55","2007-03-22",14.31
"56","2007-03-23",14.33
"57","2007-03-26",13.75
"58","2007-03-27",13.73
"59","2007-03-28",13.53
"60","2007-03-29",13.38
"61","2007-03-30",13.32
"62","2007-04-02",13.31
"63","2007-04-03",13.41
"64","2007-04-04",13.75
"65","2007-04-05",13.81
"66","2007-04-09",13.66
"67","2007-04-10",13.55
"68","2007-04-11",13.7
"69","2007-04-12",13.83
"70","2007-04-13",13.92
"71","2007-04-16",13.87
"72","2007-04-17",14.1
"73","2007-04-18",14.17
"74","2007-04-19",14.08
"75","2007-04-20",14.05
"76","2007-04-23",14
"77","2007-04-24",14.05
"78","2007-04-25",13.96
"79","2007-04-26",13.88
"80","2007-04-27",13.9
"81","2007-04-30",13.65
"82","2007-05-01",13.74
"83","2007-05-02",13.87
"84","2007-05-03",14.21
"85","2007-05-04",14.23
"86","2007-05-07",14.39
"87","2007-05-08",14.44
"88","2007-05-09",14.5
"89","2007-05-10",14.34
"90","2007-05-11",14.57
"91","2007-05-14",14.75
"92","2007-05-15",15.08
"93","2007-05-16",15.14
"94","2007-05-17",14.83
"95","2007-05-18",14.75
"96","2007-05-21",14.33
"97","2007-05-22",14.69
"98","2007-05-23",14.54
"99","2007-05-24",14.1
"100","2007-05-25",13.99
"101","2007-05-29",14.08
"102","2007-05-30",13.75
"103","2007-05-31",13.93
"104","2007-06-01",13.91
"105","2007-06-04",13.73
"106","2007-06-05",13.8
"107","2007-06-06",13.71
"108","2007-06-07",13.5
"109","2007-06-08",13.44
"110","2007-06-11",13.2
"111","2007-06-12",13.09
"112","2007-06-13",13.08
"113","2007-06-14",12.95
"114","2007-06-15",12.97
"115","2007-06-18",12.77
"116","2007-06-19",12.87
"117","2007-06-20",12.61
"118","2007-06-21",12.63
"119","2007-06-22",12.66
"120","2007-06-25",12.65
"121","2007-06-26",12.64
